result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size   249440, 3914028 req, miss ratio 0.2024, byte miss ratio 0.2024
result/tencentBlock.ns19067.oracleGeneral.zst Cacheus cache size   498880, 3914028 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size      623, 3914028 req, miss ratio 0.6640, byte miss ratio 0.6640
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size     1870, 3914028 req, miss ratio 0.6010, byte miss ratio 0.6010
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size     6236, 3914028 req, miss ratio 0.5555, byte miss ratio 0.5555
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size    18708, 3914028 req, miss ratio 0.5107, byte miss ratio 0.5107
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size    62360, 3914028 req, miss ratio 0.4181, byte miss ratio 0.4181
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size   124720, 3914028 req, miss ratio 0.3265, byte miss ratio 0.3265
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size   249440, 3914028 req, miss ratio 0.2370, byte miss ratio 0.2370
result/tencentBlock.ns19067.oracleGeneral.zst FIFO cache size   498880, 3914028 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size      623, 3914028 req, miss ratio 0.5829, byte miss ratio 0.5829
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size     1870, 3914028 req, miss ratio 0.5381, byte miss ratio 0.5381
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size     6236, 3914028 req, miss ratio 0.5059, byte miss ratio 0.5059
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size    18708, 3914028 req, miss ratio 0.4638, byte miss ratio 0.4638
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size    62360, 3914028 req, miss ratio 0.3684, byte miss ratio 0.3684
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size   124720, 3914028 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size   249440, 3914028 req, miss ratio 0.1965, byte miss ratio 0.1965
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d-1 cache size   498880, 3914028 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size      623, 3914028 req, miss ratio 0.6104, byte miss ratio 0.6104
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size     1870, 3914028 req, miss ratio 0.5506, byte miss ratio 0.5506
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size     6236, 3914028 req, miss ratio 0.5081, byte miss ratio 0.5081
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size    18708, 3914028 req, miss ratio 0.4645, byte miss ratio 0.4645
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size    62360, 3914028 req, miss ratio 0.3741, byte miss ratio 0.3741
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size   124720, 3914028 req, miss ratio 0.2817, byte miss ratio 0.2817
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size   249440, 3914028 req, miss ratio 0.1997, byte miss ratio 0.1997
result/tencentBlock.ns19067.oracleGeneral.zst LRB cache size   498880, 3914028 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size      623, 3914028 req, miss ratio 0.5817, byte miss ratio 0.5817
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size     1870, 3914028 req, miss ratio 0.5330, byte miss ratio 0.5330
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size     6236, 3914028 req, miss ratio 0.5086, byte miss ratio 0.5086
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size    18708, 3914028 req, miss ratio 0.4680, byte miss ratio 0.4680
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size    62360, 3914028 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size   124720, 3914028 req, miss ratio 0.2780, byte miss ratio 0.2780
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size   249440, 3914028 req, miss ratio 0.2201, byte miss ratio 0.2201
result/tencentBlock.ns19067.oracleGeneral.zst TwoQ cache size   498880, 3914028 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      623, 3914028 req, miss ratio 0.6152, byte miss ratio 0.6152
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1870, 3914028 req, miss ratio 0.5768, byte miss ratio 0.5768
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6236, 3914028 req, miss ratio 0.5323, byte miss ratio 0.5323
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18708, 3914028 req, miss ratio 0.4894, byte miss ratio 0.4894
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62360, 3914028 req, miss ratio 0.4068, byte miss ratio 0.4068
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   124720, 3914028 req, miss ratio 0.3194, byte miss ratio 0.3194
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   249440, 3914028 req, miss ratio 0.2148, byte miss ratio 0.2148
result/tencentBlock.ns19067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   498880, 3914028 req, miss ratio 0.1736, byte miss ratio 0.1736
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size      623, 3914028 req, miss ratio 0.5901, byte miss ratio 0.5901
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1870, 3914028 req, miss ratio 0.5558, byte miss ratio 0.5558
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6236, 3914028 req, miss ratio 0.5156, byte miss ratio 0.5156
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18708, 3914028 req, miss ratio 0.4791, byte miss ratio 0.4791
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62360, 3914028 req, miss ratio 0.4126, byte miss ratio 0.4126
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size   124720, 3914028 req, miss ratio 0.2843, byte miss ratio 0.2843
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size   249440, 3914028 req, miss ratio 0.1991, byte miss ratio 0.1991
result/tencentBlock.ns19067.oracleGeneral.zst S4LRU(25:25:25:25) cache size   498880, 3914028 req, miss ratio 0.1637, byte miss ratio 0.1637
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size      623, 3914028 req, miss ratio 0.6242, byte miss ratio 0.6242
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size     1870, 3914028 req, miss ratio 0.5945, byte miss ratio 0.5945
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size     6236, 3914028 req, miss ratio 0.5545, byte miss ratio 0.5545
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size    18708, 3914028 req, miss ratio 0.5071, byte miss ratio 0.5071
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size    62360, 3914028 req, miss ratio 0.4122, byte miss ratio 0.4122
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size   124720, 3914028 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size   249440, 3914028 req, miss ratio 0.2576, byte miss ratio 0.2576
result/tencentBlock.ns19067.oracleGeneral.zst B-LRU cache size   498880, 3914028 req, miss ratio 0.2525, byte miss ratio 0.2525
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size      623, 3914028 req, miss ratio 0.5797, byte miss ratio 0.5797
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size     1870, 3914028 req, miss ratio 0.5303, byte miss ratio 0.5303
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size     6236, 3914028 req, miss ratio 0.5046, byte miss ratio 0.5046
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size    18708, 3914028 req, miss ratio 0.4578, byte miss ratio 0.4578
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size    62360, 3914028 req, miss ratio 0.3644, byte miss ratio 0.3644
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size   124720, 3914028 req, miss ratio 0.2715, byte miss ratio 0.2715
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size   249440, 3914028 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO-d cache size   498880, 3914028 req, miss ratio 0.1658, byte miss ratio 0.1658
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size      623, 3914028 req, miss ratio 0.5837, byte miss ratio 0.5837
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size     1870, 3914028 req, miss ratio 0.5308, byte miss ratio 0.5308
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size     6236, 3914028 req, miss ratio 0.5042, byte miss ratio 0.5042
result/tencentBlock.ns19067.oracleGeneral.zst S3FIFO cache size    18708, 3914028 req, miss ratio 0.4575, byte miss ratio 0.4575
