result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size    25724, 1377456 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-1 cache size    51448, 1377456 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size       64, 1377456 req, miss ratio 0.2125, byte miss ratio 0.2125
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size      192, 1377456 req, miss ratio 0.0811, byte miss ratio 0.0811
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size      643, 1377456 req, miss ratio 0.0663, byte miss ratio 0.0663
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size     1929, 1377456 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size     6431, 1377456 req, miss ratio 0.0556, byte miss ratio 0.0556
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size    12862, 1377456 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size    25724, 1377456 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn2_colo28.ns3628.oracleGeneral.zst clock2 cache size    51448, 1377456 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size       64, 1377456 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size      192, 1377456 req, miss ratio 0.0885, byte miss ratio 0.0885
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size      643, 1377456 req, miss ratio 0.0678, byte miss ratio 0.0678
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size     1929, 1377456 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size     6431, 1377456 req, miss ratio 0.0564, byte miss ratio 0.0564
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size    12862, 1377456 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size    25724, 1377456 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns3628.oracleGeneral.zst LHD cache size    51448, 1377456 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size       64, 1377456 req, miss ratio 0.1610, byte miss ratio 0.1610
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size      192, 1377456 req, miss ratio 0.0786, byte miss ratio 0.0786
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size      643, 1377456 req, miss ratio 0.0650, byte miss ratio 0.0650
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size     1929, 1377456 req, miss ratio 0.0597, byte miss ratio 0.0597
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size     6431, 1377456 req, miss ratio 0.0553, byte miss ratio 0.0553
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size    12862, 1377456 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size    25724, 1377456 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_colo28.ns3628.oracleGeneral.zst S3FIFO-d-1 cache size    51448, 1377456 req, miss ratio 0.0471, byte miss ratio 0.0471
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size       64, 1377456 req, miss ratio 0.2058, byte miss ratio 0.2058
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size      192, 1377456 req, miss ratio 0.0785, byte miss ratio 0.0785
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size      643, 1377456 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size     1929, 1377456 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size     6431, 1377456 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size    12862, 1377456 req, miss ratio 0.0536, byte miss ratio 0.0536
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size    25724, 1377456 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_colo28.ns3628.oracleGeneral.zst LRB cache size    51448, 1377456 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       64, 1377456 req, miss ratio 0.2715, byte miss ratio 0.2715
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      192, 1377456 req, miss ratio 0.0897, byte miss ratio 0.0897
result/cdn2_colo28.ns3628.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      643, 1377456 req, miss ratio 0.0676, byte miss ratio 0.0676
