result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size   377903, 15600000 req, miss ratio 0.1350, byte miss ratio 0.1350
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size   755806, 15600000 req, miss ratio 0.1236, byte miss ratio 0.1236
result/io_traces.ns434.oracleGeneral.zst S3FIFO cache size  1511613, 15600000 req, miss ratio 0.1217, byte miss ratio 0.1217
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1889, 15600000 req, miss ratio 0.4406, byte miss ratio 0.4406
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5668, 15600000 req, miss ratio 0.4076, byte miss ratio 0.4076
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18895, 15600000 req, miss ratio 0.2898, byte miss ratio 0.2898
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    56685, 15600000 req, miss ratio 0.2280, byte miss ratio 0.2280
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   188951, 15600000 req, miss ratio 0.1953, byte miss ratio 0.1953
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   377903, 15600000 req, miss ratio 0.1755, byte miss ratio 0.1755
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   755806, 15600000 req, miss ratio 0.1582, byte miss ratio 0.1582
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1511613, 15600000 req, miss ratio 0.1287, byte miss ratio 0.1287
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1889, 15600000 req, miss ratio 0.3511, byte miss ratio 0.3511
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5668, 15600000 req, miss ratio 0.3211, byte miss ratio 0.3211
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18895, 15600000 req, miss ratio 0.2840, byte miss ratio 0.2840
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    56685, 15600000 req, miss ratio 0.2094, byte miss ratio 0.2094
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   188951, 15600000 req, miss ratio 0.1643, byte miss ratio 0.1643
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   377903, 15600000 req, miss ratio 0.1423, byte miss ratio 0.1423
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   755806, 15600000 req, miss ratio 0.1341, byte miss ratio 0.1341
result/io_traces.ns434.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1511613, 15600000 req, miss ratio 0.1246, byte miss ratio 0.1246
