result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size     1158, 2296440 req, miss ratio 0.3524, byte miss ratio 0.3524
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size     3861, 2296440 req, miss ratio 0.1859, byte miss ratio 0.1859
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size     7722, 2296440 req, miss ratio 0.1097, byte miss ratio 0.1097
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size    15444, 2296440 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn2_colo28.ns667.oracleGeneral.zst S3FIFO-d-1 cache size    30888, 2296440 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size       38, 2296440 req, miss ratio 0.7838, byte miss ratio 0.7838
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size      115, 2296440 req, miss ratio 0.6521, byte miss ratio 0.6521
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size      386, 2296440 req, miss ratio 0.4940, byte miss ratio 0.4940
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size     1158, 2296440 req, miss ratio 0.3371, byte miss ratio 0.3371
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size     3861, 2296440 req, miss ratio 0.1726, byte miss ratio 0.1726
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size     7722, 2296440 req, miss ratio 0.1010, byte miss ratio 0.1010
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size    15444, 2296440 req, miss ratio 0.0494, byte miss ratio 0.0494
result/cdn2_colo28.ns667.oracleGeneral.zst LRB cache size    30888, 2296440 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size       38, 2296440 req, miss ratio 0.8040, byte miss ratio 0.8040
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size      115, 2296440 req, miss ratio 0.6795, byte miss ratio 0.6795
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size      386, 2296440 req, miss ratio 0.5182, byte miss ratio 0.5182
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1158, 2296440 req, miss ratio 0.3611, byte miss ratio 0.3611
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3861, 2296440 req, miss ratio 0.1892, byte miss ratio 0.1892
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7722, 2296440 req, miss ratio 0.1106, byte miss ratio 0.1106
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15444, 2296440 req, miss ratio 0.0512, byte miss ratio 0.0512
result/cdn2_colo28.ns667.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30888, 2296440 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size       38, 2296440 req, miss ratio 0.9208, byte miss ratio 0.9208
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size      115, 2296440 req, miss ratio 0.7993, byte miss ratio 0.7993
result/cdn2_colo28.ns667.oracleGeneral.zst B-LRU cache size      386, 2296440 req, miss ratio 0.6162, byte miss ratio 0.6162
