result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size      351, 3272425 req, miss ratio 0.5132, byte miss ratio 0.5132
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size     1055, 3272425 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size     3519, 3272425 req, miss ratio 0.3147, byte miss ratio 0.3147
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size    10559, 3272425 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size    35199, 3272425 req, miss ratio 0.2363, byte miss ratio 0.2363
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size    70399, 3272425 req, miss ratio 0.1786, byte miss ratio 0.1786
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size   140799, 3272425 req, miss ratio 0.1311, byte miss ratio 0.1311
result/tencentBlock.ns1849.oracleGeneral.zst TwoQ cache size   281598, 3272425 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size      351, 3272425 req, miss ratio 0.5988, byte miss ratio 0.5988
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1055, 3272425 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3519, 3272425 req, miss ratio 0.3183, byte miss ratio 0.3183
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10559, 3272425 req, miss ratio 0.3048, byte miss ratio 0.3048
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35199, 3272425 req, miss ratio 0.2685, byte miss ratio 0.2685
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size    70399, 3272425 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size   140799, 3272425 req, miss ratio 0.1363, byte miss ratio 0.1363
result/tencentBlock.ns1849.oracleGeneral.zst S4LRU(25:25:25:25) cache size   281598, 3272425 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size      351, 3272425 req, miss ratio 0.5298, byte miss ratio 0.5298
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size     1055, 3272425 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size     3519, 3272425 req, miss ratio 0.3165, byte miss ratio 0.3165
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size    10559, 3272425 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size    35199, 3272425 req, miss ratio 0.2429, byte miss ratio 0.2429
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size    70399, 3272425 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size   140799, 3272425 req, miss ratio 0.1285, byte miss ratio 0.1285
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO cache size   281598, 3272425 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size      351, 3272425 req, miss ratio 0.5170, byte miss ratio 0.5170
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size     1055, 3272425 req, miss ratio 0.3958, byte miss ratio 0.3958
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size     3519, 3272425 req, miss ratio 0.3161, byte miss ratio 0.3161
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size    10559, 3272425 req, miss ratio 0.2942, byte miss ratio 0.2942
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size    35199, 3272425 req, miss ratio 0.2430, byte miss ratio 0.2430
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size    70399, 3272425 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size   140799, 3272425 req, miss ratio 0.1275, byte miss ratio 0.1275
result/tencentBlock.ns1849.oracleGeneral.zst S3FIFO-d cache size   281598, 3272425 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      351, 3272425 req, miss ratio 0.6694, byte miss ratio 0.6694
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1055, 3272425 req, miss ratio 0.6287, byte miss ratio 0.6287
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3519, 3272425 req, miss ratio 0.4020, byte miss ratio 0.4020
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10559, 3272425 req, miss ratio 0.3160, byte miss ratio 0.3160
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35199, 3272425 req, miss ratio 0.2518, byte miss ratio 0.2518
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    70399, 3272425 req, miss ratio 0.1878, byte miss ratio 0.1878
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   140799, 3272425 req, miss ratio 0.1366, byte miss ratio 0.1366
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   281598, 3272425 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      351, 3272425 req, miss ratio 0.5763, byte miss ratio 0.5763
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1055, 3272425 req, miss ratio 0.5222, byte miss ratio 0.5222
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3519, 3272425 req, miss ratio 0.3252, byte miss ratio 0.3252
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10559, 3272425 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35199, 3272425 req, miss ratio 0.2615, byte miss ratio 0.2615
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    70399, 3272425 req, miss ratio 0.1890, byte miss ratio 0.1890
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   140799, 3272425 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns1849.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   281598, 3272425 req, miss ratio 0.1167, byte miss ratio 0.1167
