result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size      278, 17796147 req, miss ratio 0.7830, byte miss ratio 0.7830
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size      834, 17796147 req, miss ratio 0.6275, byte miss ratio 0.6275
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size     2780, 17796147 req, miss ratio 0.4257, byte miss ratio 0.4257
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size     8340, 17796147 req, miss ratio 0.2573, byte miss ratio 0.2573
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size    27801, 17796147 req, miss ratio 0.1082, byte miss ratio 0.1082
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size    55602, 17796147 req, miss ratio 0.0541, byte miss ratio 0.0541
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size   111204, 17796147 req, miss ratio 0.0258, byte miss ratio 0.0258
result/cdn2_allcolo.ns1189.oracleGeneral.zst S3FIFO-d-1 cache size   222409, 17796147 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size      278, 17796147 req, miss ratio 0.7837, byte miss ratio 0.7837
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size      834, 17796147 req, miss ratio 0.6242, byte miss ratio 0.6242
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size     2780, 17796147 req, miss ratio 0.4179, byte miss ratio 0.4179
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size     8340, 17796147 req, miss ratio 0.2495, byte miss ratio 0.2495
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size    27801, 17796147 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size    55602, 17796147 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size   111204, 17796147 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cdn2_allcolo.ns1189.oracleGeneral.zst LRB cache size   222409, 17796147 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size      278, 17796147 req, miss ratio 0.7975, byte miss ratio 0.7975
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size      834, 17796147 req, miss ratio 0.6443, byte miss ratio 0.6443
result/cdn2_allcolo.ns1189.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2780, 17796147 req, miss ratio 0.4348, byte miss ratio 0.4348
