result/cdn2_colo28.ns4984.oracleGeneral.zst LRU cache size    41412, 1185248 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size       51, 1185248 req, miss ratio 0.6542, byte miss ratio 0.6542
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size      155, 1185248 req, miss ratio 0.4701, byte miss ratio 0.4701
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size      517, 1185248 req, miss ratio 0.3635, byte miss ratio 0.3635
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size     1552, 1185248 req, miss ratio 0.2604, byte miss ratio 0.2604
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size     5176, 1185248 req, miss ratio 0.1504, byte miss ratio 0.1504
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size    10353, 1185248 req, miss ratio 0.1001, byte miss ratio 0.1001
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size    20706, 1185248 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_colo28.ns4984.oracleGeneral.zst Clock cache size    41412, 1185248 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size       51, 1185248 req, miss ratio 0.5544, byte miss ratio 0.5544
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1185248 req, miss ratio 0.4271, byte miss ratio 0.4271
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size      517, 1185248 req, miss ratio 0.3224, byte miss ratio 0.3224
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size     1552, 1185248 req, miss ratio 0.2239, byte miss ratio 0.2239
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size     5176, 1185248 req, miss ratio 0.1322, byte miss ratio 0.1322
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size    10353, 1185248 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size    20706, 1185248 req, miss ratio 0.0586, byte miss ratio 0.0586
result/cdn2_colo28.ns4984.oracleGeneral.zst S3FIFO-d-1 cache size    41412, 1185248 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size       51, 1185248 req, miss ratio 0.5822, byte miss ratio 0.5822
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size      155, 1185248 req, miss ratio 0.4451, byte miss ratio 0.4451
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size      517, 1185248 req, miss ratio 0.3309, byte miss ratio 0.3309
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size     1552, 1185248 req, miss ratio 0.2273, byte miss ratio 0.2273
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size     5176, 1185248 req, miss ratio 0.1329, byte miss ratio 0.1329
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size    10353, 1185248 req, miss ratio 0.0923, byte miss ratio 0.0923
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size    20706, 1185248 req, miss ratio 0.0609, byte miss ratio 0.0609
result/cdn2_colo28.ns4984.oracleGeneral.zst LRB cache size    41412, 1185248 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size       51, 1185248 req, miss ratio 0.6641, byte miss ratio 0.6641
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size      155, 1185248 req, miss ratio 0.4791, byte miss ratio 0.4791
result/cdn2_colo28.ns4984.oracleGeneral.zst B-LRU cache size      517, 1185248 req, miss ratio 0.3659, byte miss ratio 0.3659
