result/tencentBlock.ns14030.oracleGeneral.zst LRU cache size    50219, 2545649 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size       62, 2545649 req, miss ratio 0.5127, byte miss ratio 0.5127
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size      188, 2545649 req, miss ratio 0.2647, byte miss ratio 0.2647
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size      627, 2545649 req, miss ratio 0.1079, byte miss ratio 0.1079
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size     1883, 2545649 req, miss ratio 0.0834, byte miss ratio 0.0834
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size     6277, 2545649 req, miss ratio 0.0740, byte miss ratio 0.0740
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size    12554, 2545649 req, miss ratio 0.0599, byte miss ratio 0.0599
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size    25109, 2545649 req, miss ratio 0.0368, byte miss ratio 0.0368
result/tencentBlock.ns14030.oracleGeneral.zst LHD cache size    50219, 2545649 req, miss ratio 0.0253, byte miss ratio 0.0253
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size       62, 2545649 req, miss ratio 0.4355, byte miss ratio 0.4355
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size      188, 2545649 req, miss ratio 0.3589, byte miss ratio 0.3589
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size      627, 2545649 req, miss ratio 0.1031, byte miss ratio 0.1031
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size     1883, 2545649 req, miss ratio 0.0786, byte miss ratio 0.0786
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size     6277, 2545649 req, miss ratio 0.0682, byte miss ratio 0.0682
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size    12554, 2545649 req, miss ratio 0.0576, byte miss ratio 0.0576
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size    25109, 2545649 req, miss ratio 0.0357, byte miss ratio 0.0357
result/tencentBlock.ns14030.oracleGeneral.zst S3FIFO-d-1 cache size    50219, 2545649 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size       62, 2545649 req, miss ratio 0.4863, byte miss ratio 0.4863
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size      188, 2545649 req, miss ratio 0.2635, byte miss ratio 0.2635
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size      627, 2545649 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size     1883, 2545649 req, miss ratio 0.0820, byte miss ratio 0.0820
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size     6277, 2545649 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size    12554, 2545649 req, miss ratio 0.0551, byte miss ratio 0.0551
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size    25109, 2545649 req, miss ratio 0.0351, byte miss ratio 0.0351
result/tencentBlock.ns14030.oracleGeneral.zst LRB cache size    50219, 2545649 req, miss ratio 0.0256, byte miss ratio 0.0256
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size       62, 2545649 req, miss ratio 0.4803, byte miss ratio 0.4803
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size      188, 2545649 req, miss ratio 0.3112, byte miss ratio 0.3112
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size      627, 2545649 req, miss ratio 0.1090, byte miss ratio 0.1090
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size     1883, 2545649 req, miss ratio 0.0805, byte miss ratio 0.0805
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size     6277, 2545649 req, miss ratio 0.0740, byte miss ratio 0.0740
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size    12554, 2545649 req, miss ratio 0.0563, byte miss ratio 0.0563
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size    25109, 2545649 req, miss ratio 0.0375, byte miss ratio 0.0375
result/tencentBlock.ns14030.oracleGeneral.zst TwoQ cache size    50219, 2545649 req, miss ratio 0.0252, byte miss ratio 0.0252
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size       62, 2545649 req, miss ratio 0.4811, byte miss ratio 0.4811
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size      188, 2545649 req, miss ratio 0.3590, byte miss ratio 0.3590
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size      627, 2545649 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1883, 2545649 req, miss ratio 0.0829, byte miss ratio 0.0829
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6277, 2545649 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12554, 2545649 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size    25109, 2545649 req, miss ratio 0.0423, byte miss ratio 0.0423
result/tencentBlock.ns14030.oracleGeneral.zst S4LRU(25:25:25:25) cache size    50219, 2545649 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns14030.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       62, 2545649 req, miss ratio 0.5894, byte miss ratio 0.5894
