result/tencentBlock.ns1796.oracleGeneral.zst FIFO cache size       92, 1426642 req, miss ratio 0.4230, byte miss ratio 0.4230
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size     9260, 1426642 req, miss ratio 0.1521, byte miss ratio 0.1521
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size    18520, 1426642 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size    37041, 1426642 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d-1 cache size    74082, 1426642 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size       92, 1426642 req, miss ratio 0.3514, byte miss ratio 0.3514
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size      277, 1426642 req, miss ratio 0.2723, byte miss ratio 0.2723
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size      926, 1426642 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size     2778, 1426642 req, miss ratio 0.1808, byte miss ratio 0.1808
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size     9260, 1426642 req, miss ratio 0.1492, byte miss ratio 0.1492
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size    18520, 1426642 req, miss ratio 0.1058, byte miss ratio 0.1058
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size    37041, 1426642 req, miss ratio 0.0872, byte miss ratio 0.0872
result/tencentBlock.ns1796.oracleGeneral.zst LRB cache size    74082, 1426642 req, miss ratio 0.0661, byte miss ratio 0.0661
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       92, 1426642 req, miss ratio 0.4230, byte miss ratio 0.4230
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      277, 1426642 req, miss ratio 0.2991, byte miss ratio 0.2991
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      926, 1426642 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2778, 1426642 req, miss ratio 0.2127, byte miss ratio 0.2127
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9260, 1426642 req, miss ratio 0.1719, byte miss ratio 0.1719
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18520, 1426642 req, miss ratio 0.1334, byte miss ratio 0.1334
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    37041, 1426642 req, miss ratio 0.0978, byte miss ratio 0.0978
result/tencentBlock.ns1796.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    74082, 1426642 req, miss ratio 0.0762, byte miss ratio 0.0762
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size       92, 1426642 req, miss ratio 0.3529, byte miss ratio 0.3529
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size      277, 1426642 req, miss ratio 0.2610, byte miss ratio 0.2610
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size      926, 1426642 req, miss ratio 0.2201, byte miss ratio 0.2201
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size     2778, 1426642 req, miss ratio 0.1841, byte miss ratio 0.1841
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size     9260, 1426642 req, miss ratio 0.1519, byte miss ratio 0.1519
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size    18520, 1426642 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size    37041, 1426642 req, miss ratio 0.0859, byte miss ratio 0.0859
result/tencentBlock.ns1796.oracleGeneral.zst TwoQ cache size    74082, 1426642 req, miss ratio 0.0785, byte miss ratio 0.0785
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size       92, 1426642 req, miss ratio 0.3599, byte miss ratio 0.3599
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size      277, 1426642 req, miss ratio 0.2895, byte miss ratio 0.2895
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size      926, 1426642 req, miss ratio 0.2290, byte miss ratio 0.2290
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2778, 1426642 req, miss ratio 0.1887, byte miss ratio 0.1887
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9260, 1426642 req, miss ratio 0.1577, byte miss ratio 0.1577
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18520, 1426642 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37041, 1426642 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns1796.oracleGeneral.zst S4LRU(25:25:25:25) cache size    74082, 1426642 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size       92, 1426642 req, miss ratio 0.3806, byte miss ratio 0.3806
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size      277, 1426642 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size      926, 1426642 req, miss ratio 0.2650, byte miss ratio 0.2650
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size     2778, 1426642 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size     9260, 1426642 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size    18520, 1426642 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size    37041, 1426642 req, miss ratio 0.1025, byte miss ratio 0.1025
result/tencentBlock.ns1796.oracleGeneral.zst B-LRU cache size    74082, 1426642 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size       92, 1426642 req, miss ratio 0.3304, byte miss ratio 0.3304
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size      277, 1426642 req, miss ratio 0.2601, byte miss ratio 0.2601
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size      926, 1426642 req, miss ratio 0.2068, byte miss ratio 0.2068
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size     2778, 1426642 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size     9260, 1426642 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size    18520, 1426642 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size    37041, 1426642 req, miss ratio 0.0776, byte miss ratio 0.0776
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO-d cache size    74082, 1426642 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size       92, 1426642 req, miss ratio 0.3317, byte miss ratio 0.3317
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size      277, 1426642 req, miss ratio 0.2600, byte miss ratio 0.2600
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size      926, 1426642 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size     2778, 1426642 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size     9260, 1426642 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size    18520, 1426642 req, miss ratio 0.1162, byte miss ratio 0.1162
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size    37041, 1426642 req, miss ratio 0.0776, byte miss ratio 0.0776
result/tencentBlock.ns1796.oracleGeneral.zst S3FIFO cache size    74082, 1426642 req, miss ratio 0.0658, byte miss ratio 0.0658
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       92, 1426642 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      277, 1426642 req, miss ratio 0.3617, byte miss ratio 0.3617
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      926, 1426642 req, miss ratio 0.2262, byte miss ratio 0.2262
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2778, 1426642 req, miss ratio 0.1825, byte miss ratio 0.1825
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9260, 1426642 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18520, 1426642 req, miss ratio 0.1077, byte miss ratio 0.1077
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    37041, 1426642 req, miss ratio 0.0757, byte miss ratio 0.0757
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    74082, 1426642 req, miss ratio 0.0668, byte miss ratio 0.0668
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       92, 1426642 req, miss ratio 0.3522, byte miss ratio 0.3522
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      277, 1426642 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      926, 1426642 req, miss ratio 0.2026, byte miss ratio 0.2026
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2778, 1426642 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9260, 1426642 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18520, 1426642 req, miss ratio 0.1086, byte miss ratio 0.1086
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    37041, 1426642 req, miss ratio 0.0737, byte miss ratio 0.0737
result/tencentBlock.ns1796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    74082, 1426642 req, miss ratio 0.0671, byte miss ratio 0.0671
