result/w58.oracleGeneral.bin.zst B-LRU cache size     1351, 10530695 req, miss ratio 0.6348, byte miss ratio 0.6348
result/w58.oracleGeneral.bin.zst B-LRU cache size     4054, 10530695 req, miss ratio 0.5570, byte miss ratio 0.5570
result/w58.oracleGeneral.bin.zst B-LRU cache size    13513, 10530695 req, miss ratio 0.5042, byte miss ratio 0.5042
result/w58.oracleGeneral.bin.zst B-LRU cache size    40540, 10530695 req, miss ratio 0.4589, byte miss ratio 0.4589
result/w58.oracleGeneral.bin.zst B-LRU cache size   135135, 10530695 req, miss ratio 0.3939, byte miss ratio 0.3939
result/w58.oracleGeneral.bin.zst B-LRU cache size   270270, 10530695 req, miss ratio 0.2618, byte miss ratio 0.2618
result/w58.oracleGeneral.bin.zst B-LRU cache size   540540, 10530695 req, miss ratio 0.1899, byte miss ratio 0.1899
result/w58.oracleGeneral.bin.zst B-LRU cache size  1081080, 10530695 req, miss ratio 0.1891, byte miss ratio 0.1891
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1351, 10530695 req, miss ratio 0.6260, byte miss ratio 0.6260
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4054, 10530695 req, miss ratio 0.5597, byte miss ratio 0.5597
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13513, 10530695 req, miss ratio 0.4782, byte miss ratio 0.4782
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    40540, 10530695 req, miss ratio 0.4174, byte miss ratio 0.4174
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   135135, 10530695 req, miss ratio 0.3377, byte miss ratio 0.3377
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   270270, 10530695 req, miss ratio 0.2245, byte miss ratio 0.2245
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   540540, 10530695 req, miss ratio 0.1482, byte miss ratio 0.1482
result/w58.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1081080, 10530695 req, miss ratio 0.1386, byte miss ratio 0.1386
result/w58.oracleGeneral.bin.zst TwoQ cache size     1351, 10530695 req, miss ratio 0.6068, byte miss ratio 0.6068
result/w58.oracleGeneral.bin.zst TwoQ cache size     4054, 10530695 req, miss ratio 0.5414, byte miss ratio 0.5414
result/w58.oracleGeneral.bin.zst TwoQ cache size    13513, 10530695 req, miss ratio 0.4710, byte miss ratio 0.4710
result/w58.oracleGeneral.bin.zst TwoQ cache size    40540, 10530695 req, miss ratio 0.4210, byte miss ratio 0.4210
result/w58.oracleGeneral.bin.zst TwoQ cache size   135135, 10530695 req, miss ratio 0.3304, byte miss ratio 0.3304
result/w58.oracleGeneral.bin.zst TwoQ cache size   270270, 10530695 req, miss ratio 0.2453, byte miss ratio 0.2453
result/w58.oracleGeneral.bin.zst TwoQ cache size   540540, 10530695 req, miss ratio 0.1759, byte miss ratio 0.1759
result/w58.oracleGeneral.bin.zst TwoQ cache size  1081080, 10530695 req, miss ratio 0.1643, byte miss ratio 0.1643
result/w58.oracleGeneral.bin.zst S3FIFO cache size     1351, 10530695 req, miss ratio 0.6023, byte miss ratio 0.6023
result/w58.oracleGeneral.bin.zst S3FIFO cache size     4054, 10530695 req, miss ratio 0.5433, byte miss ratio 0.5433
result/w58.oracleGeneral.bin.zst S3FIFO cache size    13513, 10530695 req, miss ratio 0.4684, byte miss ratio 0.4684
result/w58.oracleGeneral.bin.zst S3FIFO cache size    40540, 10530695 req, miss ratio 0.4143, byte miss ratio 0.4143
result/w58.oracleGeneral.bin.zst S3FIFO cache size   135135, 10530695 req, miss ratio 0.3294, byte miss ratio 0.3294
result/w58.oracleGeneral.bin.zst S3FIFO cache size   270270, 10530695 req, miss ratio 0.2299, byte miss ratio 0.2299
result/w58.oracleGeneral.bin.zst S3FIFO cache size   540540, 10530695 req, miss ratio 0.1606, byte miss ratio 0.1606
result/w58.oracleGeneral.bin.zst S3FIFO cache size  1081080, 10530695 req, miss ratio 0.1436, byte miss ratio 0.1436
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size     1351, 10530695 req, miss ratio 0.6191, byte miss ratio 0.6191
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size     4054, 10530695 req, miss ratio 0.5423, byte miss ratio 0.5423
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size    13513, 10530695 req, miss ratio 0.4681, byte miss ratio 0.4681
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size    40540, 10530695 req, miss ratio 0.4143, byte miss ratio 0.4143
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size   135135, 10530695 req, miss ratio 0.3672, byte miss ratio 0.3672
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size   270270, 10530695 req, miss ratio 0.2510, byte miss ratio 0.2510
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size   540540, 10530695 req, miss ratio 0.1606, byte miss ratio 0.1606
result/w58.oracleGeneral.bin.zst S3FIFO-d cache size  1081080, 10530695 req, miss ratio 0.1436, byte miss ratio 0.1436
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1351, 10530695 req, miss ratio 0.6305, byte miss ratio 0.6305
result/w58.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4054, 10530695 req, miss ratio 0.5580, byte miss ratio 0.5580
