result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size    34325, 671148881 req, miss ratio 0.0034, byte miss ratio 0.0034
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size    68651, 671148881 req, miss ratio 0.0020, byte miss ratio 0.0020
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst clock2 cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size      343, 671148881 req, miss ratio 0.0325, byte miss ratio 0.0325
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size     1029, 671148881 req, miss ratio 0.0248, byte miss ratio 0.0248
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size     3432, 671148881 req, miss ratio 0.0175, byte miss ratio 0.0175
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size    10297, 671148881 req, miss ratio 0.0099, byte miss ratio 0.0099
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size    34325, 671148881 req, miss ratio 0.0043, byte miss ratio 0.0043
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size    68651, 671148881 req, miss ratio 0.0025, byte miss ratio 0.0025
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size   137302, 671148881 req, miss ratio 0.0013, byte miss ratio 0.0013
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst FIFO cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size      343, 671148881 req, miss ratio 0.0283, byte miss ratio 0.0283
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size     1029, 671148881 req, miss ratio 0.0223, byte miss ratio 0.0223
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size     3432, 671148881 req, miss ratio 0.0161, byte miss ratio 0.0161
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size    10297, 671148881 req, miss ratio 0.0085, byte miss ratio 0.0085
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size    34325, 671148881 req, miss ratio 0.0035, byte miss ratio 0.0035
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size    68651, 671148881 req, miss ratio 0.0020, byte miss ratio 0.0020
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst Clock cache size   274604, 671148881 req, miss ratio 0.0006, byte miss ratio 0.0006
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size      343, 671148881 req, miss ratio 0.0276, byte miss ratio 0.0276
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size     1029, 671148881 req, miss ratio 0.0225, byte miss ratio 0.0225
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size     3432, 671148881 req, miss ratio 0.0157, byte miss ratio 0.0157
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size    10297, 671148881 req, miss ratio 0.0082, byte miss ratio 0.0082
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size    34325, 671148881 req, miss ratio 0.0033, byte miss ratio 0.0033
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size    68651, 671148881 req, miss ratio 0.0019, byte miss ratio 0.0019
result/ads_ranking_feature_store_cache.1.oracleGeneral.sample10.zst ARC cache size   137302, 671148881 req, miss ratio 0.0010, byte miss ratio 0.0010
