result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   146368, 39200000 req, miss ratio 0.1058, byte miss ratio 0.1058
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   292737, 39200000 req, miss ratio 0.0766, byte miss ratio 0.0766
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   585474, 39200000 req, miss ratio 0.0529, byte miss ratio 0.0529
result/io_traces.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1170949, 39200000 req, miss ratio 0.0410, byte miss ratio 0.0410
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size     1463, 39200000 req, miss ratio 0.2641, byte miss ratio 0.2641
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size     4391, 39200000 req, miss ratio 0.2210, byte miss ratio 0.2210
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size    14636, 39200000 req, miss ratio 0.1959, byte miss ratio 0.1959
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size    43910, 39200000 req, miss ratio 0.1511, byte miss ratio 0.1511
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size   146368, 39200000 req, miss ratio 0.0979, byte miss ratio 0.0979
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size   292737, 39200000 req, miss ratio 0.0853, byte miss ratio 0.0853
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size   585474, 39200000 req, miss ratio 0.0798, byte miss ratio 0.0798
result/io_traces.ns66.oracleGeneral.zst B-LRU cache size  1170949, 39200000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size     1463, 39200000 req, miss ratio 0.2202, byte miss ratio 0.2202
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size     4391, 39200000 req, miss ratio 0.1931, byte miss ratio 0.1931
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size    14636, 39200000 req, miss ratio 0.1760, byte miss ratio 0.1760
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size    43910, 39200000 req, miss ratio 0.1381, byte miss ratio 0.1381
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size   146368, 39200000 req, miss ratio 0.0807, byte miss ratio 0.0807
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size   292737, 39200000 req, miss ratio 0.0608, byte miss ratio 0.0608
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size   585474, 39200000 req, miss ratio 0.0501, byte miss ratio 0.0501
result/io_traces.ns66.oracleGeneral.zst TwoQ cache size  1170949, 39200000 req, miss ratio 0.0414, byte miss ratio 0.0414
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1463, 39200000 req, miss ratio 0.2568, byte miss ratio 0.2568
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4391, 39200000 req, miss ratio 0.2158, byte miss ratio 0.2158
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14636, 39200000 req, miss ratio 0.1908, byte miss ratio 0.1908
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43910, 39200000 req, miss ratio 0.1620, byte miss ratio 0.1620
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size   146368, 39200000 req, miss ratio 0.0860, byte miss ratio 0.0860
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size   292737, 39200000 req, miss ratio 0.0586, byte miss ratio 0.0586
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size   585474, 39200000 req, miss ratio 0.0505, byte miss ratio 0.0505
result/io_traces.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1170949, 39200000 req, miss ratio 0.0399, byte miss ratio 0.0399
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size     1463, 39200000 req, miss ratio 0.2218, byte miss ratio 0.2218
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size     4391, 39200000 req, miss ratio 0.1991, byte miss ratio 0.1991
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size    14636, 39200000 req, miss ratio 0.1798, byte miss ratio 0.1798
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size    43910, 39200000 req, miss ratio 0.1471, byte miss ratio 0.1471
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size   146368, 39200000 req, miss ratio 0.0921, byte miss ratio 0.0921
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size   292737, 39200000 req, miss ratio 0.0624, byte miss ratio 0.0624
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size   585474, 39200000 req, miss ratio 0.0516, byte miss ratio 0.0516
result/io_traces.ns66.oracleGeneral.zst S3FIFO cache size  1170949, 39200000 req, miss ratio 0.0401, byte miss ratio 0.0401
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size     1463, 39200000 req, miss ratio 0.2215, byte miss ratio 0.2215
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size     4391, 39200000 req, miss ratio 0.1993, byte miss ratio 0.1993
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size    14636, 39200000 req, miss ratio 0.1797, byte miss ratio 0.1797
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size    43910, 39200000 req, miss ratio 0.1450, byte miss ratio 0.1450
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size   146368, 39200000 req, miss ratio 0.0807, byte miss ratio 0.0807
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size   292737, 39200000 req, miss ratio 0.0569, byte miss ratio 0.0569
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size   585474, 39200000 req, miss ratio 0.0505, byte miss ratio 0.0505
result/io_traces.ns66.oracleGeneral.zst S3FIFO-d cache size  1170949, 39200000 req, miss ratio 0.0407, byte miss ratio 0.0407
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1463, 39200000 req, miss ratio 0.2716, byte miss ratio 0.2716
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4391, 39200000 req, miss ratio 0.2005, byte miss ratio 0.2005
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14636, 39200000 req, miss ratio 0.1845, byte miss ratio 0.1845
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43910, 39200000 req, miss ratio 0.1497, byte miss ratio 0.1497
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   146368, 39200000 req, miss ratio 0.1335, byte miss ratio 0.1335
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   292737, 39200000 req, miss ratio 0.1089, byte miss ratio 0.1089
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   585474, 39200000 req, miss ratio 0.0804, byte miss ratio 0.0804
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1170949, 39200000 req, miss ratio 0.0460, byte miss ratio 0.0460
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1463, 39200000 req, miss ratio 0.2098, byte miss ratio 0.2098
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4391, 39200000 req, miss ratio 0.1877, byte miss ratio 0.1877
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14636, 39200000 req, miss ratio 0.1738, byte miss ratio 0.1738
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43910, 39200000 req, miss ratio 0.1505, byte miss ratio 0.1505
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   146368, 39200000 req, miss ratio 0.1115, byte miss ratio 0.1115
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   292737, 39200000 req, miss ratio 0.0822, byte miss ratio 0.0822
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   585474, 39200000 req, miss ratio 0.0569, byte miss ratio 0.0569
result/io_traces.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1170949, 39200000 req, miss ratio 0.0400, byte miss ratio 0.0400
