result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   184588, 171305316 req, miss ratio 0.0231, byte miss ratio 0.0231
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   369177, 171305316 req, miss ratio 0.0118, byte miss ratio 0.0118
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   738354, 171305316 req, miss ratio 0.0065, byte miss ratio 0.0065
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size      922, 171305316 req, miss ratio 0.3117, byte miss ratio 0.3117
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size     2768, 171305316 req, miss ratio 0.2160, byte miss ratio 0.2160
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size     9229, 171305316 req, miss ratio 0.1389, byte miss ratio 0.1389
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size    27688, 171305316 req, miss ratio 0.0799, byte miss ratio 0.0799
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size    92294, 171305316 req, miss ratio 0.0378, byte miss ratio 0.0378
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size   184588, 171305316 req, miss ratio 0.0223, byte miss ratio 0.0223
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size   369177, 171305316 req, miss ratio 0.0114, byte miss ratio 0.0114
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst TwoQ cache size   738354, 171305316 req, miss ratio 0.0070, byte miss ratio 0.0070
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      922, 171305316 req, miss ratio 0.3222, byte miss ratio 0.3222
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2768, 171305316 req, miss ratio 0.2306, byte miss ratio 0.2306
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     9229, 171305316 req, miss ratio 0.1366, byte miss ratio 0.1366
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    27688, 171305316 req, miss ratio 0.0775, byte miss ratio 0.0775
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    92294, 171305316 req, miss ratio 0.0371, byte miss ratio 0.0371
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   184588, 171305316 req, miss ratio 0.0224, byte miss ratio 0.0224
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   369177, 171305316 req, miss ratio 0.0110, byte miss ratio 0.0110
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   738354, 171305316 req, miss ratio 0.0056, byte miss ratio 0.0056
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size      922, 171305316 req, miss ratio 0.3303, byte miss ratio 0.3303
result/notificationservice_api_prod1_cache.0.oracleGeneral.sample10.zst B-LRU cache size     2768, 171305316 req, miss ratio 0.2533, byte miss ratio 0.2533
