result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size    10071, 29422879 req, miss ratio 0.5207, byte miss ratio 0.5207
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size    30214, 29422879 req, miss ratio 0.3697, byte miss ratio 0.3697
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size   100716, 29422879 req, miss ratio 0.2036, byte miss ratio 0.2036
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size   201432, 29422879 req, miss ratio 0.1196, byte miss ratio 0.1196
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size   402864, 29422879 req, miss ratio 0.0572, byte miss ratio 0.0572
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst ARC cache size   805728, 29422879 req, miss ratio 0.0354, byte miss ratio 0.0354
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size     1007, 29422879 req, miss ratio 0.8469, byte miss ratio 0.8469
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size     3021, 29422879 req, miss ratio 0.7577, byte miss ratio 0.7577
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size    10071, 29422879 req, miss ratio 0.5351, byte miss ratio 0.5351
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size    30214, 29422879 req, miss ratio 0.3515, byte miss ratio 0.3515
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size   100716, 29422879 req, miss ratio 0.1897, byte miss ratio 0.1897
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size   201432, 29422879 req, miss ratio 0.1167, byte miss ratio 0.1167
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size   402864, 29422879 req, miss ratio 0.0595, byte miss ratio 0.0595
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst Clock cache size   805728, 29422879 req, miss ratio 0.0354, byte miss ratio 0.0354
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size     1007, 29422879 req, miss ratio 0.8489, byte miss ratio 0.8489
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size     3021, 29422879 req, miss ratio 0.7610, byte miss ratio 0.7610
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size    10071, 29422879 req, miss ratio 0.5378, byte miss ratio 0.5378
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size    30214, 29422879 req, miss ratio 0.3549, byte miss ratio 0.3549
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size   100716, 29422879 req, miss ratio 0.1916, byte miss ratio 0.1916
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size   201432, 29422879 req, miss ratio 0.1191, byte miss ratio 0.1191
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size   402864, 29422879 req, miss ratio 0.0595, byte miss ratio 0.0595
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst LRU cache size   805728, 29422879 req, miss ratio 0.0352, byte miss ratio 0.0352
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     1007, 29422879 req, miss ratio 0.8287, byte miss ratio 0.8287
result/brand_surveys_segment_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     3021, 29422879 req, miss ratio 0.7067, byte miss ratio 0.7067
