result/tencentBlock.ns10742.oracleGeneral.zst FIFO cache size       66, 6142123 req, miss ratio 0.7496, byte miss ratio 0.7496
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size     1989, 6142123 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size     6630, 6142123 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size    13260, 6142123 req, miss ratio 0.0342, byte miss ratio 0.0342
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size    26521, 6142123 req, miss ratio 0.0183, byte miss ratio 0.0183
result/tencentBlock.ns10742.oracleGeneral.zst LIRS cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size       66, 6142123 req, miss ratio 0.6122, byte miss ratio 0.6122
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size      198, 6142123 req, miss ratio 0.3992, byte miss ratio 0.3992
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size      663, 6142123 req, miss ratio 0.0681, byte miss ratio 0.0681
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size     1989, 6142123 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size     6630, 6142123 req, miss ratio 0.0413, byte miss ratio 0.0413
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size    13260, 6142123 req, miss ratio 0.0342, byte miss ratio 0.0342
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size    26521, 6142123 req, miss ratio 0.0193, byte miss ratio 0.0193
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-1 cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size       66, 6142123 req, miss ratio 0.7342, byte miss ratio 0.7342
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size      198, 6142123 req, miss ratio 0.6218, byte miss ratio 0.6218
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size      663, 6142123 req, miss ratio 0.0780, byte miss ratio 0.0780
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size     1989, 6142123 req, miss ratio 0.0534, byte miss ratio 0.0534
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size     6630, 6142123 req, miss ratio 0.0474, byte miss ratio 0.0474
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size    13260, 6142123 req, miss ratio 0.0354, byte miss ratio 0.0354
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size    26521, 6142123 req, miss ratio 0.0223, byte miss ratio 0.0223
result/tencentBlock.ns10742.oracleGeneral.zst LRU cache size    53042, 6142123 req, miss ratio 0.0117, byte miss ratio 0.0117
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size       66, 6142123 req, miss ratio 0.6049, byte miss ratio 0.6049
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size      198, 6142123 req, miss ratio 0.4698, byte miss ratio 0.4698
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size      663, 6142123 req, miss ratio 0.0679, byte miss ratio 0.0679
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size     1989, 6142123 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size     6630, 6142123 req, miss ratio 0.0424, byte miss ratio 0.0424
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size    13260, 6142123 req, miss ratio 0.0348, byte miss ratio 0.0348
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size    26521, 6142123 req, miss ratio 0.0196, byte miss ratio 0.0196
result/tencentBlock.ns10742.oracleGeneral.zst ARC cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size       66, 6142123 req, miss ratio 0.6141, byte miss ratio 0.6141
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size      198, 6142123 req, miss ratio 0.5583, byte miss ratio 0.5583
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size      663, 6142123 req, miss ratio 0.0743, byte miss ratio 0.0743
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size     1989, 6142123 req, miss ratio 0.0511, byte miss ratio 0.0511
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size     6630, 6142123 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size    13260, 6142123 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size    26521, 6142123 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tencentBlock.ns10742.oracleGeneral.zst Cacheus cache size    53042, 6142123 req, miss ratio 0.0113, byte miss ratio 0.0113
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size       66, 6142123 req, miss ratio 0.7285, byte miss ratio 0.7285
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size      198, 6142123 req, miss ratio 0.6032, byte miss ratio 0.6032
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size      663, 6142123 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size     1989, 6142123 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size     6630, 6142123 req, miss ratio 0.0482, byte miss ratio 0.0482
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size    13260, 6142123 req, miss ratio 0.0384, byte miss ratio 0.0384
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size    26521, 6142123 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns10742.oracleGeneral.zst clock2 cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size       66, 6142123 req, miss ratio 0.7310, byte miss ratio 0.7310
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size      198, 6142123 req, miss ratio 0.6059, byte miss ratio 0.6059
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size      663, 6142123 req, miss ratio 0.0757, byte miss ratio 0.0757
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size     1989, 6142123 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size     6630, 6142123 req, miss ratio 0.0484, byte miss ratio 0.0484
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size    13260, 6142123 req, miss ratio 0.0367, byte miss ratio 0.0367
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size    26521, 6142123 req, miss ratio 0.0217, byte miss ratio 0.0217
result/tencentBlock.ns10742.oracleGeneral.zst Clock cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size       66, 6142123 req, miss ratio 0.7097, byte miss ratio 0.7097
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size      198, 6142123 req, miss ratio 0.5635, byte miss ratio 0.5635
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size      663, 6142123 req, miss ratio 0.0712, byte miss ratio 0.0712
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size     1989, 6142123 req, miss ratio 0.0528, byte miss ratio 0.0528
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size     6630, 6142123 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size    13260, 6142123 req, miss ratio 0.0367, byte miss ratio 0.0367
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size    26521, 6142123 req, miss ratio 0.0203, byte miss ratio 0.0203
result/tencentBlock.ns10742.oracleGeneral.zst LeCaR cache size    53042, 6142123 req, miss ratio 0.0115, byte miss ratio 0.0115
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size       66, 6142123 req, miss ratio 0.6090, byte miss ratio 0.6090
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size      198, 6142123 req, miss ratio 0.4634, byte miss ratio 0.4634
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size      663, 6142123 req, miss ratio 0.0676, byte miss ratio 0.0676
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size     1989, 6142123 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size     6630, 6142123 req, miss ratio 0.0412, byte miss ratio 0.0412
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size    13260, 6142123 req, miss ratio 0.0343, byte miss ratio 0.0343
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size    26521, 6142123 req, miss ratio 0.0194, byte miss ratio 0.0194
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d-1 cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size       66, 6142123 req, miss ratio 0.6659, byte miss ratio 0.6659
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size      198, 6142123 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size      663, 6142123 req, miss ratio 0.0726, byte miss ratio 0.0726
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size     1989, 6142123 req, miss ratio 0.0491, byte miss ratio 0.0491
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size     6630, 6142123 req, miss ratio 0.0397, byte miss ratio 0.0397
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size    13260, 6142123 req, miss ratio 0.0309, byte miss ratio 0.0309
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size    26521, 6142123 req, miss ratio 0.0184, byte miss ratio 0.0184
result/tencentBlock.ns10742.oracleGeneral.zst LRB cache size    53042, 6142123 req, miss ratio 0.0121, byte miss ratio 0.0121
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size       66, 6142123 req, miss ratio 0.6430, byte miss ratio 0.6430
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size      198, 6142123 req, miss ratio 0.4844, byte miss ratio 0.4844
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size      663, 6142123 req, miss ratio 0.0725, byte miss ratio 0.0725
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1989, 6142123 req, miss ratio 0.0529, byte miss ratio 0.0529
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6630, 6142123 req, miss ratio 0.0474, byte miss ratio 0.0474
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13260, 6142123 req, miss ratio 0.0391, byte miss ratio 0.0391
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26521, 6142123 req, miss ratio 0.0201, byte miss ratio 0.0201
result/tencentBlock.ns10742.oracleGeneral.zst S4LRU(25:25:25:25) cache size    53042, 6142123 req, miss ratio 0.0112, byte miss ratio 0.0112
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       66, 6142123 req, miss ratio 0.7496, byte miss ratio 0.7496
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      198, 6142123 req, miss ratio 0.5787, byte miss ratio 0.5787
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      663, 6142123 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1989, 6142123 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6630, 6142123 req, miss ratio 0.0485, byte miss ratio 0.0485
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13260, 6142123 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26521, 6142123 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns10742.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    53042, 6142123 req, miss ratio 0.0144, byte miss ratio 0.0144
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size       66, 6142123 req, miss ratio 0.7360, byte miss ratio 0.7360
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size      198, 6142123 req, miss ratio 0.6219, byte miss ratio 0.6219
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size      663, 6142123 req, miss ratio 0.0797, byte miss ratio 0.0797
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size     1989, 6142123 req, miss ratio 0.0562, byte miss ratio 0.0562
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size     6630, 6142123 req, miss ratio 0.0494, byte miss ratio 0.0494
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size    13260, 6142123 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size    26521, 6142123 req, miss ratio 0.0241, byte miss ratio 0.0241
result/tencentBlock.ns10742.oracleGeneral.zst B-LRU cache size    53042, 6142123 req, miss ratio 0.0181, byte miss ratio 0.0181
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size       66, 6142123 req, miss ratio 0.6606, byte miss ratio 0.6606
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size      198, 6142123 req, miss ratio 0.4415, byte miss ratio 0.4415
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size      663, 6142123 req, miss ratio 0.0784, byte miss ratio 0.0784
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size     1989, 6142123 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size     6630, 6142123 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size    13260, 6142123 req, miss ratio 0.0321, byte miss ratio 0.0321
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size    26521, 6142123 req, miss ratio 0.0200, byte miss ratio 0.0200
result/tencentBlock.ns10742.oracleGeneral.zst TwoQ cache size    53042, 6142123 req, miss ratio 0.0154, byte miss ratio 0.0154
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size       66, 6142123 req, miss ratio 0.6109, byte miss ratio 0.6109
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size      198, 6142123 req, miss ratio 0.3959, byte miss ratio 0.3959
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size      663, 6142123 req, miss ratio 0.0684, byte miss ratio 0.0684
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size     1989, 6142123 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size     6630, 6142123 req, miss ratio 0.0410, byte miss ratio 0.0410
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size    13260, 6142123 req, miss ratio 0.0342, byte miss ratio 0.0342
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size    26521, 6142123 req, miss ratio 0.0197, byte miss ratio 0.0197
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO cache size    53042, 6142123 req, miss ratio 0.0118, byte miss ratio 0.0118
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size       66, 6142123 req, miss ratio 0.6882, byte miss ratio 0.6882
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size      198, 6142123 req, miss ratio 0.5125, byte miss ratio 0.5125
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size      663, 6142123 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size     1989, 6142123 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size     6630, 6142123 req, miss ratio 0.0409, byte miss ratio 0.0409
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size    13260, 6142123 req, miss ratio 0.0342, byte miss ratio 0.0342
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size    26521, 6142123 req, miss ratio 0.0197, byte miss ratio 0.0197
result/tencentBlock.ns10742.oracleGeneral.zst S3FIFO-d cache size    53042, 6142123 req, miss ratio 0.0118, byte miss ratio 0.0118
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       66, 6142123 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      198, 6142123 req, miss ratio 0.3666, byte miss ratio 0.3666
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      663, 6142123 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1989, 6142123 req, miss ratio 0.0567, byte miss ratio 0.0567
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6630, 6142123 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13260, 6142123 req, miss ratio 0.0303, byte miss ratio 0.0303
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26521, 6142123 req, miss ratio 0.0168, byte miss ratio 0.0168
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    53042, 6142123 req, miss ratio 0.0113, byte miss ratio 0.0113
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       66, 6142123 req, miss ratio 0.6284, byte miss ratio 0.6284
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      198, 6142123 req, miss ratio 0.3613, byte miss ratio 0.3613
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      663, 6142123 req, miss ratio 0.0762, byte miss ratio 0.0762
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1989, 6142123 req, miss ratio 0.0498, byte miss ratio 0.0498
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6630, 6142123 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13260, 6142123 req, miss ratio 0.0306, byte miss ratio 0.0306
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26521, 6142123 req, miss ratio 0.0177, byte miss ratio 0.0177
result/tencentBlock.ns10742.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    53042, 6142123 req, miss ratio 0.0109, byte miss ratio 0.0109
