result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size      698, 4043845 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size     2094, 4043845 req, miss ratio 0.3107, byte miss ratio 0.3107
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size     6980, 4043845 req, miss ratio 0.2977, byte miss ratio 0.2977
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size    20940, 4043845 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size    69800, 4043845 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size   139601, 4043845 req, miss ratio 0.1832, byte miss ratio 0.1832
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size   279203, 4043845 req, miss ratio 0.1756, byte miss ratio 0.1756
result/tencentBlock.ns9951.oracleGeneral.zst LRB cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size      698, 4043845 req, miss ratio 0.3273, byte miss ratio 0.3273
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2094, 4043845 req, miss ratio 0.3126, byte miss ratio 0.3126
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6980, 4043845 req, miss ratio 0.3107, byte miss ratio 0.3107
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20940, 4043845 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size    69800, 4043845 req, miss ratio 0.2618, byte miss ratio 0.2618
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size   139601, 4043845 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size   279203, 4043845 req, miss ratio 0.1775, byte miss ratio 0.1775
result/tencentBlock.ns9951.oracleGeneral.zst S4LRU(25:25:25:25) cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size      698, 4043845 req, miss ratio 0.3399, byte miss ratio 0.3399
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size     2094, 4043845 req, miss ratio 0.3372, byte miss ratio 0.3372
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size     6980, 4043845 req, miss ratio 0.3356, byte miss ratio 0.3356
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size    20940, 4043845 req, miss ratio 0.3096, byte miss ratio 0.3096
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size    69800, 4043845 req, miss ratio 0.2323, byte miss ratio 0.2323
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size   139601, 4043845 req, miss ratio 0.2211, byte miss ratio 0.2211
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size   279203, 4043845 req, miss ratio 0.2211, byte miss ratio 0.2211
result/tencentBlock.ns9951.oracleGeneral.zst B-LRU cache size   558406, 4043845 req, miss ratio 0.2211, byte miss ratio 0.2211
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size      698, 4043845 req, miss ratio 0.3148, byte miss ratio 0.3148
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size     2094, 4043845 req, miss ratio 0.3125, byte miss ratio 0.3125
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size     6980, 4043845 req, miss ratio 0.3104, byte miss ratio 0.3104
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size    20940, 4043845 req, miss ratio 0.3088, byte miss ratio 0.3088
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size    69800, 4043845 req, miss ratio 0.2695, byte miss ratio 0.2695
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size   139601, 4043845 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size   279203, 4043845 req, miss ratio 0.1908, byte miss ratio 0.1908
result/tencentBlock.ns9951.oracleGeneral.zst TwoQ cache size   558406, 4043845 req, miss ratio 0.1849, byte miss ratio 0.1849
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      698, 4043845 req, miss ratio 0.3276, byte miss ratio 0.3276
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2094, 4043845 req, miss ratio 0.3150, byte miss ratio 0.3150
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6980, 4043845 req, miss ratio 0.3118, byte miss ratio 0.3118
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20940, 4043845 req, miss ratio 0.3072, byte miss ratio 0.3072
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    69800, 4043845 req, miss ratio 0.2713, byte miss ratio 0.2713
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   139601, 4043845 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   279203, 4043845 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns9951.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   558406, 4043845 req, miss ratio 0.1797, byte miss ratio 0.1797
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size      698, 4043845 req, miss ratio 0.3138, byte miss ratio 0.3138
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size     2094, 4043845 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size     6980, 4043845 req, miss ratio 0.3108, byte miss ratio 0.3108
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size    20940, 4043845 req, miss ratio 0.2990, byte miss ratio 0.2990
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size    69800, 4043845 req, miss ratio 0.2556, byte miss ratio 0.2556
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size   139601, 4043845 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size   279203, 4043845 req, miss ratio 0.1784, byte miss ratio 0.1784
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO-d cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size      698, 4043845 req, miss ratio 0.3143, byte miss ratio 0.3143
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size     2094, 4043845 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size     6980, 4043845 req, miss ratio 0.3108, byte miss ratio 0.3108
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size    20940, 4043845 req, miss ratio 0.2990, byte miss ratio 0.2990
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size    69800, 4043845 req, miss ratio 0.2556, byte miss ratio 0.2556
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size   139601, 4043845 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size   279203, 4043845 req, miss ratio 0.1784, byte miss ratio 0.1784
result/tencentBlock.ns9951.oracleGeneral.zst S3FIFO cache size   558406, 4043845 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      698, 4043845 req, miss ratio 0.3472, byte miss ratio 0.3472
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2094, 4043845 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6980, 4043845 req, miss ratio 0.3004, byte miss ratio 0.3004
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20940, 4043845 req, miss ratio 0.2674, byte miss ratio 0.2674
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    69800, 4043845 req, miss ratio 0.2214, byte miss ratio 0.2214
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   139601, 4043845 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   279203, 4043845 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   558406, 4043845 req, miss ratio 0.1749, byte miss ratio 0.1749
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      698, 4043845 req, miss ratio 0.3152, byte miss ratio 0.3152
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2094, 4043845 req, miss ratio 0.3109, byte miss ratio 0.3109
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6980, 4043845 req, miss ratio 0.2984, byte miss ratio 0.2984
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20940, 4043845 req, miss ratio 0.2675, byte miss ratio 0.2675
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    69800, 4043845 req, miss ratio 0.2284, byte miss ratio 0.2284
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   139601, 4043845 req, miss ratio 0.1860, byte miss ratio 0.1860
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   279203, 4043845 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns9951.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   558406, 4043845 req, miss ratio 0.1878, byte miss ratio 0.1878
