result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1860326, 302534839 req, miss ratio 0.0361, byte miss ratio 0.0361
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3720653, 302534839 req, miss ratio 0.0330, byte miss ratio 0.0330
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size     9301, 302534839 req, miss ratio 0.1606, byte miss ratio 0.1606
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size    27904, 302534839 req, miss ratio 0.1072, byte miss ratio 0.1072
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size    93016, 302534839 req, miss ratio 0.0723, byte miss ratio 0.0723
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size   279048, 302534839 req, miss ratio 0.0521, byte miss ratio 0.0521
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size   930163, 302534839 req, miss ratio 0.0385, byte miss ratio 0.0385
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size  1860326, 302534839 req, miss ratio 0.0351, byte miss ratio 0.0351
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size  3720653, 302534839 req, miss ratio 0.0326, byte miss ratio 0.0326
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst LRB cache size  7441306, 302534839 req, miss ratio 0.0309, byte miss ratio 0.0309
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size     9301, 302534839 req, miss ratio 0.1608, byte miss ratio 0.1608
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size    27904, 302534839 req, miss ratio 0.1046, byte miss ratio 0.1046
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size    93016, 302534839 req, miss ratio 0.0703, byte miss ratio 0.0703
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size   279048, 302534839 req, miss ratio 0.0523, byte miss ratio 0.0523
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size   930163, 302534839 req, miss ratio 0.0406, byte miss ratio 0.0406
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1860326, 302534839 req, miss ratio 0.0371, byte miss ratio 0.0371
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3720653, 302534839 req, miss ratio 0.0344, byte miss ratio 0.0344
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst TwoQ cache size  7441306, 302534839 req, miss ratio 0.0318, byte miss ratio 0.0318
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size     9301, 302534839 req, miss ratio 0.1944, byte miss ratio 0.1944
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size    27904, 302534839 req, miss ratio 0.1314, byte miss ratio 0.1314
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size    93016, 302534839 req, miss ratio 0.0947, byte miss ratio 0.0947
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size   279048, 302534839 req, miss ratio 0.0750, byte miss ratio 0.0750
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size   930163, 302534839 req, miss ratio 0.0621, byte miss ratio 0.0621
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1860326, 302534839 req, miss ratio 0.0574, byte miss ratio 0.0574
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3720653, 302534839 req, miss ratio 0.0550, byte miss ratio 0.0550
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst B-LRU cache size  7441306, 302534839 req, miss ratio 0.0543, byte miss ratio 0.0543
result/blender_adaptive_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     9301, 302534839 req, miss ratio 0.1849, byte miss ratio 0.1849
