result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size       56, 3950682 req, miss ratio 0.7027, byte miss ratio 0.7027
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size      169, 3950682 req, miss ratio 0.6762, byte miss ratio 0.6762
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size      563, 3950682 req, miss ratio 0.6596, byte miss ratio 0.6596
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size     1691, 3950682 req, miss ratio 0.6517, byte miss ratio 0.6517
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size     5638, 3950682 req, miss ratio 0.4755, byte miss ratio 0.4755
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size    11276, 3950682 req, miss ratio 0.2834, byte miss ratio 0.2834
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size    22552, 3950682 req, miss ratio 0.0577, byte miss ratio 0.0577
result/tencentBlock.ns12341.oracleGeneral.zst TwoQ cache size    45104, 3950682 req, miss ratio 0.0223, byte miss ratio 0.0223
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       56, 3950682 req, miss ratio 0.7557, byte miss ratio 0.7557
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      169, 3950682 req, miss ratio 0.6964, byte miss ratio 0.6964
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      563, 3950682 req, miss ratio 0.6820, byte miss ratio 0.6820
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1691, 3950682 req, miss ratio 0.6637, byte miss ratio 0.6637
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5638, 3950682 req, miss ratio 0.5372, byte miss ratio 0.5372
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11276, 3950682 req, miss ratio 0.3125, byte miss ratio 0.3125
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22552, 3950682 req, miss ratio 0.0855, byte miss ratio 0.0855
result/tencentBlock.ns12341.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45104, 3950682 req, miss ratio 0.0204, byte miss ratio 0.0204
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size       56, 3950682 req, miss ratio 0.7314, byte miss ratio 0.7314
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size      169, 3950682 req, miss ratio 0.7022, byte miss ratio 0.7022
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size      563, 3950682 req, miss ratio 0.6884, byte miss ratio 0.6884
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size     1691, 3950682 req, miss ratio 0.6831, byte miss ratio 0.6831
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size     5638, 3950682 req, miss ratio 0.6789, byte miss ratio 0.6789
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size    11276, 3950682 req, miss ratio 0.3144, byte miss ratio 0.3144
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size    22552, 3950682 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns12341.oracleGeneral.zst B-LRU cache size    45104, 3950682 req, miss ratio 0.0270, byte miss ratio 0.0270
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size       56, 3950682 req, miss ratio 0.7094, byte miss ratio 0.7094
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size      169, 3950682 req, miss ratio 0.6799, byte miss ratio 0.6799
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size      563, 3950682 req, miss ratio 0.6646, byte miss ratio 0.6646
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1691, 3950682 req, miss ratio 0.6430, byte miss ratio 0.6430
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5638, 3950682 req, miss ratio 0.4947, byte miss ratio 0.4947
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11276, 3950682 req, miss ratio 0.2482, byte miss ratio 0.2482
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22552, 3950682 req, miss ratio 0.0496, byte miss ratio 0.0496
result/tencentBlock.ns12341.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45104, 3950682 req, miss ratio 0.0145, byte miss ratio 0.0145
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size       56, 3950682 req, miss ratio 0.6997, byte miss ratio 0.6997
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size      169, 3950682 req, miss ratio 0.6743, byte miss ratio 0.6743
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size      563, 3950682 req, miss ratio 0.6578, byte miss ratio 0.6578
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size     1691, 3950682 req, miss ratio 0.6439, byte miss ratio 0.6439
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size     5638, 3950682 req, miss ratio 0.4426, byte miss ratio 0.4426
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size    11276, 3950682 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size    22552, 3950682 req, miss ratio 0.0470, byte miss ratio 0.0470
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO cache size    45104, 3950682 req, miss ratio 0.0150, byte miss ratio 0.0150
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size       56, 3950682 req, miss ratio 0.7027, byte miss ratio 0.7027
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size      169, 3950682 req, miss ratio 0.6749, byte miss ratio 0.6749
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size      563, 3950682 req, miss ratio 0.6584, byte miss ratio 0.6584
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size     1691, 3950682 req, miss ratio 0.6431, byte miss ratio 0.6431
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size     5638, 3950682 req, miss ratio 0.4274, byte miss ratio 0.4274
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size    11276, 3950682 req, miss ratio 0.2818, byte miss ratio 0.2818
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size    22552, 3950682 req, miss ratio 0.0486, byte miss ratio 0.0486
result/tencentBlock.ns12341.oracleGeneral.zst S3FIFO-d cache size    45104, 3950682 req, miss ratio 0.0149, byte miss ratio 0.0149
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       56, 3950682 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      169, 3950682 req, miss ratio 0.6894, byte miss ratio 0.6894
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      563, 3950682 req, miss ratio 0.6550, byte miss ratio 0.6550
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1691, 3950682 req, miss ratio 0.6134, byte miss ratio 0.6134
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5638, 3950682 req, miss ratio 0.4026, byte miss ratio 0.4026
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11276, 3950682 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22552, 3950682 req, miss ratio 0.0429, byte miss ratio 0.0429
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45104, 3950682 req, miss ratio 0.0145, byte miss ratio 0.0145
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       56, 3950682 req, miss ratio 0.7057, byte miss ratio 0.7057
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      169, 3950682 req, miss ratio 0.6802, byte miss ratio 0.6802
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      563, 3950682 req, miss ratio 0.6543, byte miss ratio 0.6543
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1691, 3950682 req, miss ratio 0.5939, byte miss ratio 0.5939
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5638, 3950682 req, miss ratio 0.4401, byte miss ratio 0.4401
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11276, 3950682 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22552, 3950682 req, miss ratio 0.0460, byte miss ratio 0.0460
result/tencentBlock.ns12341.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45104, 3950682 req, miss ratio 0.0157, byte miss ratio 0.0157
