result/cdn2_allcolo.ns5275.oracleGeneral.zst S4LRU(25:25:25:25) cache size      134, 2549234 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns5275.oracleGeneral.zst S4LRU(25:25:25:25) cache size      449, 2549234 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns5275.oracleGeneral.zst S4LRU(25:25:25:25) cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size       13, 2549234 req, miss ratio 0.1441, byte miss ratio 0.1441
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size       44, 2549234 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size      134, 2549234 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size      449, 2549234 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO-d cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size       13, 2549234 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size       44, 2549234 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size      134, 2549234 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size      449, 2549234 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size      898, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size     1797, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst S3FIFO cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       13, 2549234 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       44, 2549234 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      134, 2549234 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      449, 2549234 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      898, 2549234 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1797, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       13, 2549234 req, miss ratio 0.1470, byte miss ratio 0.1470
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       44, 2549234 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      134, 2549234 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      449, 2549234 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      898, 2549234 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1797, 2549234 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns5275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3595, 2549234 req, miss ratio 0.0018, byte miss ratio 0.0018
