result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size    67692, 60202760 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size   225640, 60202760 req, miss ratio 0.2349, byte miss ratio 0.2349
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size   451280, 60202760 req, miss ratio 0.1485, byte miss ratio 0.1485
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size   902560, 60202760 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns2376.oracleGeneral.zst B-LRU cache size  1805120, 60202760 req, miss ratio 0.0726, byte miss ratio 0.0726
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size     2256, 60202760 req, miss ratio 0.7912, byte miss ratio 0.7912
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size     6769, 60202760 req, miss ratio 0.6799, byte miss ratio 0.6799
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size    22564, 60202760 req, miss ratio 0.5484, byte miss ratio 0.5484
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size    67692, 60202760 req, miss ratio 0.4105, byte miss ratio 0.4105
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size   225640, 60202760 req, miss ratio 0.2173, byte miss ratio 0.2173
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size   451280, 60202760 req, miss ratio 0.1200, byte miss ratio 0.1200
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size   902560, 60202760 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns2376.oracleGeneral.zst TwoQ cache size  1805120, 60202760 req, miss ratio 0.0452, byte miss ratio 0.0452
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2256, 60202760 req, miss ratio 0.8309, byte miss ratio 0.8309
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6769, 60202760 req, miss ratio 0.6940, byte miss ratio 0.6940
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22564, 60202760 req, miss ratio 0.5489, byte miss ratio 0.5489
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67692, 60202760 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size   225640, 60202760 req, miss ratio 0.2332, byte miss ratio 0.2332
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size   451280, 60202760 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size   902560, 60202760 req, miss ratio 0.0518, byte miss ratio 0.0518
result/tencentBlock.ns2376.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1805120, 60202760 req, miss ratio 0.0382, byte miss ratio 0.0382
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2256, 60202760 req, miss ratio 0.8008, byte miss ratio 0.8008
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6769, 60202760 req, miss ratio 0.6947, byte miss ratio 0.6947
result/tencentBlock.ns2376.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22564, 60202760 req, miss ratio 0.5712, byte miss ratio 0.5712
