result/w46.oracleGeneral.bin.zst clock2 cache size   137814, 11550125 req, miss ratio 0.5193, byte miss ratio 0.5193
result/w46.oracleGeneral.bin.zst clock2 cache size   459383, 11550125 req, miss ratio 0.4468, byte miss ratio 0.4468
result/w46.oracleGeneral.bin.zst clock2 cache size   918766, 11550125 req, miss ratio 0.4219, byte miss ratio 0.4219
result/w46.oracleGeneral.bin.zst clock2 cache size  1837532, 11550125 req, miss ratio 0.4060, byte miss ratio 0.4060
result/w46.oracleGeneral.bin.zst clock2 cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst ARC cache size     4593, 11550125 req, miss ratio 0.6280, byte miss ratio 0.6280
result/w46.oracleGeneral.bin.zst ARC cache size    13781, 11550125 req, miss ratio 0.5887, byte miss ratio 0.5887
result/w46.oracleGeneral.bin.zst ARC cache size    45938, 11550125 req, miss ratio 0.5468, byte miss ratio 0.5468
result/w46.oracleGeneral.bin.zst ARC cache size   137814, 11550125 req, miss ratio 0.5076, byte miss ratio 0.5076
result/w46.oracleGeneral.bin.zst ARC cache size   459383, 11550125 req, miss ratio 0.4516, byte miss ratio 0.4516
result/w46.oracleGeneral.bin.zst ARC cache size   918766, 11550125 req, miss ratio 0.4306, byte miss ratio 0.4306
result/w46.oracleGeneral.bin.zst ARC cache size  1837532, 11550125 req, miss ratio 0.4062, byte miss ratio 0.4062
result/w46.oracleGeneral.bin.zst ARC cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst FIFO cache size     4593, 11550125 req, miss ratio 0.6496, byte miss ratio 0.6496
result/w46.oracleGeneral.bin.zst FIFO cache size    13781, 11550125 req, miss ratio 0.6211, byte miss ratio 0.6211
result/w46.oracleGeneral.bin.zst FIFO cache size    45938, 11550125 req, miss ratio 0.5851, byte miss ratio 0.5851
result/w46.oracleGeneral.bin.zst FIFO cache size   137814, 11550125 req, miss ratio 0.5377, byte miss ratio 0.5377
result/w46.oracleGeneral.bin.zst FIFO cache size   459383, 11550125 req, miss ratio 0.4644, byte miss ratio 0.4644
result/w46.oracleGeneral.bin.zst FIFO cache size   918766, 11550125 req, miss ratio 0.4370, byte miss ratio 0.4370
result/w46.oracleGeneral.bin.zst FIFO cache size  1837532, 11550125 req, miss ratio 0.4113, byte miss ratio 0.4113
result/w46.oracleGeneral.bin.zst FIFO cache size  3675065, 11550125 req, miss ratio 0.3993, byte miss ratio 0.3993
result/w46.oracleGeneral.bin.zst Cacheus cache size     4593, 11550125 req, miss ratio 0.6337, byte miss ratio 0.6337
result/w46.oracleGeneral.bin.zst Cacheus cache size    13781, 11550125 req, miss ratio 0.5973, byte miss ratio 0.5973
result/w46.oracleGeneral.bin.zst Cacheus cache size    45938, 11550125 req, miss ratio 0.5515, byte miss ratio 0.5515
result/w46.oracleGeneral.bin.zst Cacheus cache size   137814, 11550125 req, miss ratio 0.5043, byte miss ratio 0.5043
result/w46.oracleGeneral.bin.zst Cacheus cache size   459383, 11550125 req, miss ratio 0.4477, byte miss ratio 0.4477
result/w46.oracleGeneral.bin.zst Cacheus cache size   918766, 11550125 req, miss ratio 0.4335, byte miss ratio 0.4335
result/w46.oracleGeneral.bin.zst Cacheus cache size  1837532, 11550125 req, miss ratio 0.4108, byte miss ratio 0.4108
result/w46.oracleGeneral.bin.zst Cacheus cache size  3675065, 11550125 req, miss ratio 0.4008, byte miss ratio 0.4008
result/w46.oracleGeneral.bin.zst LRU cache size     4593, 11550125 req, miss ratio 0.6457, byte miss ratio 0.6457
result/w46.oracleGeneral.bin.zst LRU cache size    13781, 11550125 req, miss ratio 0.6169, byte miss ratio 0.6169
result/w46.oracleGeneral.bin.zst LRU cache size    45938, 11550125 req, miss ratio 0.5828, byte miss ratio 0.5828
result/w46.oracleGeneral.bin.zst LRU cache size   137814, 11550125 req, miss ratio 0.5309, byte miss ratio 0.5309
result/w46.oracleGeneral.bin.zst LRU cache size   459383, 11550125 req, miss ratio 0.4519, byte miss ratio 0.4519
result/w46.oracleGeneral.bin.zst LRU cache size   918766, 11550125 req, miss ratio 0.4260, byte miss ratio 0.4260
result/w46.oracleGeneral.bin.zst LRU cache size  1837532, 11550125 req, miss ratio 0.4062, byte miss ratio 0.4062
result/w46.oracleGeneral.bin.zst LRU cache size  3675065, 11550125 req, miss ratio 0.3983, byte miss ratio 0.3983
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size     4593, 11550125 req, miss ratio 0.6276, byte miss ratio 0.6276
result/w46.oracleGeneral.bin.zst S3FIFO-1 cache size    13781, 11550125 req, miss ratio 0.5888, byte miss ratio 0.5888
