result/io_traces.ns436.oracleGeneral.zst LHD cache size     1664, 2000000 req, miss ratio 0.4515, byte miss ratio 0.4515
result/io_traces.ns436.oracleGeneral.zst LHD cache size     4994, 2000000 req, miss ratio 0.4327, byte miss ratio 0.4327
result/io_traces.ns436.oracleGeneral.zst LHD cache size    16647, 2000000 req, miss ratio 0.3280, byte miss ratio 0.3280
result/io_traces.ns436.oracleGeneral.zst LHD cache size    33294, 2000000 req, miss ratio 0.2042, byte miss ratio 0.2042
result/io_traces.ns436.oracleGeneral.zst LHD cache size    66588, 2000000 req, miss ratio 0.0904, byte miss ratio 0.0904
result/io_traces.ns436.oracleGeneral.zst LHD cache size   133176, 2000000 req, miss ratio 0.0834, byte miss ratio 0.0834
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size      166, 2000000 req, miss ratio 0.4604, byte miss ratio 0.4604
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size      499, 2000000 req, miss ratio 0.4534, byte miss ratio 0.4534
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size     1664, 2000000 req, miss ratio 0.4507, byte miss ratio 0.4507
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size     4994, 2000000 req, miss ratio 0.4347, byte miss ratio 0.4347
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size    16647, 2000000 req, miss ratio 0.3340, byte miss ratio 0.3340
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size    33294, 2000000 req, miss ratio 0.2161, byte miss ratio 0.2161
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size    66588, 2000000 req, miss ratio 0.0898, byte miss ratio 0.0898
result/io_traces.ns436.oracleGeneral.zst Cacheus cache size   133176, 2000000 req, miss ratio 0.0833, byte miss ratio 0.0833
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size      166, 2000000 req, miss ratio 0.4591, byte miss ratio 0.4591
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size      499, 2000000 req, miss ratio 0.4535, byte miss ratio 0.4535
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size     1664, 2000000 req, miss ratio 0.4505, byte miss ratio 0.4505
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size     4994, 2000000 req, miss ratio 0.4436, byte miss ratio 0.4436
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size    16647, 2000000 req, miss ratio 0.3575, byte miss ratio 0.3575
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size    33294, 2000000 req, miss ratio 0.2231, byte miss ratio 0.2231
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size    66588, 2000000 req, miss ratio 0.0938, byte miss ratio 0.0938
result/io_traces.ns436.oracleGeneral.zst S3FIFO-d-1 cache size   133176, 2000000 req, miss ratio 0.0860, byte miss ratio 0.0860
result/io_traces.ns436.oracleGeneral.zst LRB cache size      166, 2000000 req, miss ratio 0.5235, byte miss ratio 0.5235
result/io_traces.ns436.oracleGeneral.zst LRB cache size      499, 2000000 req, miss ratio 0.4784, byte miss ratio 0.4784
result/io_traces.ns436.oracleGeneral.zst LRB cache size     1664, 2000000 req, miss ratio 0.4464, byte miss ratio 0.4464
result/io_traces.ns436.oracleGeneral.zst LRB cache size     4994, 2000000 req, miss ratio 0.4103, byte miss ratio 0.4103
result/io_traces.ns436.oracleGeneral.zst LRB cache size    16647, 2000000 req, miss ratio 0.2937, byte miss ratio 0.2937
result/io_traces.ns436.oracleGeneral.zst LRB cache size    33294, 2000000 req, miss ratio 0.1450, byte miss ratio 0.1450
result/io_traces.ns436.oracleGeneral.zst LRB cache size    66588, 2000000 req, miss ratio 0.1011, byte miss ratio 0.1011
result/io_traces.ns436.oracleGeneral.zst LRB cache size   133176, 2000000 req, miss ratio 0.0832, byte miss ratio 0.0832
