result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size      274, 34337798 req, miss ratio 0.0408, byte miss ratio 0.0408
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size      915, 34337798 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size     2745, 34337798 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size     9151, 34337798 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size    18302, 34337798 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size    36604, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst LRB cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size       91, 34337798 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size      274, 34337798 req, miss ratio 0.0490, byte miss ratio 0.0490
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size      915, 34337798 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2745, 34337798 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9151, 34337798 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18302, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S4LRU(25:25:25:25) cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size       91, 34337798 req, miss ratio 0.1558, byte miss ratio 0.1558
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size      274, 34337798 req, miss ratio 0.0603, byte miss ratio 0.0603
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size      915, 34337798 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size     2745, 34337798 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size     9151, 34337798 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size    18302, 34337798 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size    36604, 34337798 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns283.oracleGeneral.zst B-LRU cache size    73208, 34337798 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size       91, 34337798 req, miss ratio 0.1315, byte miss ratio 0.1315
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size      274, 34337798 req, miss ratio 0.0534, byte miss ratio 0.0534
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size      915, 34337798 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size     2745, 34337798 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size     9151, 34337798 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size    18302, 34337798 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size    36604, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst TwoQ cache size    73208, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       91, 34337798 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      274, 34337798 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      915, 34337798 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2745, 34337798 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9151, 34337798 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18302, 34337798 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36604, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size       91, 34337798 req, miss ratio 0.1455, byte miss ratio 0.1455
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size      274, 34337798 req, miss ratio 0.0565, byte miss ratio 0.0565
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size      915, 34337798 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size     2745, 34337798 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size     9151, 34337798 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size    18302, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO-d cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size       91, 34337798 req, miss ratio 0.1197, byte miss ratio 0.1197
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size      274, 34337798 req, miss ratio 0.0464, byte miss ratio 0.0464
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size      915, 34337798 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size     2745, 34337798 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size     9151, 34337798 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size    18302, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size    36604, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst S3FIFO cache size    73208, 34337798 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       91, 34337798 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      274, 34337798 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      915, 34337798 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2745, 34337798 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9151, 34337798 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18302, 34337798 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36604, 34337798 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    73208, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       91, 34337798 req, miss ratio 0.1189, byte miss ratio 0.1189
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      274, 34337798 req, miss ratio 0.0459, byte miss ratio 0.0459
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      915, 34337798 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2745, 34337798 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9151, 34337798 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18302, 34337798 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36604, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns283.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    73208, 34337798 req, miss ratio 0.0028, byte miss ratio 0.0028
