result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   121895, 9980890 req, miss ratio 0.8823, byte miss ratio 0.8823
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   406319, 9980890 req, miss ratio 0.7199, byte miss ratio 0.7199
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   812638, 9980890 req, miss ratio 0.6171, byte miss ratio 0.6171
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1625277, 9980890 req, miss ratio 0.5122, byte miss ratio 0.5122
result/tencentBlock.ns5732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3250554, 9980890 req, miss ratio 0.4243, byte miss ratio 0.4243
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size     4063, 9980890 req, miss ratio 0.9949, byte miss ratio 0.9949
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size    12189, 9980890 req, miss ratio 0.9927, byte miss ratio 0.9927
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size    40631, 9980890 req, miss ratio 0.9577, byte miss ratio 0.9577
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size   121895, 9980890 req, miss ratio 0.8461, byte miss ratio 0.8461
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size   406319, 9980890 req, miss ratio 0.7384, byte miss ratio 0.7384
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size   812638, 9980890 req, miss ratio 0.7072, byte miss ratio 0.7072
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size  1625277, 9980890 req, miss ratio 0.6679, byte miss ratio 0.6679
result/tencentBlock.ns5732.oracleGeneral.zst B-LRU cache size  3250554, 9980890 req, miss ratio 0.6511, byte miss ratio 0.6511
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size     4063, 9980890 req, miss ratio 0.9936, byte miss ratio 0.9936
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size    12189, 9980890 req, miss ratio 0.9904, byte miss ratio 0.9904
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size    40631, 9980890 req, miss ratio 0.9589, byte miss ratio 0.9589
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size   121895, 9980890 req, miss ratio 0.8591, byte miss ratio 0.8591
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size   406319, 9980890 req, miss ratio 0.6555, byte miss ratio 0.6555
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size   812638, 9980890 req, miss ratio 0.5931, byte miss ratio 0.5931
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size  1625277, 9980890 req, miss ratio 0.5188, byte miss ratio 0.5188
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO-d cache size  3250554, 9980890 req, miss ratio 0.4223, byte miss ratio 0.4223
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size     4063, 9980890 req, miss ratio 0.9936, byte miss ratio 0.9936
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size    12189, 9980890 req, miss ratio 0.9904, byte miss ratio 0.9904
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size    40631, 9980890 req, miss ratio 0.9587, byte miss ratio 0.9587
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size   121895, 9980890 req, miss ratio 0.8873, byte miss ratio 0.8873
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size   406319, 9980890 req, miss ratio 0.7438, byte miss ratio 0.7438
result/tencentBlock.ns5732.oracleGeneral.zst S3FIFO cache size   812638, 9980890 req, miss ratio 0.6310, byte miss ratio 0.6310
