result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size      163, 8539974 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size      546, 8539974 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size     1638, 8539974 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size     5462, 8539974 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst Cacheus cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size       54, 8539974 req, miss ratio 0.0880, byte miss ratio 0.0880
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size      163, 8539974 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size      546, 8539974 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size     1638, 8539974 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size     5462, 8539974 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size    10924, 8539974 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size    21849, 8539974 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1457.oracleGeneral.zst S3FIFO-d-1 cache size    43699, 8539974 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size       54, 8539974 req, miss ratio 0.0777, byte miss ratio 0.0777
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size      163, 8539974 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size      546, 8539974 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns1457.oracleGeneral.zst LRB cache size     1638, 8539974 req, miss ratio 0.0069, byte miss ratio 0.0069
