result/io_traces.ns825.oracleGeneral.zst clock2 cache size    19404, 2800000 req, miss ratio 0.7443, byte miss ratio 0.7443
result/io_traces.ns825.oracleGeneral.zst clock2 cache size    58214, 2800000 req, miss ratio 0.7409, byte miss ratio 0.7409
result/io_traces.ns825.oracleGeneral.zst clock2 cache size   194048, 2800000 req, miss ratio 0.7366, byte miss ratio 0.7366
result/io_traces.ns825.oracleGeneral.zst clock2 cache size   388096, 2800000 req, miss ratio 0.7309, byte miss ratio 0.7309
result/io_traces.ns825.oracleGeneral.zst clock2 cache size   776192, 2800000 req, miss ratio 0.7151, byte miss ratio 0.7151
result/io_traces.ns825.oracleGeneral.zst clock2 cache size  1552385, 2800000 req, miss ratio 0.6943, byte miss ratio 0.6943
result/io_traces.ns825.oracleGeneral.zst LRU cache size     1940, 2800000 req, miss ratio 0.7569, byte miss ratio 0.7569
result/io_traces.ns825.oracleGeneral.zst LRU cache size     5821, 2800000 req, miss ratio 0.7504, byte miss ratio 0.7504
result/io_traces.ns825.oracleGeneral.zst LRU cache size    19404, 2800000 req, miss ratio 0.7452, byte miss ratio 0.7452
result/io_traces.ns825.oracleGeneral.zst LRU cache size    58214, 2800000 req, miss ratio 0.7415, byte miss ratio 0.7415
result/io_traces.ns825.oracleGeneral.zst LRU cache size   194048, 2800000 req, miss ratio 0.7339, byte miss ratio 0.7339
result/io_traces.ns825.oracleGeneral.zst LRU cache size   388096, 2800000 req, miss ratio 0.7312, byte miss ratio 0.7312
result/io_traces.ns825.oracleGeneral.zst LRU cache size   776192, 2800000 req, miss ratio 0.7160, byte miss ratio 0.7160
result/io_traces.ns825.oracleGeneral.zst LRU cache size  1552385, 2800000 req, miss ratio 0.6946, byte miss ratio 0.6946
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size     1940, 2800000 req, miss ratio 0.7545, byte miss ratio 0.7545
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size     5821, 2800000 req, miss ratio 0.7491, byte miss ratio 0.7491
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size    19404, 2800000 req, miss ratio 0.7431, byte miss ratio 0.7431
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size    58214, 2800000 req, miss ratio 0.7393, byte miss ratio 0.7393
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size   194048, 2800000 req, miss ratio 0.7334, byte miss ratio 0.7334
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size   388096, 2800000 req, miss ratio 0.7295, byte miss ratio 0.7295
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size   776192, 2800000 req, miss ratio 0.7145, byte miss ratio 0.7145
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d-1 cache size  1552385, 2800000 req, miss ratio 0.6943, byte miss ratio 0.6943
result/io_traces.ns825.oracleGeneral.zst LRB cache size     1940, 2800000 req, miss ratio 0.7587, byte miss ratio 0.7587
result/io_traces.ns825.oracleGeneral.zst LRB cache size     5821, 2800000 req, miss ratio 0.7507, byte miss ratio 0.7507
result/io_traces.ns825.oracleGeneral.zst LRB cache size    19404, 2800000 req, miss ratio 0.7431, byte miss ratio 0.7431
result/io_traces.ns825.oracleGeneral.zst LRB cache size    58214, 2800000 req, miss ratio 0.7374, byte miss ratio 0.7374
result/io_traces.ns825.oracleGeneral.zst LRB cache size   194048, 2800000 req, miss ratio 0.7342, byte miss ratio 0.7342
result/io_traces.ns825.oracleGeneral.zst LRB cache size   388096, 2800000 req, miss ratio 0.7312, byte miss ratio 0.7312
result/io_traces.ns825.oracleGeneral.zst LRB cache size   776192, 2800000 req, miss ratio 0.7160, byte miss ratio 0.7160
result/io_traces.ns825.oracleGeneral.zst LRB cache size  1552385, 2800000 req, miss ratio 0.6946, byte miss ratio 0.6946
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1940, 2800000 req, miss ratio 0.7558, byte miss ratio 0.7558
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5821, 2800000 req, miss ratio 0.7511, byte miss ratio 0.7511
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19404, 2800000 req, miss ratio 0.7461, byte miss ratio 0.7461
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    58214, 2800000 req, miss ratio 0.7419, byte miss ratio 0.7419
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   194048, 2800000 req, miss ratio 0.7367, byte miss ratio 0.7367
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   388096, 2800000 req, miss ratio 0.7256, byte miss ratio 0.7256
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   776192, 2800000 req, miss ratio 0.7150, byte miss ratio 0.7150
result/io_traces.ns825.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1552385, 2800000 req, miss ratio 0.6951, byte miss ratio 0.6951
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size     1940, 2800000 req, miss ratio 0.7553, byte miss ratio 0.7553
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size     5821, 2800000 req, miss ratio 0.7463, byte miss ratio 0.7463
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size    19404, 2800000 req, miss ratio 0.7445, byte miss ratio 0.7445
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size    58214, 2800000 req, miss ratio 0.7414, byte miss ratio 0.7414
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size   194048, 2800000 req, miss ratio 0.7363, byte miss ratio 0.7363
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size   388096, 2800000 req, miss ratio 0.7323, byte miss ratio 0.7323
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size   776192, 2800000 req, miss ratio 0.7164, byte miss ratio 0.7164
result/io_traces.ns825.oracleGeneral.zst TwoQ cache size  1552385, 2800000 req, miss ratio 0.6970, byte miss ratio 0.6970
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1940, 2800000 req, miss ratio 0.7563, byte miss ratio 0.7563
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5821, 2800000 req, miss ratio 0.7521, byte miss ratio 0.7521
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19404, 2800000 req, miss ratio 0.7431, byte miss ratio 0.7431
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size    58214, 2800000 req, miss ratio 0.7390, byte miss ratio 0.7390
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size   194048, 2800000 req, miss ratio 0.7298, byte miss ratio 0.7298
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size   388096, 2800000 req, miss ratio 0.7175, byte miss ratio 0.7175
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size   776192, 2800000 req, miss ratio 0.7000, byte miss ratio 0.7000
result/io_traces.ns825.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1552385, 2800000 req, miss ratio 0.6944, byte miss ratio 0.6944
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size     1940, 2800000 req, miss ratio 0.7991, byte miss ratio 0.7991
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size     5821, 2800000 req, miss ratio 0.7936, byte miss ratio 0.7936
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size    19404, 2800000 req, miss ratio 0.7896, byte miss ratio 0.7896
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size    58214, 2800000 req, miss ratio 0.7826, byte miss ratio 0.7826
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size   194048, 2800000 req, miss ratio 0.7788, byte miss ratio 0.7788
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size   388096, 2800000 req, miss ratio 0.7787, byte miss ratio 0.7787
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size   776192, 2800000 req, miss ratio 0.7787, byte miss ratio 0.7787
result/io_traces.ns825.oracleGeneral.zst B-LRU cache size  1552385, 2800000 req, miss ratio 0.7787, byte miss ratio 0.7787
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size     1940, 2800000 req, miss ratio 0.7540, byte miss ratio 0.7540
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size     5821, 2800000 req, miss ratio 0.7475, byte miss ratio 0.7475
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size    19404, 2800000 req, miss ratio 0.7422, byte miss ratio 0.7422
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size    58214, 2800000 req, miss ratio 0.7387, byte miss ratio 0.7387
result/io_traces.ns825.oracleGeneral.zst S3FIFO-d cache size   194048, 2800000 req, miss ratio 0.7342, byte miss ratio 0.7342
