result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size     1009, 1497698 req, miss ratio 0.4079, byte miss ratio 0.4079
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size     3365, 1497698 req, miss ratio 0.2256, byte miss ratio 0.2256
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size     6730, 1497698 req, miss ratio 0.1021, byte miss ratio 0.1021
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size    13461, 1497698 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn1_sjc.ns509.oracleGeneral.bin.zst Cacheus cache size    26923, 1497698 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size       33, 1497698 req, miss ratio 0.8530, byte miss ratio 0.8530
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size      100, 1497698 req, miss ratio 0.7421, byte miss ratio 0.7421
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size      336, 1497698 req, miss ratio 0.5367, byte miss ratio 0.5367
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size     1009, 1497698 req, miss ratio 0.4134, byte miss ratio 0.4134
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size     3365, 1497698 req, miss ratio 0.2273, byte miss ratio 0.2273
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size     6730, 1497698 req, miss ratio 0.1035, byte miss ratio 0.1035
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size    13461, 1497698 req, miss ratio 0.0407, byte miss ratio 0.0407
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LHD cache size    26923, 1497698 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size       33, 1497698 req, miss ratio 0.7281, byte miss ratio 0.7281
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size      100, 1497698 req, miss ratio 0.6264, byte miss ratio 0.6264
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size      336, 1497698 req, miss ratio 0.5166, byte miss ratio 0.5166
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size     1009, 1497698 req, miss ratio 0.4087, byte miss ratio 0.4087
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size     3365, 1497698 req, miss ratio 0.2201, byte miss ratio 0.2201
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size     6730, 1497698 req, miss ratio 0.0957, byte miss ratio 0.0957
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size    13461, 1497698 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LeCaR cache size    26923, 1497698 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size       33, 1497698 req, miss ratio 0.7260, byte miss ratio 0.7260
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size      100, 1497698 req, miss ratio 0.6277, byte miss ratio 0.6277
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size      336, 1497698 req, miss ratio 0.5114, byte miss ratio 0.5114
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1009, 1497698 req, miss ratio 0.3969, byte miss ratio 0.3969
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3365, 1497698 req, miss ratio 0.2052, byte miss ratio 0.2052
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6730, 1497698 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13461, 1497698 req, miss ratio 0.0366, byte miss ratio 0.0366
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S3FIFO-d-1 cache size    26923, 1497698 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size       33, 1497698 req, miss ratio 0.8194, byte miss ratio 0.8194
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size      100, 1497698 req, miss ratio 0.7028, byte miss ratio 0.7028
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size      336, 1497698 req, miss ratio 0.5529, byte miss ratio 0.5529
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size     1009, 1497698 req, miss ratio 0.4004, byte miss ratio 0.4004
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size     3365, 1497698 req, miss ratio 0.2003, byte miss ratio 0.2003
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size     6730, 1497698 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size    13461, 1497698 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn1_sjc.ns509.oracleGeneral.bin.zst LRB cache size    26923, 1497698 req, miss ratio 0.0235, byte miss ratio 0.0235
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       33, 1497698 req, miss ratio 0.7856, byte miss ratio 0.7856
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      100, 1497698 req, miss ratio 0.6755, byte miss ratio 0.6755
result/cdn1_sjc.ns509.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      336, 1497698 req, miss ratio 0.5201, byte miss ratio 0.5201
