result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size     4524, 10364967 req, miss ratio 0.3672, byte miss ratio 0.3672
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size    15080, 10364967 req, miss ratio 0.3245, byte miss ratio 0.3245
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size    45241, 10364967 req, miss ratio 0.2531, byte miss ratio 0.2531
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size   150805, 10364967 req, miss ratio 0.1793, byte miss ratio 0.1793
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size   301610, 10364967 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size   603220, 10364967 req, miss ratio 0.1502, byte miss ratio 0.1502
result/tencentBlock.ns14067.oracleGeneral.zst ARC cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size     1508, 10364967 req, miss ratio 0.3971, byte miss ratio 0.3971
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size     4524, 10364967 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size    15080, 10364967 req, miss ratio 0.3214, byte miss ratio 0.3214
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size    45241, 10364967 req, miss ratio 0.2585, byte miss ratio 0.2585
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size   150805, 10364967 req, miss ratio 0.1846, byte miss ratio 0.1846
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size   301610, 10364967 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size   603220, 10364967 req, miss ratio 0.1506, byte miss ratio 0.1506
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d-1 cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size     1508, 10364967 req, miss ratio 0.4221, byte miss ratio 0.4221
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size     4524, 10364967 req, miss ratio 0.3733, byte miss ratio 0.3733
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size    15080, 10364967 req, miss ratio 0.3226, byte miss ratio 0.3226
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size    45241, 10364967 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size   150805, 10364967 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size   301610, 10364967 req, miss ratio 0.1656, byte miss ratio 0.1656
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size   603220, 10364967 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns14067.oracleGeneral.zst LRB cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size     1508, 10364967 req, miss ratio 0.4032, byte miss ratio 0.4032
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size     4524, 10364967 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size    15080, 10364967 req, miss ratio 0.3331, byte miss ratio 0.3331
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size    45241, 10364967 req, miss ratio 0.2614, byte miss ratio 0.2614
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size   150805, 10364967 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size   301610, 10364967 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size   603220, 10364967 req, miss ratio 0.1564, byte miss ratio 0.1564
result/tencentBlock.ns14067.oracleGeneral.zst TwoQ cache size  1206440, 10364967 req, miss ratio 0.1514, byte miss ratio 0.1514
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1508, 10364967 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4524, 10364967 req, miss ratio 0.3740, byte miss ratio 0.3740
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15080, 10364967 req, miss ratio 0.3476, byte miss ratio 0.3476
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45241, 10364967 req, miss ratio 0.3000, byte miss ratio 0.3000
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size   150805, 10364967 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size   301610, 10364967 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size   603220, 10364967 req, miss ratio 0.1516, byte miss ratio 0.1516
result/tencentBlock.ns14067.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1206440, 10364967 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size     1508, 10364967 req, miss ratio 0.5342, byte miss ratio 0.5342
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size     4524, 10364967 req, miss ratio 0.4093, byte miss ratio 0.4093
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size    15080, 10364967 req, miss ratio 0.3710, byte miss ratio 0.3710
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size    45241, 10364967 req, miss ratio 0.3076, byte miss ratio 0.3076
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size   150805, 10364967 req, miss ratio 0.2511, byte miss ratio 0.2511
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size   301610, 10364967 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size   603220, 10364967 req, miss ratio 0.2332, byte miss ratio 0.2332
result/tencentBlock.ns14067.oracleGeneral.zst B-LRU cache size  1206440, 10364967 req, miss ratio 0.2329, byte miss ratio 0.2329
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1508, 10364967 req, miss ratio 0.5327, byte miss ratio 0.5327
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4524, 10364967 req, miss ratio 0.3925, byte miss ratio 0.3925
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15080, 10364967 req, miss ratio 0.3469, byte miss ratio 0.3469
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45241, 10364967 req, miss ratio 0.2879, byte miss ratio 0.2879
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   150805, 10364967 req, miss ratio 0.2086, byte miss ratio 0.2086
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   301610, 10364967 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   603220, 10364967 req, miss ratio 0.1562, byte miss ratio 0.1562
result/tencentBlock.ns14067.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1206440, 10364967 req, miss ratio 0.1480, byte miss ratio 0.1480
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size     1508, 10364967 req, miss ratio 0.4013, byte miss ratio 0.4013
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size     4524, 10364967 req, miss ratio 0.3689, byte miss ratio 0.3689
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size    15080, 10364967 req, miss ratio 0.3257, byte miss ratio 0.3257
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size    45241, 10364967 req, miss ratio 0.2688, byte miss ratio 0.2688
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size   150805, 10364967 req, miss ratio 0.1881, byte miss ratio 0.1881
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size   301610, 10364967 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size   603220, 10364967 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO cache size  1206440, 10364967 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size     1508, 10364967 req, miss ratio 0.3995, byte miss ratio 0.3995
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size     4524, 10364967 req, miss ratio 0.3670, byte miss ratio 0.3670
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size    15080, 10364967 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size    45241, 10364967 req, miss ratio 0.2597, byte miss ratio 0.2597
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size   150805, 10364967 req, miss ratio 0.1788, byte miss ratio 0.1788
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size   301610, 10364967 req, miss ratio 0.1601, byte miss ratio 0.1601
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size   603220, 10364967 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns14067.oracleGeneral.zst S3FIFO-d cache size  1206440, 10364967 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1508, 10364967 req, miss ratio 0.5061, byte miss ratio 0.5061
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4524, 10364967 req, miss ratio 0.4861, byte miss ratio 0.4861
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15080, 10364967 req, miss ratio 0.6079, byte miss ratio 0.6079
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45241, 10364967 req, miss ratio 0.2910, byte miss ratio 0.2910
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   150805, 10364967 req, miss ratio 0.2441, byte miss ratio 0.2441
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   301610, 10364967 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   603220, 10364967 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1206440, 10364967 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1508, 10364967 req, miss ratio 0.4774, byte miss ratio 0.4774
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4524, 10364967 req, miss ratio 0.4210, byte miss ratio 0.4210
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15080, 10364967 req, miss ratio 0.3649, byte miss ratio 0.3649
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45241, 10364967 req, miss ratio 0.2632, byte miss ratio 0.2632
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   150805, 10364967 req, miss ratio 0.1962, byte miss ratio 0.1962
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   301610, 10364967 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   603220, 10364967 req, miss ratio 0.1548, byte miss ratio 0.1548
result/tencentBlock.ns14067.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1206440, 10364967 req, miss ratio 0.1499, byte miss ratio 0.1499
