result/io_traces.ns611.oracleGeneral.zst TwoQ cache size     1809, 2600000 req, miss ratio 0.6339, byte miss ratio 0.6339
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size     5429, 2600000 req, miss ratio 0.5418, byte miss ratio 0.5418
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size    18097, 2600000 req, miss ratio 0.4043, byte miss ratio 0.4043
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size    36194, 2600000 req, miss ratio 0.2553, byte miss ratio 0.2553
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size    72388, 2600000 req, miss ratio 0.1232, byte miss ratio 0.1232
result/io_traces.ns611.oracleGeneral.zst TwoQ cache size   144777, 2600000 req, miss ratio 0.0808, byte miss ratio 0.0808
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size      180, 2600000 req, miss ratio 0.7891, byte miss ratio 0.7891
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size      542, 2600000 req, miss ratio 0.7012, byte miss ratio 0.7012
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1809, 2600000 req, miss ratio 0.6420, byte miss ratio 0.6420
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5429, 2600000 req, miss ratio 0.5912, byte miss ratio 0.5912
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18097, 2600000 req, miss ratio 0.4423, byte miss ratio 0.4423
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36194, 2600000 req, miss ratio 0.2992, byte miss ratio 0.2992
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size    72388, 2600000 req, miss ratio 0.1032, byte miss ratio 0.1032
result/io_traces.ns611.oracleGeneral.zst S4LRU(25:25:25:25) cache size   144777, 2600000 req, miss ratio 0.0718, byte miss ratio 0.0718
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      180, 2600000 req, miss ratio 0.8010, byte miss ratio 0.8010
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      542, 2600000 req, miss ratio 0.7366, byte miss ratio 0.7366
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1809, 2600000 req, miss ratio 0.6880, byte miss ratio 0.6880
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5429, 2600000 req, miss ratio 0.6068, byte miss ratio 0.6068
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18097, 2600000 req, miss ratio 0.4198, byte miss ratio 0.4198
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36194, 2600000 req, miss ratio 0.2882, byte miss ratio 0.2882
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    72388, 2600000 req, miss ratio 0.1497, byte miss ratio 0.1497
result/io_traces.ns611.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   144777, 2600000 req, miss ratio 0.0781, byte miss ratio 0.0781
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size      180, 2600000 req, miss ratio 0.7194, byte miss ratio 0.7194
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size      542, 2600000 req, miss ratio 0.6844, byte miss ratio 0.6844
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size     1809, 2600000 req, miss ratio 0.6231, byte miss ratio 0.6231
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size     5429, 2600000 req, miss ratio 0.5136, byte miss ratio 0.5136
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size    18097, 2600000 req, miss ratio 0.3985, byte miss ratio 0.3985
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size    36194, 2600000 req, miss ratio 0.2696, byte miss ratio 0.2696
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size    72388, 2600000 req, miss ratio 0.1070, byte miss ratio 0.1070
result/io_traces.ns611.oracleGeneral.zst S3FIFO-d cache size   144777, 2600000 req, miss ratio 0.0725, byte miss ratio 0.0725
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size      180, 2600000 req, miss ratio 0.7178, byte miss ratio 0.7178
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size      542, 2600000 req, miss ratio 0.6825, byte miss ratio 0.6825
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size     1809, 2600000 req, miss ratio 0.6216, byte miss ratio 0.6216
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size     5429, 2600000 req, miss ratio 0.5135, byte miss ratio 0.5135
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size    18097, 2600000 req, miss ratio 0.3928, byte miss ratio 0.3928
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size    36194, 2600000 req, miss ratio 0.2743, byte miss ratio 0.2743
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size    72388, 2600000 req, miss ratio 0.1071, byte miss ratio 0.1071
result/io_traces.ns611.oracleGeneral.zst S3FIFO cache size   144777, 2600000 req, miss ratio 0.0725, byte miss ratio 0.0725
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      180, 2600000 req, miss ratio 0.7135, byte miss ratio 0.7135
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      542, 2600000 req, miss ratio 0.6872, byte miss ratio 0.6872
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1809, 2600000 req, miss ratio 0.6115, byte miss ratio 0.6115
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5429, 2600000 req, miss ratio 0.6015, byte miss ratio 0.6015
result/io_traces.ns611.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18097, 2600000 req, miss ratio 0.4243, byte miss ratio 0.4243
