result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size    24424, 17591590 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_nyc.ns1.oracleGeneral.bin.zst LRB cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       61, 17591590 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      183, 17591590 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      610, 17591590 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1831, 17591590 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6106, 17591590 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    12212, 17591590 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    24424, 17591590 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn1_nyc.ns1.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    48849, 17591590 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       61, 17591590 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      183, 17591590 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      610, 17591590 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1831, 17591590 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6106, 17591590 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    12212, 17591590 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    24424, 17591590 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn1_nyc.ns1.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    48849, 17591590 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size       61, 17591590 req, miss ratio 0.0194, byte miss ratio 0.0194
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size      183, 17591590 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size      610, 17591590 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn1_nyc.ns1.oracleGeneral.bin.zst B-LRU cache size     1831, 17591590 req, miss ratio 0.0091, byte miss ratio 0.0091
