result/cdn2_allcolo.ns1066.oracleGeneral.zst B-LRU cache size     1800, 5848557 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns1066.oracleGeneral.zst B-LRU cache size     3600, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns1066.oracleGeneral.zst B-LRU cache size     7200, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size        9, 5848557 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size       27, 5848557 req, miss ratio 0.0258, byte miss ratio 0.0258
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size       90, 5848557 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size      270, 5848557 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size      900, 5848557 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size     1800, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size     3600, 5848557 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns1066.oracleGeneral.zst TwoQ cache size     7200, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size        9, 5848557 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size       27, 5848557 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size       90, 5848557 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size      270, 5848557 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size      900, 5848557 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1800, 5848557 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7200, 5848557 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        9, 5848557 req, miss ratio 0.0589, byte miss ratio 0.0589
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       27, 5848557 req, miss ratio 0.0360, byte miss ratio 0.0360
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       90, 5848557 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      270, 5848557 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      900, 5848557 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1800, 5848557 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3600, 5848557 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns1066.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7200, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size        9, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size       27, 5848557 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size       90, 5848557 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size      270, 5848557 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size      900, 5848557 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size     1800, 5848557 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO-d cache size     7200, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size        9, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size       27, 5848557 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size       90, 5848557 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size      270, 5848557 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size      900, 5848557 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size     1800, 5848557 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size     3600, 5848557 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns1066.oracleGeneral.zst S3FIFO cache size     7200, 5848557 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        9, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       27, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       90, 5848557 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      270, 5848557 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      900, 5848557 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns1066.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1800, 5848557 req, miss ratio 0.0022, byte miss ratio 0.0022
