result/io_traces.ns9.oracleGeneral.zst B-LRU cache size     7202, 22600000 req, miss ratio 0.1412, byte miss ratio 0.1412
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size    21606, 22600000 req, miss ratio 0.1362, byte miss ratio 0.1362
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size    72020, 22600000 req, miss ratio 0.1173, byte miss ratio 0.1173
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size   144041, 22600000 req, miss ratio 0.0924, byte miss ratio 0.0924
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size   288082, 22600000 req, miss ratio 0.0747, byte miss ratio 0.0747
result/io_traces.ns9.oracleGeneral.zst B-LRU cache size   576164, 22600000 req, miss ratio 0.0582, byte miss ratio 0.0582
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size      720, 22600000 req, miss ratio 0.1635, byte miss ratio 0.1635
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size     2160, 22600000 req, miss ratio 0.1377, byte miss ratio 0.1377
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size     7202, 22600000 req, miss ratio 0.1316, byte miss ratio 0.1316
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size    21606, 22600000 req, miss ratio 0.1218, byte miss ratio 0.1218
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size    72020, 22600000 req, miss ratio 0.0852, byte miss ratio 0.0852
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size   144041, 22600000 req, miss ratio 0.0758, byte miss ratio 0.0758
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size   288082, 22600000 req, miss ratio 0.0637, byte miss ratio 0.0637
result/io_traces.ns9.oracleGeneral.zst S3FIFO-d cache size   576164, 22600000 req, miss ratio 0.0373, byte miss ratio 0.0373
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size      720, 22600000 req, miss ratio 0.1624, byte miss ratio 0.1624
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size     2160, 22600000 req, miss ratio 0.1384, byte miss ratio 0.1384
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size     7202, 22600000 req, miss ratio 0.1317, byte miss ratio 0.1317
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size    21606, 22600000 req, miss ratio 0.1218, byte miss ratio 0.1218
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size    72020, 22600000 req, miss ratio 0.0866, byte miss ratio 0.0866
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size   144041, 22600000 req, miss ratio 0.0767, byte miss ratio 0.0767
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size   288082, 22600000 req, miss ratio 0.0624, byte miss ratio 0.0624
result/io_traces.ns9.oracleGeneral.zst S3FIFO cache size   576164, 22600000 req, miss ratio 0.0373, byte miss ratio 0.0373
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      720, 22600000 req, miss ratio 0.1995, byte miss ratio 0.1995
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2160, 22600000 req, miss ratio 0.1624, byte miss ratio 0.1624
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7202, 22600000 req, miss ratio 0.1368, byte miss ratio 0.1368
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21606, 22600000 req, miss ratio 0.1195, byte miss ratio 0.1195
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    72020, 22600000 req, miss ratio 0.0933, byte miss ratio 0.0933
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   144041, 22600000 req, miss ratio 0.0755, byte miss ratio 0.0755
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   288082, 22600000 req, miss ratio 0.0583, byte miss ratio 0.0583
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   576164, 22600000 req, miss ratio 0.0353, byte miss ratio 0.0353
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      720, 22600000 req, miss ratio 0.1639, byte miss ratio 0.1639
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2160, 22600000 req, miss ratio 0.1374, byte miss ratio 0.1374
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7202, 22600000 req, miss ratio 0.1292, byte miss ratio 0.1292
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21606, 22600000 req, miss ratio 0.1184, byte miss ratio 0.1184
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    72020, 22600000 req, miss ratio 0.0899, byte miss ratio 0.0899
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   144041, 22600000 req, miss ratio 0.0774, byte miss ratio 0.0774
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   288082, 22600000 req, miss ratio 0.0605, byte miss ratio 0.0605
result/io_traces.ns9.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   576164, 22600000 req, miss ratio 0.0370, byte miss ratio 0.0370
