result/cluster3.oracleGeneral.sample10.zst B-LRU cache size   502225, 86950524 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      627, 86950524 req, miss ratio 0.2270, byte miss ratio 0.2270
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1883, 86950524 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6277, 86950524 req, miss ratio 0.0701, byte miss ratio 0.0701
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    18833, 86950524 req, miss ratio 0.0349, byte miss ratio 0.0349
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    62778, 86950524 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   125556, 86950524 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   251112, 86950524 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cluster3.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   502225, 86950524 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      627, 86950524 req, miss ratio 0.1973, byte miss ratio 0.1973
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1883, 86950524 req, miss ratio 0.1198, byte miss ratio 0.1198
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6277, 86950524 req, miss ratio 0.0611, byte miss ratio 0.0611
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    18833, 86950524 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    62778, 86950524 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   125556, 86950524 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   251112, 86950524 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cluster3.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size      627, 86950524 req, miss ratio 0.1959, byte miss ratio 0.1959
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size     1883, 86950524 req, miss ratio 0.1203, byte miss ratio 0.1203
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size     6277, 86950524 req, miss ratio 0.0623, byte miss ratio 0.0623
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size    18833, 86950524 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size    62778, 86950524 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size   125556, 86950524 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size   251112, 86950524 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cluster3.oracleGeneral.sample10.zst TwoQ cache size   502225, 86950524 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size      627, 86950524 req, miss ratio 0.1911, byte miss ratio 0.1911
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size     1883, 86950524 req, miss ratio 0.1134, byte miss ratio 0.1134
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size     6277, 86950524 req, miss ratio 0.0572, byte miss ratio 0.0572
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size    18833, 86950524 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size    62778, 86950524 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size   125556, 86950524 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size   251112, 86950524 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cluster3.oracleGeneral.sample10.zst S3FIFO-d cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size      627, 86950524 req, miss ratio 0.1862, byte miss ratio 0.1862
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size     1883, 86950524 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size     6277, 86950524 req, miss ratio 0.0571, byte miss ratio 0.0571
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size    18833, 86950524 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size    62778, 86950524 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size   125556, 86950524 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size   251112, 86950524 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cluster3.oracleGeneral.sample10.zst S3FIFO cache size   502225, 86950524 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      627, 86950524 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1883, 86950524 req, miss ratio 0.1643, byte miss ratio 0.1643
result/cluster3.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6277, 86950524 req, miss ratio 0.1672, byte miss ratio 0.1672
