result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size    55687, 1888496 req, miss ratio 0.1975, byte miss ratio 0.1975
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size   111374, 1888496 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns25663.oracleGeneral.zst FIFO cache size   222748, 1888496 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size      278, 1888496 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size      835, 1888496 req, miss ratio 0.4105, byte miss ratio 0.4105
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size     2784, 1888496 req, miss ratio 0.2831, byte miss ratio 0.2831
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size     8353, 1888496 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size    27843, 1888496 req, miss ratio 0.2233, byte miss ratio 0.2233
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size    55687, 1888496 req, miss ratio 0.1927, byte miss ratio 0.1927
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size   111374, 1888496 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns25663.oracleGeneral.zst S3FIFO-d-1 cache size   222748, 1888496 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size      278, 1888496 req, miss ratio 0.5475, byte miss ratio 0.5475
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size      835, 1888496 req, miss ratio 0.4082, byte miss ratio 0.4082
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size     2784, 1888496 req, miss ratio 0.2963, byte miss ratio 0.2963
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size     8353, 1888496 req, miss ratio 0.2680, byte miss ratio 0.2680
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size    27843, 1888496 req, miss ratio 0.2333, byte miss ratio 0.2333
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size    55687, 1888496 req, miss ratio 0.1872, byte miss ratio 0.1872
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size   111374, 1888496 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns25663.oracleGeneral.zst LRB cache size   222748, 1888496 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size      278, 1888496 req, miss ratio 0.6211, byte miss ratio 0.6211
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size      835, 1888496 req, miss ratio 0.4474, byte miss ratio 0.4474
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2784, 1888496 req, miss ratio 0.2871, byte miss ratio 0.2871
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8353, 1888496 req, miss ratio 0.2730, byte miss ratio 0.2730
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27843, 1888496 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns25663.oracleGeneral.zst S4LRU(25:25:25:25) cache size    55687, 1888496 req, miss ratio 0.2057, byte miss ratio 0.2057
