result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3458, 2367987 req, miss ratio 0.1625, byte miss ratio 0.1625
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11528, 2367987 req, miss ratio 0.1013, byte miss ratio 0.1013
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23057, 2367987 req, miss ratio 0.0751, byte miss ratio 0.0751
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size    46114, 2367987 req, miss ratio 0.0591, byte miss ratio 0.0591
result/cdn2_colo28.ns988.oracleGeneral.zst S4LRU(25:25:25:25) cache size    92228, 2367987 req, miss ratio 0.0494, byte miss ratio 0.0494
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size      115, 2367987 req, miss ratio 0.4090, byte miss ratio 0.4090
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size      345, 2367987 req, miss ratio 0.3107, byte miss ratio 0.3107
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size     1152, 2367987 req, miss ratio 0.2227, byte miss ratio 0.2227
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size     3458, 2367987 req, miss ratio 0.1628, byte miss ratio 0.1628
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size    11528, 2367987 req, miss ratio 0.1040, byte miss ratio 0.1040
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size    23057, 2367987 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size    46114, 2367987 req, miss ratio 0.0670, byte miss ratio 0.0670
result/cdn2_colo28.ns988.oracleGeneral.zst TwoQ cache size    92228, 2367987 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size      115, 2367987 req, miss ratio 0.3946, byte miss ratio 0.3946
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size      345, 2367987 req, miss ratio 0.2995, byte miss ratio 0.2995
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size     1152, 2367987 req, miss ratio 0.2151, byte miss ratio 0.2151
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size     3458, 2367987 req, miss ratio 0.1561, byte miss ratio 0.1561
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size    11528, 2367987 req, miss ratio 0.0967, byte miss ratio 0.0967
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size    23057, 2367987 req, miss ratio 0.0723, byte miss ratio 0.0723
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size    46114, 2367987 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO cache size    92228, 2367987 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size      115, 2367987 req, miss ratio 0.4449, byte miss ratio 0.4449
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size      345, 2367987 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size     1152, 2367987 req, miss ratio 0.2186, byte miss ratio 0.2186
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size     3458, 2367987 req, miss ratio 0.1569, byte miss ratio 0.1569
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size    11528, 2367987 req, miss ratio 0.0969, byte miss ratio 0.0969
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size    23057, 2367987 req, miss ratio 0.0723, byte miss ratio 0.0723
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size    46114, 2367987 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_colo28.ns988.oracleGeneral.zst S3FIFO-d cache size    92228, 2367987 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      115, 2367987 req, miss ratio 0.3979, byte miss ratio 0.3979
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      345, 2367987 req, miss ratio 0.3056, byte miss ratio 0.3056
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1152, 2367987 req, miss ratio 0.2231, byte miss ratio 0.2231
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3458, 2367987 req, miss ratio 0.1607, byte miss ratio 0.1607
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11528, 2367987 req, miss ratio 0.0993, byte miss ratio 0.0993
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23057, 2367987 req, miss ratio 0.0751, byte miss ratio 0.0751
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    46114, 2367987 req, miss ratio 0.0603, byte miss ratio 0.0603
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    92228, 2367987 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      115, 2367987 req, miss ratio 0.3979, byte miss ratio 0.3979
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      345, 2367987 req, miss ratio 0.3053, byte miss ratio 0.3053
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1152, 2367987 req, miss ratio 0.2203, byte miss ratio 0.2203
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3458, 2367987 req, miss ratio 0.1602, byte miss ratio 0.1602
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11528, 2367987 req, miss ratio 0.1002, byte miss ratio 0.1002
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23057, 2367987 req, miss ratio 0.0763, byte miss ratio 0.0763
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    46114, 2367987 req, miss ratio 0.0621, byte miss ratio 0.0621
result/cdn2_colo28.ns988.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    92228, 2367987 req, miss ratio 0.0515, byte miss ratio 0.0515
