result/cdn1_lax.ns310.oracleGeneral.bin.zst LIRS cache size    13874, 27800596 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size       17, 27800596 req, miss ratio 0.5830, byte miss ratio 0.5830
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size       52, 27800596 req, miss ratio 0.4560, byte miss ratio 0.4560
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size      173, 27800596 req, miss ratio 0.3388, byte miss ratio 0.3388
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size      520, 27800596 req, miss ratio 0.2343, byte miss ratio 0.2343
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size     1734, 27800596 req, miss ratio 0.1410, byte miss ratio 0.1410
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size     3468, 27800596 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size     6937, 27800596 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn1_lax.ns310.oracleGeneral.bin.zst Cacheus cache size    13874, 27800596 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size       17, 27800596 req, miss ratio 0.5739, byte miss ratio 0.5739
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size       52, 27800596 req, miss ratio 0.4499, byte miss ratio 0.4499
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size      173, 27800596 req, miss ratio 0.3441, byte miss ratio 0.3441
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size      520, 27800596 req, miss ratio 0.2321, byte miss ratio 0.2321
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size     1734, 27800596 req, miss ratio 0.1400, byte miss ratio 0.1400
result/cdn1_lax.ns310.oracleGeneral.bin.zst ARC cache size     3468, 27800596 req, miss ratio 0.0935, byte miss ratio 0.0935
