result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size    55312, 3270647 req, miss ratio 0.1709, byte miss ratio 0.1709
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size   110625, 3270647 req, miss ratio 0.1097, byte miss ratio 0.1097
result/tencentBlock.ns19618.oracleGeneral.zst LRB cache size   221250, 3270647 req, miss ratio 0.0849, byte miss ratio 0.0849
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size      276, 3270647 req, miss ratio 0.4877, byte miss ratio 0.4877
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size      829, 3270647 req, miss ratio 0.3894, byte miss ratio 0.3894
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2765, 3270647 req, miss ratio 0.2777, byte miss ratio 0.2777
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8296, 3270647 req, miss ratio 0.2615, byte miss ratio 0.2615
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27656, 3270647 req, miss ratio 0.2328, byte miss ratio 0.2328
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size    55312, 3270647 req, miss ratio 0.1922, byte miss ratio 0.1922
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size   110625, 3270647 req, miss ratio 0.1283, byte miss ratio 0.1283
result/tencentBlock.ns19618.oracleGeneral.zst S4LRU(25:25:25:25) cache size   221250, 3270647 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      276, 3270647 req, miss ratio 0.5356, byte miss ratio 0.5356
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      829, 3270647 req, miss ratio 0.4144, byte miss ratio 0.4144
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2765, 3270647 req, miss ratio 0.3147, byte miss ratio 0.3147
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8296, 3270647 req, miss ratio 0.2716, byte miss ratio 0.2716
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27656, 3270647 req, miss ratio 0.2326, byte miss ratio 0.2326
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    55312, 3270647 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   110625, 3270647 req, miss ratio 0.1377, byte miss ratio 0.1377
result/tencentBlock.ns19618.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   221250, 3270647 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size      276, 3270647 req, miss ratio 0.5100, byte miss ratio 0.5100
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size      829, 3270647 req, miss ratio 0.4214, byte miss ratio 0.4214
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size     2765, 3270647 req, miss ratio 0.3301, byte miss ratio 0.3301
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size     8296, 3270647 req, miss ratio 0.2928, byte miss ratio 0.2928
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size    27656, 3270647 req, miss ratio 0.2520, byte miss ratio 0.2520
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size    55312, 3270647 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size   110625, 3270647 req, miss ratio 0.1548, byte miss ratio 0.1548
result/tencentBlock.ns19618.oracleGeneral.zst B-LRU cache size   221250, 3270647 req, miss ratio 0.1474, byte miss ratio 0.1474
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size      276, 3270647 req, miss ratio 0.4602, byte miss ratio 0.4602
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size      829, 3270647 req, miss ratio 0.3697, byte miss ratio 0.3697
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size     2765, 3270647 req, miss ratio 0.2782, byte miss ratio 0.2782
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size     8296, 3270647 req, miss ratio 0.2621, byte miss ratio 0.2621
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size    27656, 3270647 req, miss ratio 0.2170, byte miss ratio 0.2170
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size    55312, 3270647 req, miss ratio 0.1738, byte miss ratio 0.1738
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size   110625, 3270647 req, miss ratio 0.1149, byte miss ratio 0.1149
result/tencentBlock.ns19618.oracleGeneral.zst TwoQ cache size   221250, 3270647 req, miss ratio 0.0948, byte miss ratio 0.0948
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size      276, 3270647 req, miss ratio 0.4760, byte miss ratio 0.4760
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size      829, 3270647 req, miss ratio 0.3661, byte miss ratio 0.3661
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size     2765, 3270647 req, miss ratio 0.2761, byte miss ratio 0.2761
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size     8296, 3270647 req, miss ratio 0.2584, byte miss ratio 0.2584
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size    27656, 3270647 req, miss ratio 0.2156, byte miss ratio 0.2156
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size    55312, 3270647 req, miss ratio 0.1793, byte miss ratio 0.1793
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size   110625, 3270647 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO-d cache size   221250, 3270647 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size      276, 3270647 req, miss ratio 0.4645, byte miss ratio 0.4645
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size      829, 3270647 req, miss ratio 0.3649, byte miss ratio 0.3649
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size     2765, 3270647 req, miss ratio 0.2762, byte miss ratio 0.2762
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size     8296, 3270647 req, miss ratio 0.2585, byte miss ratio 0.2585
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size    27656, 3270647 req, miss ratio 0.2156, byte miss ratio 0.2156
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size    55312, 3270647 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size   110625, 3270647 req, miss ratio 0.1106, byte miss ratio 0.1106
result/tencentBlock.ns19618.oracleGeneral.zst S3FIFO cache size   221250, 3270647 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      276, 3270647 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      829, 3270647 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2765, 3270647 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8296, 3270647 req, miss ratio 0.2831, byte miss ratio 0.2831
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27656, 3270647 req, miss ratio 0.2544, byte miss ratio 0.2544
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    55312, 3270647 req, miss ratio 0.1764, byte miss ratio 0.1764
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   110625, 3270647 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   221250, 3270647 req, miss ratio 0.0910, byte miss ratio 0.0910
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      276, 3270647 req, miss ratio 0.5170, byte miss ratio 0.5170
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      829, 3270647 req, miss ratio 0.3821, byte miss ratio 0.3821
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2765, 3270647 req, miss ratio 0.2850, byte miss ratio 0.2850
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8296, 3270647 req, miss ratio 0.2688, byte miss ratio 0.2688
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27656, 3270647 req, miss ratio 0.2287, byte miss ratio 0.2287
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    55312, 3270647 req, miss ratio 0.1705, byte miss ratio 0.1705
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   110625, 3270647 req, miss ratio 0.1128, byte miss ratio 0.1128
result/tencentBlock.ns19618.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   221250, 3270647 req, miss ratio 0.0892, byte miss ratio 0.0892
