result/io_traces.ns310.oracleGeneral.zst LeCaR cache size   154658, 10400000 req, miss ratio 0.0814, byte miss ratio 0.0814
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size   309316, 10400000 req, miss ratio 0.0755, byte miss ratio 0.0755
result/io_traces.ns310.oracleGeneral.zst LeCaR cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size      773, 10400000 req, miss ratio 0.4746, byte miss ratio 0.4746
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size     2319, 10400000 req, miss ratio 0.3180, byte miss ratio 0.3180
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size     7732, 10400000 req, miss ratio 0.2683, byte miss ratio 0.2683
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size    23198, 10400000 req, miss ratio 0.2132, byte miss ratio 0.2132
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size    77329, 10400000 req, miss ratio 0.0943, byte miss ratio 0.0943
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size   154658, 10400000 req, miss ratio 0.0855, byte miss ratio 0.0855
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size   309316, 10400000 req, miss ratio 0.0788, byte miss ratio 0.0788
result/io_traces.ns310.oracleGeneral.zst S3FIFO-d-1 cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst LRB cache size      773, 10400000 req, miss ratio 0.4647, byte miss ratio 0.4647
result/io_traces.ns310.oracleGeneral.zst LRB cache size     2319, 10400000 req, miss ratio 0.3238, byte miss ratio 0.3238
result/io_traces.ns310.oracleGeneral.zst LRB cache size     7732, 10400000 req, miss ratio 0.2675, byte miss ratio 0.2675
result/io_traces.ns310.oracleGeneral.zst LRB cache size    23198, 10400000 req, miss ratio 0.2091, byte miss ratio 0.2091
result/io_traces.ns310.oracleGeneral.zst LRB cache size    77329, 10400000 req, miss ratio 0.1010, byte miss ratio 0.1010
result/io_traces.ns310.oracleGeneral.zst LRB cache size   154658, 10400000 req, miss ratio 0.0922, byte miss ratio 0.0922
result/io_traces.ns310.oracleGeneral.zst LRB cache size   309316, 10400000 req, miss ratio 0.0828, byte miss ratio 0.0828
result/io_traces.ns310.oracleGeneral.zst LRB cache size   618632, 10400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size      773, 10400000 req, miss ratio 0.5424, byte miss ratio 0.5424
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size     2319, 10400000 req, miss ratio 0.3778, byte miss ratio 0.3778
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size     7732, 10400000 req, miss ratio 0.3018, byte miss ratio 0.3018
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size    23198, 10400000 req, miss ratio 0.2220, byte miss ratio 0.2220
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size    77329, 10400000 req, miss ratio 0.1227, byte miss ratio 0.1227
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size   154658, 10400000 req, miss ratio 0.1151, byte miss ratio 0.1151
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size   309316, 10400000 req, miss ratio 0.1145, byte miss ratio 0.1145
result/io_traces.ns310.oracleGeneral.zst B-LRU cache size   618632, 10400000 req, miss ratio 0.1145, byte miss ratio 0.1145
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      773, 10400000 req, miss ratio 0.5501, byte miss ratio 0.5501
result/io_traces.ns310.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2319, 10400000 req, miss ratio 0.3755, byte miss ratio 0.3755
