result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-1 cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LeCaR cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst ARC cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size       67, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LHD cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d-1 cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size       67, 1130468 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst LRB cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       22, 1130468 req, miss ratio 0.0221, byte miss ratio 0.0221
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       67, 1130468 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst TwoQ cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size       22, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size       67, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size      225, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size      677, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size     2257, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size     4515, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size     9030, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst B-LRU cache size    18060, 1130468 req, miss ratio 0.0202, byte miss ratio 0.0202
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst S3FIFO-d cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       22, 1130468 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       67, 1130468 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       22, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       67, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      225, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      677, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2257, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4515, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9030, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
result/cdn2_allcolo.ns394.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18060, 1130468 req, miss ratio 0.0200, byte miss ratio 0.0200
