result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size       76, 2118317 req, miss ratio 0.6485, byte miss ratio 0.6485
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size      229, 2118317 req, miss ratio 0.5747, byte miss ratio 0.5747
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size      764, 2118317 req, miss ratio 0.4843, byte miss ratio 0.4843
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size     2292, 2118317 req, miss ratio 0.3800, byte miss ratio 0.3800
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size     7641, 2118317 req, miss ratio 0.2334, byte miss ratio 0.2334
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size    15283, 2118317 req, miss ratio 0.1447, byte miss ratio 0.1447
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size    30567, 2118317 req, miss ratio 0.0738, byte miss ratio 0.0738
result/cdn2_allcolo.ns1198.oracleGeneral.zst Clock cache size    61134, 2118317 req, miss ratio 0.0382, byte miss ratio 0.0382
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size       76, 2118317 req, miss ratio 0.6807, byte miss ratio 0.6807
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size      229, 2118317 req, miss ratio 0.6098, byte miss ratio 0.6098
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size      764, 2118317 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size     2292, 2118317 req, miss ratio 0.4178, byte miss ratio 0.4178
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size     7641, 2118317 req, miss ratio 0.2754, byte miss ratio 0.2754
result/cdn2_allcolo.ns1198.oracleGeneral.zst FIFO cache size    15283, 2118317 req, miss ratio 0.1849, byte miss ratio 0.1849
