result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size     6533, 3722658 req, miss ratio 0.6506, byte miss ratio 0.6506
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size    21778, 3722658 req, miss ratio 0.6032, byte miss ratio 0.6032
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size    65334, 3722658 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size   217780, 3722658 req, miss ratio 0.5864, byte miss ratio 0.5864
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size   435560, 3722658 req, miss ratio 0.5854, byte miss ratio 0.5854
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size   871121, 3722658 req, miss ratio 0.5851, byte miss ratio 0.5851
result/cdn2_colo28.ns629.oracleGeneral.zst Cacheus cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size     2177, 3722658 req, miss ratio 0.7328, byte miss ratio 0.7328
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size     6533, 3722658 req, miss ratio 0.6450, byte miss ratio 0.6450
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size    21778, 3722658 req, miss ratio 0.6004, byte miss ratio 0.6004
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size    65334, 3722658 req, miss ratio 0.5900, byte miss ratio 0.5900
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size   217780, 3722658 req, miss ratio 0.5860, byte miss ratio 0.5860
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size   435560, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst clock2 cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size     2177, 3722658 req, miss ratio 0.7231, byte miss ratio 0.7231
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size     6533, 3722658 req, miss ratio 0.6635, byte miss ratio 0.6635
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size    21778, 3722658 req, miss ratio 0.6162, byte miss ratio 0.6162
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size    65334, 3722658 req, miss ratio 0.5976, byte miss ratio 0.5976
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size   217780, 3722658 req, miss ratio 0.5894, byte miss ratio 0.5894
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size   435560, 3722658 req, miss ratio 0.5861, byte miss ratio 0.5861
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S3FIFO-d-1 cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size     2177, 3722658 req, miss ratio 0.7483, byte miss ratio 0.7483
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size     6533, 3722658 req, miss ratio 0.6508, byte miss ratio 0.6508
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size    21778, 3722658 req, miss ratio 0.6025, byte miss ratio 0.6025
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size    65334, 3722658 req, miss ratio 0.5908, byte miss ratio 0.5908
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size   217780, 3722658 req, miss ratio 0.5856, byte miss ratio 0.5856
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size   435560, 3722658 req, miss ratio 0.5851, byte miss ratio 0.5851
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst LRB cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2177, 3722658 req, miss ratio 0.7577, byte miss ratio 0.7577
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6533, 3722658 req, miss ratio 0.6875, byte miss ratio 0.6875
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21778, 3722658 req, miss ratio 0.6242, byte miss ratio 0.6242
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size    65334, 3722658 req, miss ratio 0.5952, byte miss ratio 0.5952
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size   217780, 3722658 req, miss ratio 0.5879, byte miss ratio 0.5879
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size   435560, 3722658 req, miss ratio 0.5862, byte miss ratio 0.5862
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size   871121, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_colo28.ns629.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size     2177, 3722658 req, miss ratio 0.7493, byte miss ratio 0.7493
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size     6533, 3722658 req, miss ratio 0.6939, byte miss ratio 0.6939
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size    21778, 3722658 req, miss ratio 0.6415, byte miss ratio 0.6415
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size    65334, 3722658 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size   217780, 3722658 req, miss ratio 0.5858, byte miss ratio 0.5858
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size   435560, 3722658 req, miss ratio 0.5852, byte miss ratio 0.5852
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size   871121, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst TwoQ cache size  1742243, 3722658 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size     2177, 3722658 req, miss ratio 0.7448, byte miss ratio 0.7448
result/cdn2_colo28.ns629.oracleGeneral.zst B-LRU cache size     6533, 3722658 req, miss ratio 0.7190, byte miss ratio 0.7190
