result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size       32, 2315384 req, miss ratio 0.5035, byte miss ratio 0.5035
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size       98, 2315384 req, miss ratio 0.4353, byte miss ratio 0.4353
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size      328, 2315384 req, miss ratio 0.3455, byte miss ratio 0.3455
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size      986, 2315384 req, miss ratio 0.2241, byte miss ratio 0.2241
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size     3289, 2315384 req, miss ratio 0.1126, byte miss ratio 0.1126
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size     6578, 2315384 req, miss ratio 0.0502, byte miss ratio 0.0502
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size    13156, 2315384 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_colo28.ns975.oracleGeneral.zst Cacheus cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size       32, 2315384 req, miss ratio 0.7228, byte miss ratio 0.7228
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size       98, 2315384 req, miss ratio 0.5631, byte miss ratio 0.5631
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size      328, 2315384 req, miss ratio 0.4326, byte miss ratio 0.4326
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size      986, 2315384 req, miss ratio 0.3094, byte miss ratio 0.3094
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size     3289, 2315384 req, miss ratio 0.1586, byte miss ratio 0.1586
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size     6578, 2315384 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size    13156, 2315384 req, miss ratio 0.0432, byte miss ratio 0.0432
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO cache size    26313, 2315384 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size       32, 2315384 req, miss ratio 0.4925, byte miss ratio 0.4925
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size       98, 2315384 req, miss ratio 0.4248, byte miss ratio 0.4248
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size      328, 2315384 req, miss ratio 0.3363, byte miss ratio 0.3363
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size      986, 2315384 req, miss ratio 0.2231, byte miss ratio 0.2231
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size     3289, 2315384 req, miss ratio 0.0940, byte miss ratio 0.0940
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size     6578, 2315384 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size    13156, 2315384 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d-1 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size       32, 2315384 req, miss ratio 0.4964, byte miss ratio 0.4964
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size       98, 2315384 req, miss ratio 0.4222, byte miss ratio 0.4222
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size      328, 2315384 req, miss ratio 0.3288, byte miss ratio 0.3288
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size      986, 2315384 req, miss ratio 0.2124, byte miss ratio 0.2124
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size     3289, 2315384 req, miss ratio 0.0883, byte miss ratio 0.0883
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size     6578, 2315384 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size    13156, 2315384 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_colo28.ns975.oracleGeneral.zst LRB cache size    26313, 2315384 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size       32, 2315384 req, miss ratio 0.6648, byte miss ratio 0.6648
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size       98, 2315384 req, miss ratio 0.4889, byte miss ratio 0.4889
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size      328, 2315384 req, miss ratio 0.3932, byte miss ratio 0.3932
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size      986, 2315384 req, miss ratio 0.2723, byte miss ratio 0.2723
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size     3289, 2315384 req, miss ratio 0.1168, byte miss ratio 0.1168
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size     6578, 2315384 req, miss ratio 0.0597, byte miss ratio 0.0597
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size    13156, 2315384 req, miss ratio 0.0310, byte miss ratio 0.0310
result/cdn2_colo28.ns975.oracleGeneral.zst B-LRU cache size    26313, 2315384 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       32, 2315384 req, miss ratio 0.7228, byte miss ratio 0.7228
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       98, 2315384 req, miss ratio 0.5631, byte miss ratio 0.5631
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      328, 2315384 req, miss ratio 0.3901, byte miss ratio 0.3901
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      986, 2315384 req, miss ratio 0.2640, byte miss ratio 0.2640
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3289, 2315384 req, miss ratio 0.1173, byte miss ratio 0.1173
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6578, 2315384 req, miss ratio 0.0631, byte miss ratio 0.0631
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13156, 2315384 req, miss ratio 0.0316, byte miss ratio 0.0316
result/cdn2_colo28.ns975.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26313, 2315384 req, miss ratio 0.0177, byte miss ratio 0.0177
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size       32, 2315384 req, miss ratio 0.5148, byte miss ratio 0.5148
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size       98, 2315384 req, miss ratio 0.4312, byte miss ratio 0.4312
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size      328, 2315384 req, miss ratio 0.3412, byte miss ratio 0.3412
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size      986, 2315384 req, miss ratio 0.2272, byte miss ratio 0.2272
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3289, 2315384 req, miss ratio 0.0970, byte miss ratio 0.0970
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6578, 2315384 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13156, 2315384 req, miss ratio 0.0263, byte miss ratio 0.0263
result/cdn2_colo28.ns975.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size       32, 2315384 req, miss ratio 0.5188, byte miss ratio 0.5188
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size       98, 2315384 req, miss ratio 0.4357, byte miss ratio 0.4357
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size      328, 2315384 req, miss ratio 0.3496, byte miss ratio 0.3496
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size      986, 2315384 req, miss ratio 0.2378, byte miss ratio 0.2378
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size     3289, 2315384 req, miss ratio 0.1060, byte miss ratio 0.1060
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size     6578, 2315384 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size    13156, 2315384 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_colo28.ns975.oracleGeneral.zst TwoQ cache size    26313, 2315384 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size       32, 2315384 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size       98, 2315384 req, miss ratio 0.4519, byte miss ratio 0.4519
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size      328, 2315384 req, miss ratio 0.3733, byte miss ratio 0.3733
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size      986, 2315384 req, miss ratio 0.2467, byte miss ratio 0.2467
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size     3289, 2315384 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size     6578, 2315384 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size    13156, 2315384 req, miss ratio 0.0264, byte miss ratio 0.0264
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO-d cache size    26313, 2315384 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size       32, 2315384 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size       98, 2315384 req, miss ratio 0.4236, byte miss ratio 0.4236
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size      328, 2315384 req, miss ratio 0.3353, byte miss ratio 0.3353
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size      986, 2315384 req, miss ratio 0.2217, byte miss ratio 0.2217
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size     3289, 2315384 req, miss ratio 0.0934, byte miss ratio 0.0934
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size     6578, 2315384 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size    13156, 2315384 req, miss ratio 0.0264, byte miss ratio 0.0264
result/cdn2_colo28.ns975.oracleGeneral.zst S3FIFO cache size    26313, 2315384 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       98, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      328, 2315384 req, miss ratio 0.3282, byte miss ratio 0.3282
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      986, 2315384 req, miss ratio 0.2155, byte miss ratio 0.2155
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3289, 2315384 req, miss ratio 0.0897, byte miss ratio 0.0897
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6578, 2315384 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13156, 2315384 req, miss ratio 0.0270, byte miss ratio 0.0270
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26313, 2315384 req, miss ratio 0.0154, byte miss ratio 0.0154
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       32, 2315384 req, miss ratio 0.4975, byte miss ratio 0.4975
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       98, 2315384 req, miss ratio 0.4268, byte miss ratio 0.4268
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      328, 2315384 req, miss ratio 0.3368, byte miss ratio 0.3368
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      986, 2315384 req, miss ratio 0.2194, byte miss ratio 0.2194
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3289, 2315384 req, miss ratio 0.0924, byte miss ratio 0.0924
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6578, 2315384 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13156, 2315384 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn2_colo28.ns975.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26313, 2315384 req, miss ratio 0.0157, byte miss ratio 0.0157
