result/w88.oracleGeneral.bin.zst LRB cache size     4180, 4711053 req, miss ratio 0.3202, byte miss ratio 0.3202
result/w88.oracleGeneral.bin.zst LRB cache size    12540, 4711053 req, miss ratio 0.2665, byte miss ratio 0.2665
result/w88.oracleGeneral.bin.zst LRB cache size    41802, 4711053 req, miss ratio 0.2217, byte miss ratio 0.2217
result/w88.oracleGeneral.bin.zst LRB cache size    83605, 4711053 req, miss ratio 0.1819, byte miss ratio 0.1819
result/w88.oracleGeneral.bin.zst LRB cache size   167210, 4711053 req, miss ratio 0.1324, byte miss ratio 0.1324
result/w88.oracleGeneral.bin.zst LRB cache size   334421, 4711053 req, miss ratio 0.0921, byte miss ratio 0.0921
result/w88.oracleGeneral.bin.zst TwoQ cache size      418, 4711053 req, miss ratio 0.5027, byte miss ratio 0.5027
result/w88.oracleGeneral.bin.zst TwoQ cache size     1254, 4711053 req, miss ratio 0.4126, byte miss ratio 0.4126
result/w88.oracleGeneral.bin.zst TwoQ cache size     4180, 4711053 req, miss ratio 0.3395, byte miss ratio 0.3395
result/w88.oracleGeneral.bin.zst TwoQ cache size    12540, 4711053 req, miss ratio 0.2730, byte miss ratio 0.2730
result/w88.oracleGeneral.bin.zst TwoQ cache size    41802, 4711053 req, miss ratio 0.2182, byte miss ratio 0.2182
result/w88.oracleGeneral.bin.zst TwoQ cache size    83605, 4711053 req, miss ratio 0.1811, byte miss ratio 0.1811
result/w88.oracleGeneral.bin.zst TwoQ cache size   167210, 4711053 req, miss ratio 0.1311, byte miss ratio 0.1311
result/w88.oracleGeneral.bin.zst TwoQ cache size   334421, 4711053 req, miss ratio 0.1048, byte miss ratio 0.1048
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      418, 4711053 req, miss ratio 0.5358, byte miss ratio 0.5358
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1254, 4711053 req, miss ratio 0.4477, byte miss ratio 0.4477
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4180, 4711053 req, miss ratio 0.3683, byte miss ratio 0.3683
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    12540, 4711053 req, miss ratio 0.3023, byte miss ratio 0.3023
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    41802, 4711053 req, miss ratio 0.2403, byte miss ratio 0.2403
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    83605, 4711053 req, miss ratio 0.2031, byte miss ratio 0.2031
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   167210, 4711053 req, miss ratio 0.1539, byte miss ratio 0.1539
result/w88.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   334421, 4711053 req, miss ratio 0.1005, byte miss ratio 0.1005
result/w88.oracleGeneral.bin.zst B-LRU cache size      418, 4711053 req, miss ratio 0.5315, byte miss ratio 0.5315
result/w88.oracleGeneral.bin.zst B-LRU cache size     1254, 4711053 req, miss ratio 0.4493, byte miss ratio 0.4493
result/w88.oracleGeneral.bin.zst B-LRU cache size     4180, 4711053 req, miss ratio 0.3626, byte miss ratio 0.3626
result/w88.oracleGeneral.bin.zst B-LRU cache size    12540, 4711053 req, miss ratio 0.2963, byte miss ratio 0.2963
