result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO cache size       23, 9419593 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO cache size       46, 9419593 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO cache size       92, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst S3FIFO cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        6, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       23, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       46, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       92, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        6, 9419593 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       23, 9419593 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       46, 9419593 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       92, 9419593 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns796.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      184, 9419593 req, miss ratio 0.0000, byte miss ratio 0.0000
