result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-1 cache size       12, 91792396 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size      378, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LeCaR cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size       12, 91792396 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size       37, 91792396 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d-1 cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size       12, 91792396 req, miss ratio 0.0187, byte miss ratio 0.0187
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size       37, 91792396 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size      126, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst LRB cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size       12, 91792396 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size       37, 91792396 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       12, 91792396 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       37, 91792396 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      126, 91792396 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      378, 91792396 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size       12, 91792396 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size       37, 91792396 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst TwoQ cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size       12, 91792396 req, miss ratio 0.0266, byte miss ratio 0.0266
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size       37, 91792396 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst B-LRU cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size       12, 91792396 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size       37, 91792396 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size       12, 91792396 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size       37, 91792396 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst S3FIFO-d cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       12, 91792396 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       37, 91792396 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       12, 91792396 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       37, 91792396 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      126, 91792396 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      378, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1260, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2521, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5042, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns352.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10084, 91792396 req, miss ratio 0.0001, byte miss ratio 0.0001
