result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size      166, 1283191 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size      553, 1283191 req, miss ratio 0.1702, byte miss ratio 0.1702
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size     1660, 1283191 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size     5533, 1283191 req, miss ratio 0.1361, byte miss ratio 0.1361
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size    11066, 1283191 req, miss ratio 0.1145, byte miss ratio 0.1145
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size    22133, 1283191 req, miss ratio 0.0660, byte miss ratio 0.0660
result/tencentBlock.ns12103.oracleGeneral.zst LRB cache size    44267, 1283191 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size       55, 1283191 req, miss ratio 0.3311, byte miss ratio 0.3311
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size      166, 1283191 req, miss ratio 0.2159, byte miss ratio 0.2159
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size      553, 1283191 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size     1660, 1283191 req, miss ratio 0.1798, byte miss ratio 0.1798
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size     5533, 1283191 req, miss ratio 0.1681, byte miss ratio 0.1681
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size    11066, 1283191 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size    22133, 1283191 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns12103.oracleGeneral.zst B-LRU cache size    44267, 1283191 req, miss ratio 0.0726, byte miss ratio 0.0726
result/tencentBlock.ns12103.oracleGeneral.zst TwoQ cache size       55, 1283191 req, miss ratio 0.2813, byte miss ratio 0.2813
