result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size    38253, 4389451 req, miss ratio 0.1116, byte miss ratio 0.1116
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size    76507, 4389451 req, miss ratio 0.0683, byte miss ratio 0.0683
result/cdn2_allcolo.ns2901.oracleGeneral.zst LRB cache size   153014, 4389451 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size      191, 4389451 req, miss ratio 0.7535, byte miss ratio 0.7535
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size      573, 4389451 req, miss ratio 0.6438, byte miss ratio 0.6438
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size     1912, 4389451 req, miss ratio 0.4992, byte miss ratio 0.4992
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size     5738, 4389451 req, miss ratio 0.3502, byte miss ratio 0.3502
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size    19126, 4389451 req, miss ratio 0.1919, byte miss ratio 0.1919
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size    38253, 4389451 req, miss ratio 0.1196, byte miss ratio 0.1196
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size    76507, 4389451 req, miss ratio 0.0740, byte miss ratio 0.0740
result/cdn2_allcolo.ns2901.oracleGeneral.zst TwoQ cache size   153014, 4389451 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      191, 4389451 req, miss ratio 0.8313, byte miss ratio 0.8313
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      573, 4389451 req, miss ratio 0.7184, byte miss ratio 0.7184
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1912, 4389451 req, miss ratio 0.5575, byte miss ratio 0.5575
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5738, 4389451 req, miss ratio 0.3871, byte miss ratio 0.3871
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19126, 4389451 req, miss ratio 0.2064, byte miss ratio 0.2064
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38253, 4389451 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76507, 4389451 req, miss ratio 0.0703, byte miss ratio 0.0703
result/cdn2_allcolo.ns2901.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   153014, 4389451 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size      191, 4389451 req, miss ratio 0.7553, byte miss ratio 0.7553
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size      573, 4389451 req, miss ratio 0.6433, byte miss ratio 0.6433
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1912, 4389451 req, miss ratio 0.4943, byte miss ratio 0.4943
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5738, 4389451 req, miss ratio 0.3416, byte miss ratio 0.3416
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19126, 4389451 req, miss ratio 0.1801, byte miss ratio 0.1801
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38253, 4389451 req, miss ratio 0.1084, byte miss ratio 0.1084
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76507, 4389451 req, miss ratio 0.0637, byte miss ratio 0.0637
result/cdn2_allcolo.ns2901.oracleGeneral.zst S4LRU(25:25:25:25) cache size   153014, 4389451 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size      191, 4389451 req, miss ratio 0.8491, byte miss ratio 0.8491
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size      573, 4389451 req, miss ratio 0.7376, byte miss ratio 0.7376
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size     1912, 4389451 req, miss ratio 0.5750, byte miss ratio 0.5750
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size     5738, 4389451 req, miss ratio 0.3983, byte miss ratio 0.3983
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size    19126, 4389451 req, miss ratio 0.2070, byte miss ratio 0.2070
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size    38253, 4389451 req, miss ratio 0.1237, byte miss ratio 0.1237
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size    76507, 4389451 req, miss ratio 0.0779, byte miss ratio 0.0779
result/cdn2_allcolo.ns2901.oracleGeneral.zst B-LRU cache size   153014, 4389451 req, miss ratio 0.0711, byte miss ratio 0.0711
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size      191, 4389451 req, miss ratio 0.7364, byte miss ratio 0.7364
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size      573, 4389451 req, miss ratio 0.6250, byte miss ratio 0.6250
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size     1912, 4389451 req, miss ratio 0.4783, byte miss ratio 0.4783
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size     5738, 4389451 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size    19126, 4389451 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size    38253, 4389451 req, miss ratio 0.1067, byte miss ratio 0.1067
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size    76507, 4389451 req, miss ratio 0.0641, byte miss ratio 0.0641
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO cache size   153014, 4389451 req, miss ratio 0.0454, byte miss ratio 0.0454
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size      191, 4389451 req, miss ratio 0.7907, byte miss ratio 0.7907
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size      573, 4389451 req, miss ratio 0.6626, byte miss ratio 0.6626
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size     1912, 4389451 req, miss ratio 0.5062, byte miss ratio 0.5062
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size     5738, 4389451 req, miss ratio 0.3447, byte miss ratio 0.3447
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size    19126, 4389451 req, miss ratio 0.1799, byte miss ratio 0.1799
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size    38253, 4389451 req, miss ratio 0.1083, byte miss ratio 0.1083
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size    76507, 4389451 req, miss ratio 0.0643, byte miss ratio 0.0643
result/cdn2_allcolo.ns2901.oracleGeneral.zst S3FIFO-d cache size   153014, 4389451 req, miss ratio 0.0454, byte miss ratio 0.0454
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      191, 4389451 req, miss ratio 0.7504, byte miss ratio 0.7504
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      573, 4389451 req, miss ratio 0.6327, byte miss ratio 0.6327
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1912, 4389451 req, miss ratio 0.4816, byte miss ratio 0.4816
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5738, 4389451 req, miss ratio 0.3322, byte miss ratio 0.3322
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19126, 4389451 req, miss ratio 0.2268, byte miss ratio 0.2268
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38253, 4389451 req, miss ratio 0.1096, byte miss ratio 0.1096
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76507, 4389451 req, miss ratio 0.0681, byte miss ratio 0.0681
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   153014, 4389451 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      191, 4389451 req, miss ratio 0.7441, byte miss ratio 0.7441
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      573, 4389451 req, miss ratio 0.6332, byte miss ratio 0.6332
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1912, 4389451 req, miss ratio 0.4858, byte miss ratio 0.4858
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5738, 4389451 req, miss ratio 0.3842, byte miss ratio 0.3842
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19126, 4389451 req, miss ratio 0.1793, byte miss ratio 0.1793
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38253, 4389451 req, miss ratio 0.1108, byte miss ratio 0.1108
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76507, 4389451 req, miss ratio 0.0687, byte miss ratio 0.0687
result/cdn2_allcolo.ns2901.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   153014, 4389451 req, miss ratio 0.0480, byte miss ratio 0.0480
