result/cdn2_allcolo.ns320.oracleGeneral.zst clock2 cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst clock2 cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst clock2 cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst clock2 cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst clock2 cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size       76, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d-1 cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size       76, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst LRB cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size       76, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size       25, 17861451 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size       76, 17861451 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size      253, 17861451 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst TwoQ cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       25, 17861451 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       76, 17861451 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10143, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size       25, 17861451 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size       76, 17861451 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size      253, 17861451 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size      760, 17861451 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size     2535, 17861451 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size     5071, 17861451 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size    10143, 17861451 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns320.oracleGeneral.zst B-LRU cache size    20287, 17861451 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size       25, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size       76, 17861451 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO-d cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size       25, 17861451 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size       76, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size      253, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size      760, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size    10143, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst S3FIFO cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       25, 17861451 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       76, 17861451 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      253, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      760, 17861451 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2535, 17861451 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5071, 17861451 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10143, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       25, 17861451 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       76, 17861451 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      253, 17861451 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      760, 17861451 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2535, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5071, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10143, 17861451 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20287, 17861451 req, miss ratio 0.0014, byte miss ratio 0.0014
