result/cdn1_sjc.ns626.oracleGeneral.bin.zst Clock cache size   125350, 1736230 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size      156, 1736230 req, miss ratio 0.8470, byte miss ratio 0.8470
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size      470, 1736230 req, miss ratio 0.7624, byte miss ratio 0.7624
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size     1566, 1736230 req, miss ratio 0.5657, byte miss ratio 0.5657
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size     4700, 1736230 req, miss ratio 0.2987, byte miss ratio 0.2987
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size    15668, 1736230 req, miss ratio 0.1243, byte miss ratio 0.1243
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size    31337, 1736230 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size    62675, 1736230 req, miss ratio 0.0929, byte miss ratio 0.0929
result/cdn1_sjc.ns626.oracleGeneral.bin.zst ARC cache size   125350, 1736230 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size      156, 1736230 req, miss ratio 0.8442, byte miss ratio 0.8442
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size      470, 1736230 req, miss ratio 0.7404, byte miss ratio 0.7404
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1566, 1736230 req, miss ratio 0.5319, byte miss ratio 0.5319
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4700, 1736230 req, miss ratio 0.2826, byte miss ratio 0.2826
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size    15668, 1736230 req, miss ratio 0.1282, byte miss ratio 0.1282
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size    31337, 1736230 req, miss ratio 0.1015, byte miss ratio 0.1015
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size    62675, 1736230 req, miss ratio 0.0929, byte miss ratio 0.0929
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d-1 cache size   125350, 1736230 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size      156, 1736230 req, miss ratio 0.8108, byte miss ratio 0.8108
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size      470, 1736230 req, miss ratio 0.7083, byte miss ratio 0.7083
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size     1566, 1736230 req, miss ratio 0.5141, byte miss ratio 0.5141
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size     4700, 1736230 req, miss ratio 0.2759, byte miss ratio 0.2759
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size    15668, 1736230 req, miss ratio 0.1406, byte miss ratio 0.1406
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size    31337, 1736230 req, miss ratio 0.1057, byte miss ratio 0.1057
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size    62675, 1736230 req, miss ratio 0.0942, byte miss ratio 0.0942
result/cdn1_sjc.ns626.oracleGeneral.bin.zst LRB cache size   125350, 1736230 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size      156, 1736230 req, miss ratio 0.8549, byte miss ratio 0.8549
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size      470, 1736230 req, miss ratio 0.7911, byte miss ratio 0.7911
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size     1566, 1736230 req, miss ratio 0.6168, byte miss ratio 0.6168
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size     4700, 1736230 req, miss ratio 0.3390, byte miss ratio 0.3390
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size    15668, 1736230 req, miss ratio 0.1330, byte miss ratio 0.1330
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size    31337, 1736230 req, miss ratio 0.1157, byte miss ratio 0.1157
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size    62675, 1736230 req, miss ratio 0.1150, byte miss ratio 0.1150
result/cdn1_sjc.ns626.oracleGeneral.bin.zst B-LRU cache size   125350, 1736230 req, miss ratio 0.1150, byte miss ratio 0.1150
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size      156, 1736230 req, miss ratio 0.8230, byte miss ratio 0.8230
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size      470, 1736230 req, miss ratio 0.7332, byte miss ratio 0.7332
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size     1566, 1736230 req, miss ratio 0.5504, byte miss ratio 0.5504
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size     4700, 1736230 req, miss ratio 0.3165, byte miss ratio 0.3165
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size    15668, 1736230 req, miss ratio 0.1381, byte miss ratio 0.1381
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size    31337, 1736230 req, miss ratio 0.1138, byte miss ratio 0.1138
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size    62675, 1736230 req, miss ratio 0.1042, byte miss ratio 0.1042
result/cdn1_sjc.ns626.oracleGeneral.bin.zst TwoQ cache size   125350, 1736230 req, miss ratio 0.0930, byte miss ratio 0.0930
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      156, 1736230 req, miss ratio 0.8582, byte miss ratio 0.8582
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      470, 1736230 req, miss ratio 0.7957, byte miss ratio 0.7957
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1566, 1736230 req, miss ratio 0.6158, byte miss ratio 0.6158
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4700, 1736230 req, miss ratio 0.3583, byte miss ratio 0.3583
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    15668, 1736230 req, miss ratio 0.1620, byte miss ratio 0.1620
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    31337, 1736230 req, miss ratio 0.1201, byte miss ratio 0.1201
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    62675, 1736230 req, miss ratio 0.1016, byte miss ratio 0.1016
result/cdn1_sjc.ns626.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   125350, 1736230 req, miss ratio 0.0923, byte miss ratio 0.0923
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      156, 1736230 req, miss ratio 0.8351, byte miss ratio 0.8351
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      470, 1736230 req, miss ratio 0.7439, byte miss ratio 0.7439
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1566, 1736230 req, miss ratio 0.5526, byte miss ratio 0.5526
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4700, 1736230 req, miss ratio 0.2999, byte miss ratio 0.2999
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    15668, 1736230 req, miss ratio 0.1317, byte miss ratio 0.1317
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    31337, 1736230 req, miss ratio 0.1058, byte miss ratio 0.1058
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    62675, 1736230 req, miss ratio 0.0949, byte miss ratio 0.0949
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   125350, 1736230 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size      156, 1736230 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size      470, 1736230 req, miss ratio 0.7162, byte miss ratio 0.7162
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size     1566, 1736230 req, miss ratio 0.5248, byte miss ratio 0.5248
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size     4700, 1736230 req, miss ratio 0.2880, byte miss ratio 0.2880
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size    15668, 1736230 req, miss ratio 0.1307, byte miss ratio 0.1307
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size    31337, 1736230 req, miss ratio 0.1034, byte miss ratio 0.1034
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size    62675, 1736230 req, miss ratio 0.0944, byte miss ratio 0.0944
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO cache size   125350, 1736230 req, miss ratio 0.0904, byte miss ratio 0.0904
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size      156, 1736230 req, miss ratio 0.8231, byte miss ratio 0.8231
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size      470, 1736230 req, miss ratio 0.7506, byte miss ratio 0.7506
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size     1566, 1736230 req, miss ratio 0.5516, byte miss ratio 0.5516
result/cdn1_sjc.ns626.oracleGeneral.bin.zst S3FIFO-d cache size     4700, 1736230 req, miss ratio 0.2989, byte miss ratio 0.2989
