result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35684, 2983217 req, miss ratio 0.0384, byte miss ratio 0.0384
result/tencentBlock.ns12690.oracleGeneral.zst S4LRU(25:25:25:25) cache size    71368, 2983217 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       89, 2983217 req, miss ratio 0.4933, byte miss ratio 0.4933
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      267, 2983217 req, miss ratio 0.2478, byte miss ratio 0.2478
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      892, 2983217 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2676, 2983217 req, miss ratio 0.1510, byte miss ratio 0.1510
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8921, 2983217 req, miss ratio 0.1307, byte miss ratio 0.1307
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17842, 2983217 req, miss ratio 0.0961, byte miss ratio 0.0961
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35684, 2983217 req, miss ratio 0.0568, byte miss ratio 0.0568
result/tencentBlock.ns12690.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    71368, 2983217 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size       89, 2983217 req, miss ratio 0.3360, byte miss ratio 0.3360
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size      267, 2983217 req, miss ratio 0.2037, byte miss ratio 0.2037
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size      892, 2983217 req, miss ratio 0.1551, byte miss ratio 0.1551
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size     2676, 2983217 req, miss ratio 0.1385, byte miss ratio 0.1385
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size     8921, 2983217 req, miss ratio 0.1056, byte miss ratio 0.1056
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size    17842, 2983217 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size    35684, 2983217 req, miss ratio 0.0419, byte miss ratio 0.0419
result/tencentBlock.ns12690.oracleGeneral.zst TwoQ cache size    71368, 2983217 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size       89, 2983217 req, miss ratio 0.3631, byte miss ratio 0.3631
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size      267, 2983217 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size      892, 2983217 req, miss ratio 0.1540, byte miss ratio 0.1540
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size     2676, 2983217 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size     8921, 2983217 req, miss ratio 0.1088, byte miss ratio 0.1088
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size    17842, 2983217 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size    35684, 2983217 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO-d cache size    71368, 2983217 req, miss ratio 0.0311, byte miss ratio 0.0311
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size       89, 2983217 req, miss ratio 0.3090, byte miss ratio 0.3090
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size      267, 2983217 req, miss ratio 0.1961, byte miss ratio 0.1961
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size      892, 2983217 req, miss ratio 0.1545, byte miss ratio 0.1545
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size     2676, 2983217 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size     8921, 2983217 req, miss ratio 0.1091, byte miss ratio 0.1091
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size    17842, 2983217 req, miss ratio 0.0817, byte miss ratio 0.0817
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size    35684, 2983217 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencentBlock.ns12690.oracleGeneral.zst S3FIFO cache size    71368, 2983217 req, miss ratio 0.0311, byte miss ratio 0.0311
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       89, 2983217 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      267, 2983217 req, miss ratio 0.2927, byte miss ratio 0.2927
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      892, 2983217 req, miss ratio 0.1912, byte miss ratio 0.1912
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2676, 2983217 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8921, 2983217 req, miss ratio 0.1024, byte miss ratio 0.1024
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17842, 2983217 req, miss ratio 0.0668, byte miss ratio 0.0668
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35684, 2983217 req, miss ratio 0.0358, byte miss ratio 0.0358
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    71368, 2983217 req, miss ratio 0.0320, byte miss ratio 0.0320
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       89, 2983217 req, miss ratio 0.3282, byte miss ratio 0.3282
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      267, 2983217 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      892, 2983217 req, miss ratio 0.1544, byte miss ratio 0.1544
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2676, 2983217 req, miss ratio 0.1321, byte miss ratio 0.1321
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8921, 2983217 req, miss ratio 0.1012, byte miss ratio 0.1012
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17842, 2983217 req, miss ratio 0.0677, byte miss ratio 0.0677
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35684, 2983217 req, miss ratio 0.0366, byte miss ratio 0.0366
result/tencentBlock.ns12690.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    71368, 2983217 req, miss ratio 0.0302, byte miss ratio 0.0302
