result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    75855, 3200000 req, miss ratio 0.2570, byte miss ratio 0.2570
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   151710, 3200000 req, miss ratio 0.1703, byte miss ratio 0.1703
result/io_traces.ns44.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   303421, 3200000 req, miss ratio 0.1308, byte miss ratio 0.1308
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size      379, 3200000 req, miss ratio 0.6314, byte miss ratio 0.6314
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size     1137, 3200000 req, miss ratio 0.5972, byte miss ratio 0.5972
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size     3792, 3200000 req, miss ratio 0.5693, byte miss ratio 0.5693
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size    11378, 3200000 req, miss ratio 0.5404, byte miss ratio 0.5404
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size    37927, 3200000 req, miss ratio 0.4488, byte miss ratio 0.4488
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size    75855, 3200000 req, miss ratio 0.2129, byte miss ratio 0.2129
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size   151710, 3200000 req, miss ratio 0.1805, byte miss ratio 0.1805
result/io_traces.ns44.oracleGeneral.zst B-LRU cache size   303421, 3200000 req, miss ratio 0.1791, byte miss ratio 0.1791
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size      379, 3200000 req, miss ratio 0.6329, byte miss ratio 0.6329
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1137, 3200000 req, miss ratio 0.5879, byte miss ratio 0.5879
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3792, 3200000 req, miss ratio 0.5477, byte miss ratio 0.5477
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11378, 3200000 req, miss ratio 0.4957, byte miss ratio 0.4957
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37927, 3200000 req, miss ratio 0.3922, byte miss ratio 0.3922
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size    75855, 3200000 req, miss ratio 0.2250, byte miss ratio 0.2250
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size   151710, 3200000 req, miss ratio 0.1461, byte miss ratio 0.1461
result/io_traces.ns44.oracleGeneral.zst S4LRU(25:25:25:25) cache size   303421, 3200000 req, miss ratio 0.1199, byte miss ratio 0.1199
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size      379, 3200000 req, miss ratio 0.6105, byte miss ratio 0.6105
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size     1137, 3200000 req, miss ratio 0.5727, byte miss ratio 0.5727
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size     3792, 3200000 req, miss ratio 0.5323, byte miss ratio 0.5323
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size    11378, 3200000 req, miss ratio 0.4935, byte miss ratio 0.4935
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size    37927, 3200000 req, miss ratio 0.3278, byte miss ratio 0.3278
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size    75855, 3200000 req, miss ratio 0.1968, byte miss ratio 0.1968
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size   151710, 3200000 req, miss ratio 0.1627, byte miss ratio 0.1627
result/io_traces.ns44.oracleGeneral.zst TwoQ cache size   303421, 3200000 req, miss ratio 0.1359, byte miss ratio 0.1359
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size      379, 3200000 req, miss ratio 0.6043, byte miss ratio 0.6043
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size     1137, 3200000 req, miss ratio 0.5735, byte miss ratio 0.5735
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size     3792, 3200000 req, miss ratio 0.5379, byte miss ratio 0.5379
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size    11378, 3200000 req, miss ratio 0.4700, byte miss ratio 0.4700
result/io_traces.ns44.oracleGeneral.zst S3FIFO-d cache size    37927, 3200000 req, miss ratio 0.3059, byte miss ratio 0.3059
