result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size      789, 1519690 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns238.oracleGeneral.zst Cacheus cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size        5, 1519690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size       19, 1519690 req, miss ratio 0.3313, byte miss ratio 0.3313
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size       59, 1519690 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size      197, 1519690 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size      394, 1519690 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst S3FIFO-d-1 cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size        5, 1519690 req, miss ratio 0.6059, byte miss ratio 0.6059
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size       19, 1519690 req, miss ratio 0.3182, byte miss ratio 0.3182
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size       59, 1519690 req, miss ratio 0.0723, byte miss ratio 0.0723
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size      197, 1519690 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size      394, 1519690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size      789, 1519690 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns238.oracleGeneral.zst LRB cache size     1579, 1519690 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size        5, 1519690 req, miss ratio 0.7165, byte miss ratio 0.7165
result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size       19, 1519690 req, miss ratio 0.4043, byte miss ratio 0.4043
result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size       59, 1519690 req, miss ratio 0.0993, byte miss ratio 0.0993
result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size      197, 1519690 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_allcolo.ns238.oracleGeneral.zst B-LRU cache size      394, 1519690 req, miss ratio 0.0028, byte miss ratio 0.0028
