result/io_traces.ns127.oracleGeneral.zst Clock cache size    42987, 3800000 req, miss ratio 0.1645, byte miss ratio 0.1645
result/io_traces.ns127.oracleGeneral.zst Clock cache size    85974, 3800000 req, miss ratio 0.0683, byte miss ratio 0.0683
result/io_traces.ns127.oracleGeneral.zst Clock cache size   171948, 3800000 req, miss ratio 0.0577, byte miss ratio 0.0577
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size      214, 3800000 req, miss ratio 0.4668, byte miss ratio 0.4668
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size      644, 3800000 req, miss ratio 0.4601, byte miss ratio 0.4601
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size     2149, 3800000 req, miss ratio 0.4317, byte miss ratio 0.4317
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size     6448, 3800000 req, miss ratio 0.4124, byte miss ratio 0.4124
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size    21493, 3800000 req, miss ratio 0.2941, byte miss ratio 0.2941
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size    42987, 3800000 req, miss ratio 0.1310, byte miss ratio 0.1310
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size    85974, 3800000 req, miss ratio 0.0700, byte miss ratio 0.0700
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d-1 cache size   171948, 3800000 req, miss ratio 0.0577, byte miss ratio 0.0577
result/io_traces.ns127.oracleGeneral.zst LRB cache size      214, 3800000 req, miss ratio 0.5118, byte miss ratio 0.5118
result/io_traces.ns127.oracleGeneral.zst LRB cache size      644, 3800000 req, miss ratio 0.4745, byte miss ratio 0.4745
result/io_traces.ns127.oracleGeneral.zst LRB cache size     2149, 3800000 req, miss ratio 0.4293, byte miss ratio 0.4293
result/io_traces.ns127.oracleGeneral.zst LRB cache size     6448, 3800000 req, miss ratio 0.3812, byte miss ratio 0.3812
result/io_traces.ns127.oracleGeneral.zst LRB cache size    21493, 3800000 req, miss ratio 0.2475, byte miss ratio 0.2475
result/io_traces.ns127.oracleGeneral.zst LRB cache size    42987, 3800000 req, miss ratio 0.0973, byte miss ratio 0.0973
result/io_traces.ns127.oracleGeneral.zst LRB cache size    85974, 3800000 req, miss ratio 0.0712, byte miss ratio 0.0712
result/io_traces.ns127.oracleGeneral.zst LRB cache size   171948, 3800000 req, miss ratio 0.0606, byte miss ratio 0.0606
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      214, 3800000 req, miss ratio 0.4985, byte miss ratio 0.4985
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      644, 3800000 req, miss ratio 0.4674, byte miss ratio 0.4674
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2149, 3800000 req, miss ratio 0.4555, byte miss ratio 0.4555
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6448, 3800000 req, miss ratio 0.4272, byte miss ratio 0.4272
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21493, 3800000 req, miss ratio 0.3367, byte miss ratio 0.3367
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    42987, 3800000 req, miss ratio 0.2068, byte miss ratio 0.2068
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    85974, 3800000 req, miss ratio 0.0882, byte miss ratio 0.0882
result/io_traces.ns127.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   171948, 3800000 req, miss ratio 0.0662, byte miss ratio 0.0662
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size      214, 3800000 req, miss ratio 0.4738, byte miss ratio 0.4738
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size      644, 3800000 req, miss ratio 0.4517, byte miss ratio 0.4517
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size     2149, 3800000 req, miss ratio 0.4243, byte miss ratio 0.4243
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size     6448, 3800000 req, miss ratio 0.4116, byte miss ratio 0.4116
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size    21493, 3800000 req, miss ratio 0.2761, byte miss ratio 0.2761
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size    42987, 3800000 req, miss ratio 0.1404, byte miss ratio 0.1404
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size    85974, 3800000 req, miss ratio 0.0780, byte miss ratio 0.0780
result/io_traces.ns127.oracleGeneral.zst TwoQ cache size   171948, 3800000 req, miss ratio 0.0708, byte miss ratio 0.0708
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size      214, 3800000 req, miss ratio 0.4984, byte miss ratio 0.4984
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size      644, 3800000 req, miss ratio 0.4864, byte miss ratio 0.4864
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size     2149, 3800000 req, miss ratio 0.4735, byte miss ratio 0.4735
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size     6448, 3800000 req, miss ratio 0.4536, byte miss ratio 0.4536
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size    21493, 3800000 req, miss ratio 0.3091, byte miss ratio 0.3091
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size    42987, 3800000 req, miss ratio 0.1614, byte miss ratio 0.1614
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size    85974, 3800000 req, miss ratio 0.1039, byte miss ratio 0.1039
result/io_traces.ns127.oracleGeneral.zst B-LRU cache size   171948, 3800000 req, miss ratio 0.0974, byte miss ratio 0.0974
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size      214, 3800000 req, miss ratio 0.4704, byte miss ratio 0.4704
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size      644, 3800000 req, miss ratio 0.4620, byte miss ratio 0.4620
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2149, 3800000 req, miss ratio 0.4491, byte miss ratio 0.4491
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6448, 3800000 req, miss ratio 0.4277, byte miss ratio 0.4277
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21493, 3800000 req, miss ratio 0.3562, byte miss ratio 0.3562
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size    42987, 3800000 req, miss ratio 0.1417, byte miss ratio 0.1417
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size    85974, 3800000 req, miss ratio 0.0695, byte miss ratio 0.0695
result/io_traces.ns127.oracleGeneral.zst S4LRU(25:25:25:25) cache size   171948, 3800000 req, miss ratio 0.0577, byte miss ratio 0.0577
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size      214, 3800000 req, miss ratio 0.4670, byte miss ratio 0.4670
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size      644, 3800000 req, miss ratio 0.4580, byte miss ratio 0.4580
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size     2149, 3800000 req, miss ratio 0.4262, byte miss ratio 0.4262
result/io_traces.ns127.oracleGeneral.zst S3FIFO-d cache size     6448, 3800000 req, miss ratio 0.4063, byte miss ratio 0.4063
