result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size    19437, 5755608 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size    38875, 5755608 req, miss ratio 0.0637, byte miss ratio 0.0637
result/tencentBlock.ns17709.oracleGeneral.zst LRU cache size    77751, 5755608 req, miss ratio 0.0189, byte miss ratio 0.0189
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size       97, 5755608 req, miss ratio 0.6963, byte miss ratio 0.6963
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size      291, 5755608 req, miss ratio 0.2611, byte miss ratio 0.2611
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size      971, 5755608 req, miss ratio 0.0936, byte miss ratio 0.0936
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size     2915, 5755608 req, miss ratio 0.0884, byte miss ratio 0.0884
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size     9718, 5755608 req, miss ratio 0.0827, byte miss ratio 0.0827
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size    19437, 5755608 req, miss ratio 0.0750, byte miss ratio 0.0750
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size    38875, 5755608 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns17709.oracleGeneral.zst LHD cache size    77751, 5755608 req, miss ratio 0.0195, byte miss ratio 0.0195
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size       97, 5755608 req, miss ratio 0.6395, byte miss ratio 0.6395
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size      291, 5755608 req, miss ratio 0.4391, byte miss ratio 0.4391
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size      971, 5755608 req, miss ratio 0.0913, byte miss ratio 0.0913
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size     2915, 5755608 req, miss ratio 0.0873, byte miss ratio 0.0873
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size     9718, 5755608 req, miss ratio 0.0815, byte miss ratio 0.0815
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size    19437, 5755608 req, miss ratio 0.0687, byte miss ratio 0.0687
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size    38875, 5755608 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d-1 cache size    77751, 5755608 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size       97, 5755608 req, miss ratio 0.6881, byte miss ratio 0.6881
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size      291, 5755608 req, miss ratio 0.2992, byte miss ratio 0.2992
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size      971, 5755608 req, miss ratio 0.0956, byte miss ratio 0.0956
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size     2915, 5755608 req, miss ratio 0.0894, byte miss ratio 0.0894
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size     9718, 5755608 req, miss ratio 0.0802, byte miss ratio 0.0802
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size    19437, 5755608 req, miss ratio 0.0682, byte miss ratio 0.0682
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size    38875, 5755608 req, miss ratio 0.0450, byte miss ratio 0.0450
result/tencentBlock.ns17709.oracleGeneral.zst LRB cache size    77751, 5755608 req, miss ratio 0.0216, byte miss ratio 0.0216
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size       97, 5755608 req, miss ratio 0.8418, byte miss ratio 0.8418
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size      291, 5755608 req, miss ratio 0.5436, byte miss ratio 0.5436
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size      971, 5755608 req, miss ratio 0.0984, byte miss ratio 0.0984
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size     2915, 5755608 req, miss ratio 0.0926, byte miss ratio 0.0926
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size     9718, 5755608 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size    19437, 5755608 req, miss ratio 0.0871, byte miss ratio 0.0871
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size    38875, 5755608 req, miss ratio 0.0651, byte miss ratio 0.0651
result/tencentBlock.ns17709.oracleGeneral.zst B-LRU cache size    77751, 5755608 req, miss ratio 0.0299, byte miss ratio 0.0299
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       97, 5755608 req, miss ratio 0.8574, byte miss ratio 0.8574
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      291, 5755608 req, miss ratio 0.4681, byte miss ratio 0.4681
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      971, 5755608 req, miss ratio 0.1040, byte miss ratio 0.1040
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2915, 5755608 req, miss ratio 0.0906, byte miss ratio 0.0906
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9718, 5755608 req, miss ratio 0.0862, byte miss ratio 0.0862
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19437, 5755608 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38875, 5755608 req, miss ratio 0.0636, byte miss ratio 0.0636
result/tencentBlock.ns17709.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    77751, 5755608 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size       97, 5755608 req, miss ratio 0.6977, byte miss ratio 0.6977
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size      291, 5755608 req, miss ratio 0.4704, byte miss ratio 0.4704
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size      971, 5755608 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2915, 5755608 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9718, 5755608 req, miss ratio 0.0835, byte miss ratio 0.0835
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19437, 5755608 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38875, 5755608 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns17709.oracleGeneral.zst S4LRU(25:25:25:25) cache size    77751, 5755608 req, miss ratio 0.0181, byte miss ratio 0.0181
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size       97, 5755608 req, miss ratio 0.7716, byte miss ratio 0.7716
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size      291, 5755608 req, miss ratio 0.4016, byte miss ratio 0.4016
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size      971, 5755608 req, miss ratio 0.0926, byte miss ratio 0.0926
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size     2915, 5755608 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size     9718, 5755608 req, miss ratio 0.0859, byte miss ratio 0.0859
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size    19437, 5755608 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size    38875, 5755608 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns17709.oracleGeneral.zst TwoQ cache size    77751, 5755608 req, miss ratio 0.0266, byte miss ratio 0.0266
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size       97, 5755608 req, miss ratio 0.8097, byte miss ratio 0.8097
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size      291, 5755608 req, miss ratio 0.4356, byte miss ratio 0.4356
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size      971, 5755608 req, miss ratio 0.0916, byte miss ratio 0.0916
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size     2915, 5755608 req, miss ratio 0.0874, byte miss ratio 0.0874
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size     9718, 5755608 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size    19437, 5755608 req, miss ratio 0.0685, byte miss ratio 0.0685
result/tencentBlock.ns17709.oracleGeneral.zst S3FIFO-d cache size    38875, 5755608 req, miss ratio 0.0514, byte miss ratio 0.0514
