result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3030, 1073735 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6060, 1073735 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_allcolo.ns4644.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12120, 1073735 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size       15, 1073735 req, miss ratio 0.3130, byte miss ratio 0.3130
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size       45, 1073735 req, miss ratio 0.2041, byte miss ratio 0.2041
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size      151, 1073735 req, miss ratio 0.1429, byte miss ratio 0.1429
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size      454, 1073735 req, miss ratio 0.0763, byte miss ratio 0.0763
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size     1515, 1073735 req, miss ratio 0.0452, byte miss ratio 0.0452
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size     3030, 1073735 req, miss ratio 0.0335, byte miss ratio 0.0335
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size     6060, 1073735 req, miss ratio 0.0253, byte miss ratio 0.0253
result/cdn2_allcolo.ns4644.oracleGeneral.zst B-LRU cache size    12120, 1073735 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size       15, 1073735 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size       45, 1073735 req, miss ratio 0.1761, byte miss ratio 0.1761
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size      151, 1073735 req, miss ratio 0.1175, byte miss ratio 0.1175
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size      454, 1073735 req, miss ratio 0.0658, byte miss ratio 0.0658
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size     1515, 1073735 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size     3030, 1073735 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size     6060, 1073735 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO cache size    12120, 1073735 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size       15, 1073735 req, miss ratio 0.2495, byte miss ratio 0.2495
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size       45, 1073735 req, miss ratio 0.1786, byte miss ratio 0.1786
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size      151, 1073735 req, miss ratio 0.1191, byte miss ratio 0.1191
result/cdn2_allcolo.ns4644.oracleGeneral.zst S3FIFO-d cache size      454, 1073735 req, miss ratio 0.0663, byte miss ratio 0.0663
