result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRU cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size      118, 166503119 req, miss ratio 0.2588, byte miss ratio 0.2588
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size      354, 166503119 req, miss ratio 0.0600, byte miss ratio 0.0600
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size     1181, 166503119 req, miss ratio 0.0081, byte miss ratio 0.0081
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size    47251, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Clock cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size      118, 166503119 req, miss ratio 0.2340, byte miss ratio 0.2340
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size      354, 166503119 req, miss ratio 0.0563, byte miss ratio 0.0563
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size     1181, 166503119 req, miss ratio 0.0076, byte miss ratio 0.0076
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LIRS cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size      118, 166503119 req, miss ratio 0.2138, byte miss ratio 0.2138
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size      354, 166503119 req, miss ratio 0.0499, byte miss ratio 0.0499
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size     1181, 166503119 req, miss ratio 0.0076, byte miss ratio 0.0076
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size     3543, 166503119 req, miss ratio 0.0013, byte miss ratio 0.0013
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst Cacheus cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      118, 166503119 req, miss ratio 0.2214, byte miss ratio 0.2214
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      354, 166503119 req, miss ratio 0.0519, byte miss ratio 0.0519
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1181, 166503119 req, miss ratio 0.0074, byte miss ratio 0.0074
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     3543, 166503119 req, miss ratio 0.0014, byte miss ratio 0.0014
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size      118, 166503119 req, miss ratio 0.1879, byte miss ratio 0.1879
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size      354, 166503119 req, miss ratio 0.0438, byte miss ratio 0.0438
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size     1181, 166503119 req, miss ratio 0.0067, byte miss ratio 0.0067
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size     3543, 166503119 req, miss ratio 0.0014, byte miss ratio 0.0014
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size    11812, 166503119 req, miss ratio 0.0009, byte miss ratio 0.0009
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size    23625, 166503119 req, miss ratio 0.0008, byte miss ratio 0.0008
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size    47251, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst LRB cache size    94503, 166503119 req, miss ratio 0.0007, byte miss ratio 0.0007
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      118, 166503119 req, miss ratio 0.3637, byte miss ratio 0.3637
result/trending_content_v2_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      354, 166503119 req, miss ratio 0.0770, byte miss ratio 0.0770
