result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3236048, 29266482 req, miss ratio 0.7818, byte miss ratio 0.7818
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  6472096, 29266482 req, miss ratio 0.7040, byte miss ratio 0.7040
result/proj_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 12944193, 29266482 req, miss ratio 0.5593, byte miss ratio 0.5593
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16180, 29266482 req, miss ratio 0.9825, byte miss ratio 0.9825
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48540, 29266482 req, miss ratio 0.9707, byte miss ratio 0.9707
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   161802, 29266482 req, miss ratio 0.9390, byte miss ratio 0.9390
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   485407, 29266482 req, miss ratio 0.8799, byte miss ratio 0.8799
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1618024, 29266482 req, miss ratio 0.8404, byte miss ratio 0.8404
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3236048, 29266482 req, miss ratio 0.7632, byte miss ratio 0.7632
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size  6472096, 29266482 req, miss ratio 0.6798, byte miss ratio 0.6798
result/proj_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size 12944193, 29266482 req, miss ratio 0.5545, byte miss ratio 0.5545
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size    16180, 29266482 req, miss ratio 0.9855, byte miss ratio 0.9855
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size    48540, 29266482 req, miss ratio 0.9686, byte miss ratio 0.9686
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size   161802, 29266482 req, miss ratio 0.9228, byte miss ratio 0.9228
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size   485407, 29266482 req, miss ratio 0.8957, byte miss ratio 0.8957
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size  1618024, 29266482 req, miss ratio 0.8681, byte miss ratio 0.8681
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size  3236048, 29266482 req, miss ratio 0.7739, byte miss ratio 0.7739
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size  6472096, 29266482 req, miss ratio 0.7640, byte miss ratio 0.7640
result/proj_2.IQI.bin.oracleGeneral.zst B-LRU cache size 12944193, 29266482 req, miss ratio 0.7640, byte miss ratio 0.7640
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size    16180, 29266482 req, miss ratio 0.9821, byte miss ratio 0.9821
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size    48540, 29266482 req, miss ratio 0.9597, byte miss ratio 0.9597
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size   161802, 29266482 req, miss ratio 0.9078, byte miss ratio 0.9078
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size   485407, 29266482 req, miss ratio 0.8764, byte miss ratio 0.8764
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size  1618024, 29266482 req, miss ratio 0.8208, byte miss ratio 0.8208
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size  3236048, 29266482 req, miss ratio 0.7839, byte miss ratio 0.7839
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size  6472096, 29266482 req, miss ratio 0.6759, byte miss ratio 0.6759
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO cache size 12944193, 29266482 req, miss ratio 0.5560, byte miss ratio 0.5560
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    16180, 29266482 req, miss ratio 0.9818, byte miss ratio 0.9818
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    48540, 29266482 req, miss ratio 0.9597, byte miss ratio 0.9597
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   161802, 29266482 req, miss ratio 0.9039, byte miss ratio 0.9039
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   485407, 29266482 req, miss ratio 0.8726, byte miss ratio 0.8726
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size  1618024, 29266482 req, miss ratio 0.8208, byte miss ratio 0.8208
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size  3236048, 29266482 req, miss ratio 0.7842, byte miss ratio 0.7842
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size  6472096, 29266482 req, miss ratio 0.6759, byte miss ratio 0.6759
result/proj_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size 12944193, 29266482 req, miss ratio 0.5560, byte miss ratio 0.5560
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16180, 29266482 req, miss ratio 0.9863, byte miss ratio 0.9863
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48540, 29266482 req, miss ratio 0.9803, byte miss ratio 0.9803
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   161802, 29266482 req, miss ratio 0.9387, byte miss ratio 0.9387
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   485407, 29266482 req, miss ratio 0.9211, byte miss ratio 0.9211
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1618024, 29266482 req, miss ratio 0.9004, byte miss ratio 0.9004
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3236048, 29266482 req, miss ratio 0.8220, byte miss ratio 0.8220
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  6472096, 29266482 req, miss ratio 0.7286, byte miss ratio 0.7286
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 12944193, 29266482 req, miss ratio 0.6002, byte miss ratio 0.6002
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16180, 29266482 req, miss ratio 0.9849, byte miss ratio 0.9849
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48540, 29266482 req, miss ratio 0.9745, byte miss ratio 0.9745
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   161802, 29266482 req, miss ratio 0.9412, byte miss ratio 0.9412
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   485407, 29266482 req, miss ratio 0.9198, byte miss ratio 0.9198
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1618024, 29266482 req, miss ratio 0.8840, byte miss ratio 0.8840
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3236048, 29266482 req, miss ratio 0.7991, byte miss ratio 0.7991
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6472096, 29266482 req, miss ratio 0.7097, byte miss ratio 0.7097
result/proj_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 12944193, 29266482 req, miss ratio 0.5858, byte miss ratio 0.5858
