result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst clock2 cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size        8, 1324035 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size       29, 1324035 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size       88, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size      296, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst S3FIFO-d-1 cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size        8, 1324035 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size       29, 1324035 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size       88, 1324035 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size      593, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst LRB cache size     2372, 1324035 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size        8, 1324035 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size       29, 1324035 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size       88, 1324035 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size      296, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size      593, 1324035 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size     1186, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst TwoQ cache size     2372, 1324035 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        8, 1324035 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       29, 1324035 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_allcolo.ns4805.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       88, 1324035 req, miss ratio 0.0042, byte miss ratio 0.0042
