result/w73.oracleGeneral.bin.zst B-LRU cache size      601, 6368815 req, miss ratio 0.7535, byte miss ratio 0.7535
result/w73.oracleGeneral.bin.zst B-LRU cache size     1803, 6368815 req, miss ratio 0.7326, byte miss ratio 0.7326
result/w73.oracleGeneral.bin.zst B-LRU cache size     6012, 6368815 req, miss ratio 0.7060, byte miss ratio 0.7060
result/w73.oracleGeneral.bin.zst B-LRU cache size    18036, 6368815 req, miss ratio 0.6534, byte miss ratio 0.6534
result/w73.oracleGeneral.bin.zst B-LRU cache size    60122, 6368815 req, miss ratio 0.4522, byte miss ratio 0.4522
result/w73.oracleGeneral.bin.zst B-LRU cache size   120245, 6368815 req, miss ratio 0.3327, byte miss ratio 0.3327
result/w73.oracleGeneral.bin.zst B-LRU cache size   240490, 6368815 req, miss ratio 0.1935, byte miss ratio 0.1935
result/w73.oracleGeneral.bin.zst B-LRU cache size   480981, 6368815 req, miss ratio 0.1576, byte miss ratio 0.1576
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      601, 6368815 req, miss ratio 0.7182, byte miss ratio 0.7182
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1803, 6368815 req, miss ratio 0.6973, byte miss ratio 0.6973
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6012, 6368815 req, miss ratio 0.6683, byte miss ratio 0.6683
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    18036, 6368815 req, miss ratio 0.5996, byte miss ratio 0.5996
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    60122, 6368815 req, miss ratio 0.3921, byte miss ratio 0.3921
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   120245, 6368815 req, miss ratio 0.2698, byte miss ratio 0.2698
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   240490, 6368815 req, miss ratio 0.1633, byte miss ratio 0.1633
result/w73.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   480981, 6368815 req, miss ratio 0.0991, byte miss ratio 0.0991
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      601, 6368815 req, miss ratio 0.7387, byte miss ratio 0.7387
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1803, 6368815 req, miss ratio 0.7196, byte miss ratio 0.7196
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6012, 6368815 req, miss ratio 0.6902, byte miss ratio 0.6902
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    18036, 6368815 req, miss ratio 0.6298, byte miss ratio 0.6298
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    60122, 6368815 req, miss ratio 0.4707, byte miss ratio 0.4707
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   120245, 6368815 req, miss ratio 0.3450, byte miss ratio 0.3450
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   240490, 6368815 req, miss ratio 0.1869, byte miss ratio 0.1869
result/w73.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   480981, 6368815 req, miss ratio 0.1209, byte miss ratio 0.1209
result/w73.oracleGeneral.bin.zst S3FIFO cache size      601, 6368815 req, miss ratio 0.7157, byte miss ratio 0.7157
result/w73.oracleGeneral.bin.zst S3FIFO cache size     1803, 6368815 req, miss ratio 0.6855, byte miss ratio 0.6855
result/w73.oracleGeneral.bin.zst S3FIFO cache size     6012, 6368815 req, miss ratio 0.6426, byte miss ratio 0.6426
result/w73.oracleGeneral.bin.zst S3FIFO cache size    18036, 6368815 req, miss ratio 0.5684, byte miss ratio 0.5684
