result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size   875755, 14600000 req, miss ratio 0.7312, byte miss ratio 0.7312
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size  1751511, 14600000 req, miss ratio 0.7094, byte miss ratio 0.7094
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size  3503022, 14600000 req, miss ratio 0.6533, byte miss ratio 0.6533
result/io_traces.ns13.oracleGeneral.zst S3FIFO-d cache size  7006044, 14600000 req, miss ratio 0.6063, byte miss ratio 0.6063
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8757, 14600000 req, miss ratio 0.8315, byte miss ratio 0.8315
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26272, 14600000 req, miss ratio 0.7957, byte miss ratio 0.7957
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    87575, 14600000 req, miss ratio 0.7427, byte miss ratio 0.7427
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   262726, 14600000 req, miss ratio 0.7281, byte miss ratio 0.7281
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   875755, 14600000 req, miss ratio 0.7044, byte miss ratio 0.7044
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1751511, 14600000 req, miss ratio 0.6772, byte miss ratio 0.6772
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3503022, 14600000 req, miss ratio 0.6452, byte miss ratio 0.6452
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  7006044, 14600000 req, miss ratio 0.6049, byte miss ratio 0.6049
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8757, 14600000 req, miss ratio 0.8150, byte miss ratio 0.8150
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26272, 14600000 req, miss ratio 0.7892, byte miss ratio 0.7892
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    87575, 14600000 req, miss ratio 0.7423, byte miss ratio 0.7423
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   262726, 14600000 req, miss ratio 0.7304, byte miss ratio 0.7304
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   875755, 14600000 req, miss ratio 0.7081, byte miss ratio 0.7081
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1751511, 14600000 req, miss ratio 0.6827, byte miss ratio 0.6827
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3503022, 14600000 req, miss ratio 0.6512, byte miss ratio 0.6512
result/io_traces.ns13.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  7006044, 14600000 req, miss ratio 0.6094, byte miss ratio 0.6094
