result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size    23762, 1060216 req, miss ratio 0.1134, byte miss ratio 0.1134
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size    47525, 1060216 req, miss ratio 0.1126, byte miss ratio 0.1126
result/cdn2_colo28.ns3538.oracleGeneral.zst Clock cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size      118, 1060216 req, miss ratio 0.1791, byte miss ratio 0.1791
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size      356, 1060216 req, miss ratio 0.1442, byte miss ratio 0.1442
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size     1188, 1060216 req, miss ratio 0.1231, byte miss ratio 0.1231
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size     3564, 1060216 req, miss ratio 0.1169, byte miss ratio 0.1169
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size    11881, 1060216 req, miss ratio 0.1141, byte miss ratio 0.1141
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size    23762, 1060216 req, miss ratio 0.1136, byte miss ratio 0.1136
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size    47525, 1060216 req, miss ratio 0.1128, byte miss ratio 0.1128
result/cdn2_colo28.ns3538.oracleGeneral.zst Cacheus cache size    95050, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size      118, 1060216 req, miss ratio 0.1758, byte miss ratio 0.1758
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size      356, 1060216 req, miss ratio 0.1414, byte miss ratio 0.1414
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size     1188, 1060216 req, miss ratio 0.1212, byte miss ratio 0.1212
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size     3564, 1060216 req, miss ratio 0.1172, byte miss ratio 0.1172
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size    11881, 1060216 req, miss ratio 0.1143, byte miss ratio 0.1143
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size    23762, 1060216 req, miss ratio 0.1130, byte miss ratio 0.1130
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size    47525, 1060216 req, miss ratio 0.1125, byte miss ratio 0.1125
result/cdn2_colo28.ns3538.oracleGeneral.zst ARC cache size    95050, 1060216 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size      118, 1060216 req, miss ratio 0.1737, byte miss ratio 0.1737
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size      356, 1060216 req, miss ratio 0.1401, byte miss ratio 0.1401
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size     1188, 1060216 req, miss ratio 0.1211, byte miss ratio 0.1211
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size     3564, 1060216 req, miss ratio 0.1165, byte miss ratio 0.1165
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size    11881, 1060216 req, miss ratio 0.1138, byte miss ratio 0.1138
result/cdn2_colo28.ns3538.oracleGeneral.zst S3FIFO-d-1 cache size    23762, 1060216 req, miss ratio 0.1129, byte miss ratio 0.1129
