result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size       22, 21470614 req, miss ratio 0.3610, byte miss ratio 0.3610
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size       76, 21470614 req, miss ratio 0.0781, byte miss ratio 0.0781
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size      228, 21470614 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst TwoQ cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size        7, 21470614 req, miss ratio 0.6173, byte miss ratio 0.6173
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size       22, 21470614 req, miss ratio 0.4803, byte miss ratio 0.4803
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size       76, 21470614 req, miss ratio 0.0785, byte miss ratio 0.0785
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size      228, 21470614 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst B-LRU cache size     6103, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size        7, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size       22, 21470614 req, miss ratio 0.3236, byte miss ratio 0.3236
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size       76, 21470614 req, miss ratio 0.0631, byte miss ratio 0.0631
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size      228, 21470614 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size        7, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size       22, 21470614 req, miss ratio 0.3379, byte miss ratio 0.3379
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size       76, 21470614 req, miss ratio 0.0731, byte miss ratio 0.0731
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size      228, 21470614 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size      762, 21470614 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size     1525, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size     3051, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst S3FIFO-d cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       22, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       76, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      228, 21470614 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      762, 21470614 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 21470614 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       22, 21470614 req, miss ratio 0.2956, byte miss ratio 0.2956
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       76, 21470614 req, miss ratio 0.0608, byte miss ratio 0.0608
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      228, 21470614 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      762, 21470614 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1525, 21470614 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3051, 21470614 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns16525.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6103, 21470614 req, miss ratio 0.0004, byte miss ratio 0.0004
