result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size     4515, 1586158 req, miss ratio 0.3979, byte miss ratio 0.3979
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size    15052, 1586158 req, miss ratio 0.3554, byte miss ratio 0.3554
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size    30104, 1586158 req, miss ratio 0.3089, byte miss ratio 0.3089
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size    60209, 1586158 req, miss ratio 0.2561, byte miss ratio 0.2561
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-1 cache size   120419, 1586158 req, miss ratio 0.1166, byte miss ratio 0.1166
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size      150, 1586158 req, miss ratio 0.4252, byte miss ratio 0.4252
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size      451, 1586158 req, miss ratio 0.4052, byte miss ratio 0.4052
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size     1505, 1586158 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size     4515, 1586158 req, miss ratio 0.3979, byte miss ratio 0.3979
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size    15052, 1586158 req, miss ratio 0.3552, byte miss ratio 0.3552
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size    30104, 1586158 req, miss ratio 0.3079, byte miss ratio 0.3079
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size    60209, 1586158 req, miss ratio 0.2570, byte miss ratio 0.2570
result/tencentBlock.ns21298.oracleGeneral.zst S3FIFO-d-1 cache size   120419, 1586158 req, miss ratio 0.1171, byte miss ratio 0.1171
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size      150, 1586158 req, miss ratio 0.5302, byte miss ratio 0.5302
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size      451, 1586158 req, miss ratio 0.4596, byte miss ratio 0.4596
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size     1505, 1586158 req, miss ratio 0.4084, byte miss ratio 0.4084
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size     4515, 1586158 req, miss ratio 0.3808, byte miss ratio 0.3808
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size    15052, 1586158 req, miss ratio 0.3343, byte miss ratio 0.3343
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size    30104, 1586158 req, miss ratio 0.2730, byte miss ratio 0.2730
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size    60209, 1586158 req, miss ratio 0.1748, byte miss ratio 0.1748
result/tencentBlock.ns21298.oracleGeneral.zst LRB cache size   120419, 1586158 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      150, 1586158 req, miss ratio 0.5561, byte miss ratio 0.5561
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      451, 1586158 req, miss ratio 0.4217, byte miss ratio 0.4217
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1505, 1586158 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns21298.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4515, 1586158 req, miss ratio 0.4002, byte miss ratio 0.4002
