result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size     2562, 56997689 req, miss ratio 0.7609, byte miss ratio 0.7609
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size     7688, 56997689 req, miss ratio 0.6428, byte miss ratio 0.6428
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size    25629, 56997689 req, miss ratio 0.5433, byte miss ratio 0.5433
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size    76889, 56997689 req, miss ratio 0.4326, byte miss ratio 0.4326
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size   256297, 56997689 req, miss ratio 0.2278, byte miss ratio 0.2278
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size   512594, 56997689 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size  1025189, 56997689 req, miss ratio 0.0687, byte miss ratio 0.0687
result/tencentBlock.ns16918.oracleGeneral.zst Clock cache size  2050379, 56997689 req, miss ratio 0.0460, byte miss ratio 0.0460
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size     2562, 56997689 req, miss ratio 0.7703, byte miss ratio 0.7703
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size     7688, 56997689 req, miss ratio 0.6910, byte miss ratio 0.6910
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size    25629, 56997689 req, miss ratio 0.5831, byte miss ratio 0.5831
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size    76889, 56997689 req, miss ratio 0.4352, byte miss ratio 0.4352
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size   256297, 56997689 req, miss ratio 0.2369, byte miss ratio 0.2369
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size   512594, 56997689 req, miss ratio 0.1525, byte miss ratio 0.1525
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size  1025189, 56997689 req, miss ratio 0.0667, byte miss ratio 0.0667
result/tencentBlock.ns16918.oracleGeneral.zst LIRS cache size  2050379, 56997689 req, miss ratio 0.0459, byte miss ratio 0.0459
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size     2562, 56997689 req, miss ratio 0.7486, byte miss ratio 0.7486
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size     7688, 56997689 req, miss ratio 0.6344, byte miss ratio 0.6344
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size    25629, 56997689 req, miss ratio 0.5226, byte miss ratio 0.5226
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size    76889, 56997689 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size   256297, 56997689 req, miss ratio 0.2246, byte miss ratio 0.2246
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size   512594, 56997689 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size  1025189, 56997689 req, miss ratio 0.0669, byte miss ratio 0.0669
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d-1 cache size  2050379, 56997689 req, miss ratio 0.0460, byte miss ratio 0.0460
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size     2562, 56997689 req, miss ratio 0.7603, byte miss ratio 0.7603
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size     7688, 56997689 req, miss ratio 0.6600, byte miss ratio 0.6600
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size    25629, 56997689 req, miss ratio 0.5409, byte miss ratio 0.5409
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size    76889, 56997689 req, miss ratio 0.3896, byte miss ratio 0.3896
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size   256297, 56997689 req, miss ratio 0.2066, byte miss ratio 0.2066
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size   512594, 56997689 req, miss ratio 0.1221, byte miss ratio 0.1221
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size  1025189, 56997689 req, miss ratio 0.0690, byte miss ratio 0.0690
result/tencentBlock.ns16918.oracleGeneral.zst LRB cache size  2050379, 56997689 req, miss ratio 0.0482, byte miss ratio 0.0482
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2562, 56997689 req, miss ratio 0.7866, byte miss ratio 0.7866
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7688, 56997689 req, miss ratio 0.6583, byte miss ratio 0.6583
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size    25629, 56997689 req, miss ratio 0.5267, byte miss ratio 0.5267
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76889, 56997689 req, miss ratio 0.4153, byte miss ratio 0.4153
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size   256297, 56997689 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size   512594, 56997689 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1025189, 56997689 req, miss ratio 0.0638, byte miss ratio 0.0638
result/tencentBlock.ns16918.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2050379, 56997689 req, miss ratio 0.0456, byte miss ratio 0.0456
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size     2562, 56997689 req, miss ratio 0.7812, byte miss ratio 0.7812
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size     7688, 56997689 req, miss ratio 0.6630, byte miss ratio 0.6630
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size    25629, 56997689 req, miss ratio 0.5659, byte miss ratio 0.5659
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size    76889, 56997689 req, miss ratio 0.4497, byte miss ratio 0.4497
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size   256297, 56997689 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size   512594, 56997689 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size  1025189, 56997689 req, miss ratio 0.0974, byte miss ratio 0.0974
result/tencentBlock.ns16918.oracleGeneral.zst B-LRU cache size  2050379, 56997689 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2562, 56997689 req, miss ratio 0.7725, byte miss ratio 0.7725
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7688, 56997689 req, miss ratio 0.6665, byte miss ratio 0.6665
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    25629, 56997689 req, miss ratio 0.5517, byte miss ratio 0.5517
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76889, 56997689 req, miss ratio 0.4345, byte miss ratio 0.4345
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   256297, 56997689 req, miss ratio 0.2543, byte miss ratio 0.2543
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   512594, 56997689 req, miss ratio 0.1486, byte miss ratio 0.1486
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1025189, 56997689 req, miss ratio 0.0816, byte miss ratio 0.0816
result/tencentBlock.ns16918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2050379, 56997689 req, miss ratio 0.0511, byte miss ratio 0.0511
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size     2562, 56997689 req, miss ratio 0.7571, byte miss ratio 0.7571
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size     7688, 56997689 req, miss ratio 0.6484, byte miss ratio 0.6484
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size    25629, 56997689 req, miss ratio 0.5226, byte miss ratio 0.5226
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size    76889, 56997689 req, miss ratio 0.3927, byte miss ratio 0.3927
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size   256297, 56997689 req, miss ratio 0.2214, byte miss ratio 0.2214
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size   512594, 56997689 req, miss ratio 0.1276, byte miss ratio 0.1276
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size  1025189, 56997689 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns16918.oracleGeneral.zst TwoQ cache size  2050379, 56997689 req, miss ratio 0.0537, byte miss ratio 0.0537
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size     2562, 56997689 req, miss ratio 0.7522, byte miss ratio 0.7522
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size     7688, 56997689 req, miss ratio 0.6542, byte miss ratio 0.6542
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size    25629, 56997689 req, miss ratio 0.5288, byte miss ratio 0.5288
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size    76889, 56997689 req, miss ratio 0.3890, byte miss ratio 0.3890
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size   256297, 56997689 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size   512594, 56997689 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size  1025189, 56997689 req, miss ratio 0.0627, byte miss ratio 0.0627
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO cache size  2050379, 56997689 req, miss ratio 0.0456, byte miss ratio 0.0456
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size     2562, 56997689 req, miss ratio 0.7633, byte miss ratio 0.7633
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size     7688, 56997689 req, miss ratio 0.6352, byte miss ratio 0.6352
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size    25629, 56997689 req, miss ratio 0.5153, byte miss ratio 0.5153
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size    76889, 56997689 req, miss ratio 0.3921, byte miss ratio 0.3921
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size   256297, 56997689 req, miss ratio 0.2198, byte miss ratio 0.2198
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size   512594, 56997689 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size  1025189, 56997689 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns16918.oracleGeneral.zst S3FIFO-d cache size  2050379, 56997689 req, miss ratio 0.0456, byte miss ratio 0.0456
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2562, 56997689 req, miss ratio 0.7936, byte miss ratio 0.7936
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7688, 56997689 req, miss ratio 0.7200, byte miss ratio 0.7200
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    25629, 56997689 req, miss ratio 0.6113, byte miss ratio 0.6113
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76889, 56997689 req, miss ratio 0.4413, byte miss ratio 0.4413
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   256297, 56997689 req, miss ratio 0.2826, byte miss ratio 0.2826
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   512594, 56997689 req, miss ratio 0.1252, byte miss ratio 0.1252
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1025189, 56997689 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2050379, 56997689 req, miss ratio 0.0484, byte miss ratio 0.0484
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2562, 56997689 req, miss ratio 0.7848, byte miss ratio 0.7848
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7688, 56997689 req, miss ratio 0.7510, byte miss ratio 0.7510
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    25629, 56997689 req, miss ratio 0.5579, byte miss ratio 0.5579
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76889, 56997689 req, miss ratio 0.3975, byte miss ratio 0.3975
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   256297, 56997689 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   512594, 56997689 req, miss ratio 0.1554, byte miss ratio 0.1554
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1025189, 56997689 req, miss ratio 0.0707, byte miss ratio 0.0707
result/tencentBlock.ns16918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2050379, 56997689 req, miss ratio 0.0506, byte miss ratio 0.0506
